% kg/s,%PRC
0.075625,1.009563474
0.075625,1.009563474
0.075625,1.009563474
0.0744375,1.011568718
0.0744375,1.011568718
0.0744375,1.011568718
0.0746875,1.011414469
0.0746875,1.011414469
0.0746875,1.011414469
0.0746875,1.011414469
0.0750625,1.01079747
0.0750625,1.01079747
0.0750625,1.01079747
0.074875,1.011260219
0.074875,1.011260219
0.074875,1.011260219
0.0749375,1.011568718
0.0749375,1.012974977
0.0749375,1.012974977
0.0750625,1.013592833
0.0750625,1.013592833
0.0750625,1.013592833
0.0745625,1.014828545
0.0745625,1.014828545
0.0745625,1.014828545
0.075125,1.012820513
0.075125,1.012820513
0.075125,1.012820513
0.075375,1.012820513
0.075375,1.011739265
0.075375,1.011739265
0.075375,1.011739265
0.0749375,1.011893729
0.0749375,1.011893729
0.0749375,1.014674081
0.0749375,1.014674081
0.0749375,1.014674081
0.0749375,1.014674081
0.0759375,1.012357121
0.0759375,1.012357121
0.0759375,1.012357121
0.075125,1.014519617
0.075125,1.014519617
0.075125,1.014519617
0.0750625,1.013129441
0.0750625,1.013129441
0.0750625,1.013129441
0.0750625,1.013283905
0.0750625,1.013283905
0.0750625,1.013283905
0.074875,1.011584801
0.074875,1.011584801
0.074875,1.011584801
0.0751875,1.013747297
0.0751875,1.013747297
0.0751875,1.013747297
0.0751875,1.013747297
0.07575,1.012048193
0.07575,1.012048193
0.07575,1.012048193
0.074875,1.014210689
0.074875,1.014210689
0.074875,1.014210689
0.07525,1.012511585
0.07525,1.012511585
0.07525,1.012511585
0.0755625,1.012666049
0.0755625,1.012666049
0.0755625,1.012666049
0.0751875,1.012048193
0.0751875,1.012048193
0.0751875,1.012048193
0.0755,1.014210689
0.0755,1.014210689
0.0755,1.014210689
0.0755625,1.012666049
0.0755625,1.012666049
0.0755625,1.012666049
0.0746875,1.013592833
0.0746875,1.013592833
0.0746875,1.013592833
0.0755,1.012044472
0.0755,1.012044472
0.0755,1.012044472
0.0755,1.012044472
0.075625,1.011581223
0.075625,1.011581223
0.075625,1.011581223
0.0750625,1.011581223
0.0750625,1.011581223
0.0750625,1.011581223
0.075,1.013125386
0.075,1.013125386
0.075,1.013125386
0.0755625,1.011426807
0.0755625,1.011426807
0.0755625,1.011426807
0.0746875,1.013743051
0.0746875,1.013743051
0.0746875,1.013743051
0.0750625,1.012816553
0.0750625,1.012816553
0.0750625,1.012816553
0.075375,1.012816553
0.075375,1.011581223
0.075375,1.011581223
0.0754375,1.013434219
0.0754375,1.013434219
0.0754375,1.013434219
0.076125,1.014823965
0.076125,1.014823965
0.076125,1.014823965
0.076125,1.014823965
0.0765,1.012040753
0.0765,1.012040753
0.0765,1.012040753
0.0755,1.013275702
0.0755,1.013275702
0.0755,1.013275702
0.0761875,1.012966965
0.0761875,1.012966965
0.0761875,1.012966965
0.0761875,1.012349491
0.0761875,1.012349491
0.0761875,1.012349491
0.075375,1.012195122
0.075375,1.012195122
0.075375,1.012195122
0.0751875,1.013738808
0.0751875,1.013738808
0.0751875,1.013738808
0.0751875,1.013738808
0.0754375,1.011577647
0.0754375,1.011577647
0.0746875,1.01358444
0.0746875,1.01358444
0.0746875,1.01358444
0.0746875,1.01358444
0.07525,1.011732016
0.07525,1.011732016
0.07525,1.011732016
0.0755625,1.01126891
0.0755625,1.01126891
0.0755625,1.01126891
0.0749375,1.010805804
0.0749375,1.010182043
0.0749375,1.010182043
0.0750625,1.011570503
0.0750625,1.011570503
0.0750625,1.011570503
0.07525,1.010799136
0.07525,1.010799136
0.07525,1.010799136
0.0743125,1.011724776
0.0743125,1.011724776
0.0743125,1.011724776
0.0743125,1.011724776
0.0750625,1.009873496
0.0750625,1.009873496
0.0750625,1.009873496
0.0755625,1.011570503
0.0755625,1.011570503
0.0755625,1.011570503
0.07525,1.010644863
0.07525,1.010644863
0.07525,1.010644863
0.075375,1.012496143
0.075375,1.012496143
0.075375,1.012496143
0.07525,1.011570503
0.07525,1.011570503
0.07525,1.011570503
0.0743125,1.013113237
0.0743125,1.013113237
0.0743125,1.013113237
0.0744375,1.011570503
0.0744375,1.011570503
0.0744375,1.010479273
0.075,1.009554631
0.075,1.009554631
0.075,1.009554631
0.075,1.009554631
0.075,1.008321775
0.075,1.008321775
0.075,1.008321775
0.0755625,1.010171059
0.0755625,1.010171059
0.0755625,1.010171059
0.07625,1.009246417
0.07625,1.009246417
0.07625,1.009246417
0.0751875,1.012020342
0.0751875,1.012020342
0.0751875,1.012020342
0.0755,1.011403914
0.0755,1.011403914
0.0755,1.011403914
0.0751875,1.011249807
0.0751875,1.011249807
0.0751875,1.011249807
0.0745,1.010479273
0.0745,1.010479273
0.0745,1.010479273
0.0744375,1.011712128
0.0744375,1.011712128
0.0744375,1.011712128
0.075125,1.01063338
0.075125,1.01063338
0.075125,1.01063338
0.074,1.010784163
0.074,1.010784163
0.074,1.010784163
0.074,1.010784163
0.0748125,1.007702973
0.0748125,1.007702973
0.0748125,1.007702973
0.0755625,1.009551687
0.0755625,1.009551687
0.0755625,1.009551687
0.075375,1.00878139
0.075375,1.00878139
0.075375,1.00878139
0.07525,1.010630103
0.07525,1.010630103
0.07525,1.010630103
0.0755625,1.009089509
0.0755625,1.009089509
0.0755625,1.009089509
0.0743125,1.010321984
0.0743125,1.010321984
0.0743125,1.010321984
0.0743125,1.010321984
0.0745,1.00878139
0.0745,1.00878139
0.0749375,1.00878139
0.0749375,1.00878139
0.0749375,1.00878139
0.0749375,1.00878139
0.0750625,1.009089509
0.0750625,1.009089509
0.0750625,1.009089509
0.0755625,1.009548745
0.0755625,1.009548745
0.0755625,1.009548745
0.0756875,1.008008625
0.0756875,1.008008625
0.0756875,1.008008625
0.0745,1.010626829
0.0745,1.010626829
0.0745,1.010626829
0.075125,1.010626829
0.075125,1.010626829
0.075125,1.010626829
0.07575,1.009240721
0.07575,1.009240721
0.07575,1.009240721
0.07575,1.009240721
0.0755625,1.008932697
0.0755625,1.008932697
0.0755625,1.008932697
0.0755625,1.011858925
0.0755625,1.011858925
0.0755625,1.011858925
0.076,1.009394733
0.076,1.009394733
0.076,1.009394733
0.0751875,1.010780841
0.0751875,1.010780841
0.0751875,1.010780841
0.07525,1.009856769
0.07525,1.009856769
0.07525,1.009856769
0.07525,1.009240721
0.07525,1.009551687
0.07525,1.009551687
0.0746875,1.009551687
0.0746875,1.009551687
0.0746875,1.009551687
0.0753125,1.01155446
0.0753125,1.01155446
0.0753125,1.01155446
0.0753125,1.01155446
0.0760625,1.009859806
0.0760625,1.009859806
0.0760625,1.009859806
0.0751875,1.011246341
0.0751875,1.011246341
0.0751875,1.011246341
0.0755625,1.010167925
0.0755625,1.010167925
0.0755625,1.010167925
0.0759375,1.009859806
0.0759375,1.009859806
0.0759375,1.009859806
0.0755625,1.008935449
0.0755625,1.008935449
0.0755625,1.008935449
0.0753125,1.010476044
0.0753125,1.010476044
0.0753125,1.010476044
0.075375,1.009859806
0.075375,1.009859806
0.075375,1.009859806
0.0748125,1.01155446
0.0748125,1.01155446
0.0748125,1.012178203
0.075625,1.010328349
0.075625,1.010328349
0.075625,1.010328349
0.075625,1.010328349
0.076,1.010482503
0.076,1.010482503
0.076,1.010482503
0.0758125,1.008940959
0.0758125,1.008940959
0.0758125,1.008940959
0.0755625,1.010790812
0.0755625,1.010790812
0.0755625,1.010790812
0.0759375,1.009711731
0.0759375,1.009711731
0.0759375,1.009711731
0.0749375,1.011715739
0.0749375,1.011715739
0.0749375,1.011715739
0.0755625,1.009557577
0.0755625,1.009557577
0.0755625,1.009557577
0.0758125,1.01002004
0.0758125,1.01002004
0.0758125,1.01002004
0.0758125,1.01002004
0.0755,1.009865886
0.0755,1.009865886
0.0755625,1.011253276
0.0755625,1.011253276
0.0755625,1.011253276
0.07575,1.011405672
0.07575,1.011405672
0.07575,1.011405672
0.07575,1.011405672
0.075,1.011559803
0.075,1.011559803
0.075,1.011559803
0.0753125,1.010018496
0.0753125,1.010018496
0.0753125,1.010018496
0.075375,1.010172626
0.075375,1.010172626
