,NC,WC,PRC,ETAC,spdline
0,50415.7143,0.0599,1.3043,0.6336,0
1,50415.7143,0.0766,1.2851,0.6756,0
2,50415.7143,0.0931,1.2618,0.6951,0
3,50415.7143,0.1091,1.2312,0.6877,0
4,50415.7143,0.1262,1.1948,0.6365,0
5,50415.7143,0.1426,1.1523,0.5552,0
6,64198.7143,0.0587,1.5365,0.6277,1
7,64198.7143,0.0801,1.5178,0.6901,1
8,64198.7143,0.102,1.4844,0.7373,1
9,64198.7143,0.1242,1.4494,0.7557,1
10,64198.7143,0.146,1.3991,0.7419,1
11,64198.7143,0.1666,1.3353,0.6915,1
12,64198.7143,0.1888,1.2485,0.5768,1
13,77971.2857,0.0837,1.8347,0.6634,2
14,77971.2857,0.1102,1.8009,0.7224,2
15,77971.2857,0.1356,1.7524,0.768,2
16,77971.2857,0.1618,1.6936,0.7812,2
17,77971.2857,0.1872,1.6173,0.7654,2
18,77971.2857,0.2135,1.5142,0.7098,2
19,77971.2857,0.2399,1.3617,0.5759,2
20,91771.8571,0.1062,2.2218,0.6731,3
21,91771.8571,0.1366,2.183,0.7273,3
22,91771.8571,0.1674,2.1224,0.7749,3
23,91771.8571,0.1974,2.053,0.7913,3
24,91771.8571,0.2266,1.9296,0.7773,3
25,91771.8571,0.2577,1.7644,0.7224,3
26,91771.8571,0.2873,1.5187,0.5781,3
27,105582.7143,0.1293,2.7208,0.6608,4
28,105582.7143,0.1638,2.6801,0.7182,4
29,105582.7143,0.1957,2.6171,0.7634,4
30,105582.7143,0.2309,2.5215,0.7894,4
31,105582.7143,0.2642,2.3541,0.7814,4
32,105582.7143,0.2984,2.0988,0.729,4
33,105582.7143,0.3309,1.7224,0.5777,4
34,119353.5,0.1728,3.3426,0.6796,5
35,119353.5,0.2038,3.289,0.7189,5
36,119353.5,0.2355,3.2405,0.7532,5
37,119353.5,0.2673,3.1186,0.7736,5
38,119353.5,0.2992,2.922,0.7764,5
39,119353.5,0.3291,2.5915,0.7392,5
40,119353.5,0.3439,2.3966,0.7032,5
41,119353.5,0.3597,1.9706,0.5764,5
42,133135.5,0.2036,4.1153,0.6567,6
43,133135.5,0.2263,4.0503,0.6832,6
44,133135.5,0.26,3.9852,0.7191,6
45,133135.5,0.2919,3.8708,0.7398,6
46,133135.5,0.3203,3.6809,0.7513,6
47,133135.5,0.3517,3.2385,0.7325,6
48,133135.5,0.3641,3.0186,0.7129,6
49,133135.5,0.3787,2.2873,0.5763,6
