,NC,WC,PRC,ETAC,spdline
0,30000,0.26,3.61,0.7035,0
1,30000,0.35,3.56,0.7455,0
2,30000,0.43,3.5,0.7665,0
3,30000,0.51,3.42,0.7665,0
4,30000,0.59,3.32,0.714,0
5,30000,0.67,3.19,0.6195,0
6,38000,0.25,4.26,0.693,1
7,38000,0.36,4.21,0.756,1
8,38000,0.46,4.12,0.819,1
9,38000,0.57,4.01,0.84,1
10,38000,0.67,3.88,0.8295,1
11,38000,0.79,3.69,0.7665,1
12,38000,0.89,3.45,0.651,1
13,46000,0.34,5.09,0.714,2
14,46000,0.47,5.02,0.7875,2
15,46000,0.6,4.87,0.84,2
16,46000,0.73,4.73,0.8715,2
17,46000,0.86,4.51,0.861,2
18,46000,0.99,4.21,0.798,2
19,46000,1.12,3.78,0.6405,2
20,54000,0.45,6.18,0.735,3
21,54000,0.59,6.08,0.798,3
22,54000,0.75,5.9,0.8505,3
23,54000,0.9,5.7,0.882,3
24,54000,1.05,5.35,0.8715,3
25,54000,1.19,4.92,0.819,3
26,54000,1.34,4.21,0.651,3
27,62000,0.57,7.57,0.7245,4
28,62000,0.73,7.45,0.7875,4
29,62000,0.9,7.28,0.84,4
30,62000,1.06,7.03,0.8715,4
31,62000,1.22,6.57,0.8715,4
32,62000,1.39,5.87,0.819,4
33,62000,1.54,4.78,0.651,4
34,70000,0.75,9.33,0.735,5
35,70000,0.9,9.17,0.7875,5
36,70000,1.06,9.02,0.8295,5
37,70000,1.23,8.68,0.8505,5
38,70000,1.38,8.17,0.861,5
39,70000,1.54,7.2,0.8295,5
40,70000,1.61,6.69,0.7875,5
41,70000,1.68,5.48,0.651,5
42,78000,0.95,11.48,0.735,6
43,78000,1.09,11.32,0.7665,6
44,78000,1.22,11.02,0.798,6
45,78000,1.36,10.67,0.819,6
46,78000,1.5,10.16,0.8295,6
47,78000,1.64,8.94,0.819,6
48,78000,1.7,8.42,0.798,6
49,78000,1.77,6.37,0.651,6
