Vane,RPM corr [1/min],ER [ - ],M corr [kg/s],eta [fraction]
0,18000,1.010387,0.001,0.01
0,18000,1.02492,0.006622,0.01
0,18000,1.039453,0.009521,0.11448
0,18000,1.053985,0.011617,0.364182
0,18000,1.068518,0.013307,0.468029
0,18000,1.083051,0.014743,0.515516
0,18000,1.097584,0.016002,0.537314
0,18000,1.112117,0.017127,0.546157
0,18000,1.126649,0.018148,0.548037
0,18000,1.141182,0.019084,0.546031
0,18000,1.155715,0.019948,0.541821
0,18000,1.174608,0.020983,0.534589
0,18000,1.199168,0.022203,0.523889
0,18000,1.231097,0.023617,0.509571
0,18000,1.272604,0.025226,0.491849
0,18000,1.326563,0.027019,0.471284
0,18000,1.39671,0.028968,0.448237
0,18000,1.487901,0.031026,0.421714
0,18000,1.60645,0.033128,0.392386
0,18000,1.760563,0.035186,0.362096
0,18000,1.96091,0.037102,0.333955
0,18000,2.221361,0.038772,0.311381
0,18000,2.559948,0.040086,0.295184
0,18000,3,0.040929,0.278543
0,19794.9,1.012417,0.001,0.01
0,19794.9,1.030196,0.007246,0.01
0,19794.9,1.047975,0.010422,0.116984
0,19794.9,1.065754,0.012704,0.366196
0,19794.9,1.083533,0.014535,0.469612
0,19794.9,1.101312,0.016084,0.516916
0,19794.9,1.119091,0.017436,0.538709
0,19794.9,1.13687,0.01864,0.547661
0,19794.9,1.154649,0.019728,0.549719
0,19794.9,1.172428,0.020722,0.547933
0,19794.9,1.190207,0.021636,0.543968
0,19794.9,1.213319,0.022726,0.537073
0,19794.9,1.243366,0.024003,0.526825
0,19794.9,1.282426,0.025473,0.513092
0,19794.9,1.333205,0.027129,0.4961
0,19794.9,1.399217,0.02895,0.47587
0,19794.9,1.485033,0.030898,0.451408
0,19794.9,1.596593,0.032912,0.423313
0,19794.9,1.741622,0.034913,0.393292
0,19794.9,1.930159,0.036807,0.3644
0,19794.9,2.175258,0.03849,0.340335
0,19794.9,2.493886,0.039854,0.322823
0,19794.9,2.908102,0.040785,0.306777
0,19794.9,3,0.040903,0.302612
0,21589.7,1.014632,0.001,0.01
0,21589.7,1.044632,0.009436,0.01
0,21589.7,1.074632,0.013344,0.336063
0,21589.7,1.104632,0.016106,0.484117
0,21589.7,1.134632,0.018295,0.533672
0,21589.7,1.164632,0.020125,0.549373
0,21589.7,1.186044,0.021271,0.551596
0,21589.7,1.207456,0.022314,0.550035
0,21589.7,1.228868,0.02327,0.546329
0,21589.7,1.25028,0.024151,0.541417
0,21589.7,1.271692,0.024969,0.535855
0,21589.7,1.293104,0.02573,0.52998
0,21589.7,1.32094,0.026646,0.522207
0,21589.7,1.357127,0.02773,0.51224
0,21589.7,1.404169,0.028985,0.499272
0,21589.7,1.465324,0.030405,0.482611
0,21589.7,1.544825,0.031967,0.46209
0,21589.7,1.648177,0.033628,0.438106
0,21589.7,1.782535,0.035326,0.412015
0,21589.7,1.957199,0.036981,0.386354
0,21589.7,2.184263,0.038497,0.364301
0,21589.7,2.479447,0.039771,0.347576
0,21589.7,2.863185,0.040688,0.33226
0,21589.7,3,0.040874,0.325904
0,23384.6,1.017034,0.001,0.01
0,23384.6,1.047034,0.009299,0.01
0,23384.6,1.077034,0.013244,0.241126
0,23384.6,1.107034,0.016028,0.436218
0,23384.6,1.137034,0.018229,0.510331
0,23384.6,1.167034,0.020067,0.540453
0,23384.6,1.192489,0.021422,0.550629
0,23384.6,1.217944,0.022635,0.553633
0,23384.6,1.2434,0.02373,0.552656
0,23384.6,1.268855,0.024729,0.549423
0,23384.6,1.29431,0.025645,0.544919
0,23384.6,1.319766,0.02649,0.539723
0,23384.6,1.352858,0.027497,0.532492
0,23384.6,1.395877,0.028673,0.522401
0,23384.6,1.451803,0.030016,0.508559
0,23384.6,1.524506,0.031511,0.490566
0,23384.6,1.619019,0.033121,0.468522
0,23384.6,1.741887,0.034793,0.443414
0,23384.6,1.901616,0.036453,0.41747
0,23384.6,2.109263,0.038011,0.393934
0,23384.6,2.379204,0.039366,0.375481
0,23384.6,2.730127,0.040407,0.360565
0,23384.6,3,0.040842,0.348392
0,25179.5,1.019623,0.001,0.01
0,25179.5,1.049623,0.00915,0.01
0,25179.5,1.079623,0.013132,0.13188
0,25179.5,1.109623,0.015938,0.375843
0,25179.5,1.139623,0.018153,0.476508
0,25179.5,1.169623,0.019999,0.522646
0,25179.5,1.199558,0.021584,0.544145
0,25179.5,1.229493,0.022975,0.553356
0,25179.5,1.259429,0.024215,0.555987
0,25179.5,1.289364,0.02533,0.554953
0,25179.5,1.319299,0.026342,0.551842
0,25179.5,1.349235,0.027267,0.54756
0,25179.5,1.388151,0.028356,0.540719
0,25179.5,1.438741,0.029614,0.530257
0,25179.5,1.504509,0.03103,0.515543
0,25179.5,1.590007,0.032576,0.496349
0,25179.5,1.701155,0.034209,0.473228
0,25179.5,1.845647,0.035861,0.447948
0,25179.5,2.033487,0.03745,0.423557
0,25179.5,2.277678,0.038878,0.40336
0,25179.5,2.595127,0.040041,0.387949
0,25179.5,3,0.040807,0.370052
0,26974.4,1.0224,0.001,0.01
0,26974.4,1.0524,0.008993,0.01
0,26974.4,1.0824,0.013007,0.010083
0,26974.4,1.1124,0.015836,0.303807
0,26974.4,1.1424,0.018066,0.432596
0,26974.4,1.1724,0.019922,0.496135
0,26974.4,1.209067,0.021843,0.534069
0,26974.4,1.245734,0.023486,0.551009
0,26974.4,1.282401,0.02492,0.55751
0,26974.4,1.319067,0.026188,0.558494
0,26974.4,1.355734,0.027322,0.556455
0,26974.4,1.392401,0.028343,0.552292
0,26974.4,1.440068,0.029529,0.544712
0,26974.4,1.502035,0.030875,0.532918
0,26974.4,1.582592,0.032359,0.516458
0,26974.4,1.687316,0.033941,0.495602
0,26974.4,1.823457,0.035562,0.471801
0,26974.4,2.000441,0.037143,0.447891
0,26974.4,2.23052,0.038592,0.427341
0,26974.4,2.529622,0.039803,0.411654
0,26974.4,2.918456,0.040662,0.395206
0,26974.4,3,0.040768,0.390855
0,28769.2,1.025367,0.001,0.01
0,28769.2,1.055367,0.00883,0.01
0,28769.2,1.085367,0.012871,0.01
0,28769.2,1.115367,0.015722,0.221005
0,28769.2,1.145367,0.017968,0.37906
0,28769.2,1.175367,0.019834,0.461166
0,28769.2,1.21312,0.021817,0.514933
0,28769.2,1.250874,0.023504,0.541644
0,28769.2,1.288627,0.024971,0.554637
0,28769.2,1.326381,0.026265,0.560173
0,28769.2,1.364134,0.027418,0.56141
0,28769.2,1.401888,0.028455,0.559563
0,28769.2,1.450967,0.029656,0.554144
0,28769.2,1.514771,0.031015,0.544234
0,28769.2,1.597715,0.032508,0.529307
0,28769.2,1.705543,0.034094,0.509655
0,28769.2,1.845719,0.035711,0.48688
0,28769.2,2.027948,0.037279,0.464035
0,28769.2,2.264845,0.038705,0.444673
0,28769.2,2.572812,0.039883,0.429852
0,28769.2,2.973168,0.040693,0.412302
0,28769.2,3,0.040727,0.410776
0,30564.1,1.028525,0.001,0.01
0,30564.1,1.058525,0.008661,0.01
0,30564.1,1.088525,0.012725,0.01
0,30564.1,1.118525,0.015598,0.128386
0,30564.1,1.148525,0.017859,0.316429
0,30564.1,1.178525,0.019737,0.418037
0,30564.1,1.225099,0.022149,0.498869
0,30564.1,1.271674,0.024136,0.536599
0,30564.1,1.318249,0.025822,0.554463
0,30564.1,1.364823,0.027278,0.562187
0,30564.1,1.411398,0.028553,0.563598
0,30564.1,1.457973,0.02968,0.56103
0,30564.1,1.51852,0.030965,0.554231
0,30564.1,1.597231,0.032389,0.542468
0,30564.1,1.699555,0.033916,0.525742
0,30564.1,1.832577,0.035491,0.505305
0,30564.1,2.005506,0.037037,0.483911
0,30564.1,2.230312,0.038466,0.465118
0,30564.1,2.522561,0.039675,0.450667
0,30564.1,2.902485,0.040548,0.43508
0,30564.1,3,0.040681,0.429789
0,32359,1.031875,0.001,0.01
0,32359,1.061875,0.00849,0.01
0,32359,1.091875,0.012569,0.01
0,32359,1.121875,0.015464,0.02693
0,32359,1.151875,0.017741,0.245283
0,32359,1.181875,0.01963,0.367098
0,32359,1.233073,0.022269,0.474736
0,32359,1.284272,0.024408,0.525109
0,32359,1.33547,0.026198,0.549873
0,32359,1.386669,0.02773,0.561471
0,32359,1.437867,0.029058,0.564956
0,32359,1.489066,0.030224,0.563586
0,32359,1.555624,0.031541,0.557644
0,32359,1.642149,0.032986,0.546482
0,32359,1.754632,0.034516,0.5304
0,32359,1.90086,0.03607,0.511145
0,32359,2.090957,0.037569,0.49192
0,32359,2.338082,0.038917,0.476047
0,32359,2.659345,0.040007,0.463314
0,32359,3,0.040633,0.447867
0,34153.8,1.035418,0.001,0.01
0,34153.8,1.065418,0.008316,0.01
0,34153.8,1.095418,0.012406,0.01
0,34153.8,1.125418,0.01532,0.01
0,34153.8,1.155418,0.017612,0.166236
0,34153.8,1.185418,0.019514,0.308735
0,34153.8,1.237859,0.022224,0.441183
0,34153.8,1.290299,0.024409,0.50554
0,34153.8,1.34274,0.026232,0.539076
0,34153.8,1.39518,0.027786,0.556416
0,34153.8,1.447621,0.02913,0.56387
0,34153.8,1.500061,0.030307,0.565366
0,34153.8,1.568234,0.031634,0.562095
0,34153.8,1.656858,0.033085,0.55332
0,34153.8,1.77207,0.034618,0.539339
0,34153.8,1.921845,0.036168,0.522002
0,34153.8,2.116553,0.037654,0.504638
0,34153.8,2.369673,0.038983,0.4905
0,34153.8,2.698729,0.040044,0.478696
0,34153.8,3,0.04058,0.464984
0,35948.7,1.039157,0.001,0.01
