,Time,262800 __DutyCycle_1,277400 __DutyCycle_1,292000 __DutyCycle_1,262800 __DutyCycle_2,277400 __DutyCycle_2,292000 __DutyCycle_2,262800 __DutyCycle_3,277400 __DutyCycle_3,292000 __DutyCycle_3,262800 __DutyCycle_4,277400 __DutyCycle_4,292000 __DutyCycle_4,262800 __DutyCycle_5,277400 __DutyCycle_5,292000 __DutyCycle_5
0,100.0,5.376944900437053e-08,4.3602938493148e-07,4.955774536075097e-06,1.0492064439482363e-08,1.2756726675000607e-08,6.576391087254052e-08,1.0492064439482363e-08,1.0492064439482363e-08,1.0492064439482363e-08,6.607247637901992e-09,6.607247637901992e-09,6.607247637901992e-09,1.0492064439482363e-08,1.0492064439482363e-08,1.0492064439482363e-08
1,110.00000000000001,7.15671359952097e-08,5.803550694460924e-07,6.596130497471542e-06,1.3964937761734575e-08,1.6979203154576794e-08,8.753176439224575e-08,1.3964937761734575e-08,1.3964937761734575e-08,1.3964937761734575e-08,8.794246553200935e-09,8.794246553200935e-09,8.794246553200935e-09,1.3964937761734575e-08,1.3964937761734575e-08,1.3964937761734575e-08
2,121.00000000000003,9.525585686898097e-08,7.724525232788437e-07,8.779440108019898e-06,1.8587332117903088e-08,2.2599319304816845e-08,1.1650477671487636e-07,1.8587332117903088e-08,1.8587332117903088e-08,1.8587332117903088e-08,1.1705142188844775e-08,1.1705142188844775e-08,1.1705142188844775e-08,1.8587332117903088e-08,1.8587332117903088e-08,1.8587332117903088e-08
3,133.10000000000005,1.2678554339728976e-07,1.0281341770168595e-06,1.168541780482979e-05,2.4739739035162245e-08,3.0079693846829514e-08,1.5506785477903406e-07,2.4739739035162245e-08,2.4739739035162245e-08,2.4739739035162245e-08,1.5579544210275742e-08,1.5579544210275742e-08,1.5579544210275742e-08,2.4739739035162245e-08,2.4739739035162245e-08,2.4739739035162245e-08
4,146.41000000000008,1.6875155472995118e-07,1.3684463567864569e-06,1.5553261018985687e-05,3.292859251935454e-08,4.0036072346261165e-08,2.0639530939892126e-07,3.292859251935454e-08,3.292859251935454e-08,3.292859251935454e-08,2.0736373285146215e-08,2.0736373285146215e-08,2.0736373285146215e-08,3.292859251935454e-08,3.292859251935454e-08,3.292859251935454e-08
5,161.0510000000001,2.246083131707266e-07,1.8214016883622008e-06,2.0701337129391817e-05,4.382795637525305e-08,5.3288011891972076e-08,2.7471214747443184e-07,4.382795637525305e-08,4.382795637525305e-08,4.382795637525305e-08,2.760011275082519e-08,2.760011275082519e-08,2.760011275082519e-08,4.382795637525305e-08,4.382795637525305e-08,4.382795637525305e-08
6,177.15610000000012,2.989536536102122e-07,2.4242849164801683e-06,2.7553385318679346e-05,5.833500960061855e-08,7.092634324301628e-08,3.6564185157406115e-07,5.833500960061855e-08,5.833500960061855e-08,5.833500960061855e-08,3.6735749886496194e-08,3.6735749886496194e-08,3.6735749886496194e-08,5.833500960061855e-08,5.833500960061855e-08,5.833500960061855e-08
7,194.87171000000015,3.9790729333688546e-07,3.2267219292059224e-06,3.667338862356484e-05,7.76438969785076e-08,9.440296167007034e-08,4.866692749905255e-07,7.76438969785076e-08,7.76438969785076e-08,7.76438969785076e-08,4.889528271156962e-08,4.889528271156962e-08,4.889528271156962e-08,7.76438969785076e-08,7.76438969785076e-08,7.76438969785076e-08
8,214.3588810000002,5.296145725308676e-07,4.294764594292566e-06,4.8811983991980945e-05,1.0334402555933764e-07,1.2565034002154363e-07,6.477567529028505e-07,1.0334402555933764e-07,1.0334402555933764e-07,1.0334402555933764e-07,6.507962080348761e-08,6.507962080348761e-08,6.507962080348761e-08,1.0334402555933764e-07,1.0334402555933764e-07,1.0334402555933764e-07
9,235.79476910000022,7.049169342687733e-07,5.7163276119265305e-06,6.496822584511897e-05,1.3755089567357714e-07,1.6724059914707823e-07,8.62164145631894e-07,1.3755089567357714e-07,1.3755089567357714e-07,1.3755089567357714e-07,8.662097439326999e-08,8.662097439326999e-08,8.662097439326999e-08,1.3755089567357714e-07,1.3755089567357714e-07,1.3755089567357714e-07
