,Time,PtC,PbC out,PbC in,PtT,Pbt out,PbT in,Engine rpm,C/C pres,C/C pres,C/C pres,C/C pres,C/C pres,TimeET,aps_pos_%,egr_gas_press_kPa,eng_rpm_rpm,EB Status,trb_spd_est_rpm,Air,oil_press_kPa,oil_temp_degC
,,,,,,,,,,,,,,,,,,,,,,
Sr,Time,PtC,PcBout,PbCin,PtT,PbTcout,PbTin,Erpm,,,,,,,,,,,TCrpm,AirFlow,Poil,Toil
1,0,68.9,77.1,63.1,33.4,54.9,56.6,1698,0,77.1,63.1,54.9,56.6,0,100,273.387141,1700.620226,0,151402.4969,83.873409,237.015093,106.3125
2,0.1,67.9,74.9,63.5,31.9,53.6,51.9,1701,0,74.9,63.5,53.6,51.9,0.1,100,274.409117,1699.675295,0,151048.6151,82.951275,249.500384,106.320393
3,0.2,70.2,79.2,63.7,30.9,53.4,53.9,1702,0,79.2,63.7,53.4,53.9,0.2,100,273.407684,1699.269037,0,151406.4951,83.620871,244.590143,106.386466
4,0.3,68.7,77,62.9,31.1,54.5,53.9,1701,0,77,62.9,54.5,53.9,0.3,100,273.794987,1700.094352,0,151223.846,81.576621,240.140107,106.4375
5,0.4,68,74.7,63.4,31.6,52.5,53.2,1700,0,74.7,63.4,52.5,53.2,0.4,100,274.374411,1699.257064,0,151221.4251,84.203983,257.023953,106.4375
6,0.5,70.2,79.1,63.6,32.8,54,53.4,1698,0,79.1,63.6,54,53.4,0.5,100,274.327356,1700,0,151788.1968,85.839449,234.581114,106.418249
7,0.6,68.7,77.2,63,32.8,54.5,54.3,1702,0,77.2,63,54.5,54.3,0.6,100,274.563048,1699.909888,0,151674.5135,83.948216,258.051035,106.418774
8,0.7,67.8,74.7,63.4,31.9,53,52.8,1700,0,74.7,63.4,53,52.8,0.7,100,273.929799,1699.138622,0,151254.5983,84.679799,229.693016,106.475807
9,0.8,70,79,63.6,32,54,52,1700,0,79,63.6,54,52,0.8,100,273.992989,1700.060642,0,151045.1237,84.592821,253.373681,106.4375
10,0.9,68.3,76.9,62.8,32.4,55.3,54.3,1699,0,76.9,62.8,55.3,54.3,0.9,100,274.475792,1699.576584,0,151422.7041,84.623303,235.321946,106.4375
11,1,67.9,74.4,63.3,31.2,52.6,54.6,1705,0,74.4,63.3,52.6,54.6,1,100,274.219885,1698.969885,0,151267.7578,85.2643,246.231834,106.502028
12,1.1,69.9,78.7,63.5,31.2,54.5,53.2,1701,0,78.7,63.5,54.5,53.2,1.1,100,275.424056,1699.325433,0,151381.7979,85.126083,242.655197,106.492662
13,1.2,68.5,76.7,62.8,32.2,55.8,55.7,1702,0,76.7,62.8,55.8,55.7,1.2,100,277.350782,1699.330626,0,151632.2408,85.435469,248.47623,106.4375
