	Time	á@PtC	áAPbC out	áBPbC in	áCPtT	áDPbt out	áEPbT in	ÉGÉìÉWÉìâÒì]êî	C/Cì‡à≥	áA-C/Cì‡à≥	áB-C/Cì‡à≥	áD-C/Cì‡à≥	áE-C/Cì‡à≥	aps_pos	egr_gas_press	eng_rpm	exh_exb_control_status	exh_exb_enable_status	exh_relay_control_status			"Åhá@PtCÅhÇ∆""áCPtT""ÇÃà≥óÕç∑"
														VNT			EB	EB	EB			
Sr	Time	PtC	PbCout	PbCin	PtT	PbTout	PbTin	Erpm							P2T	Erpm						
1	0	26.2	28.1	24.3	7	14.7	12.2	1097	0.3	27.8	24	14.4	11.9	100	160.958104	1100.458793	0	0	0			-19.2
2	0.1	26.4	28.5	24.5	6.8	13.9	14.7	1100	0.3	28.2	24.2	13.6	14.4	100	161.139673	1100.172827	0	0	0			-19.6
3	0.2	26.9	29.7	24.5	6.1	13.4	13.9	1097	0.3	29.4	24.2	13.1	13.6	100	161.4375	1099.967229	0	0	0			-20.8
4	0.3	26.5	28.5	24.4	6.8	13.2	14.1	1103	0.3	28.2	24.1	12.9	13.8	100	161.419807	1100.285386	0	0	0			-19.7
5	0.4	26.4	28.4	24.6	7.3	13.9	13.9	1095	0.3	28.1	24.3	13.6	13.6	100	161.215716	1100.375	0	0	0			-19.1
6	0.5	27	29.5	24.4	5.9	14.3	14.4	1103	0.3	29.2	24.1	14	14.1	100	160.897954	1100.329092	0	0	0			-21.1
7	0.6	26.2	28.3	24.3	6.1	13.2	12.4	1101	0.3	28	24	12.9	12.1	100	160.836355	1100.553435	0	0	0			-20.1
8	0.7	26.5	28.5	24.4	6.9	13.4	15.2	1102	0.3	28.2	24.1	13.1	14.9	100	160.631054	1100.774216	0	0	0			-19.6
9	0.8	26.6	29.4	24.3	7.3	14.2	13.2	1100	0.3	29.1	24	13.9	12.9	100	160.655141	1100.314718	0	0	0			-19.3
10	0.9	26.2	28.2	24.2	7	14.7	12.6	1095	0.3	27.9	23.9	14.4	12.3	100	160.615922	1100.259078	0	0	0			-19.2
11	1	26.5	28.2	24.5	5.5	13.9	14.4	1100	0.3	27.9	24.2	13.6	14.1	100	160.608484	1100.447323	0	0	0			-21
12	1.1	26.9	29.7	24.4	6.8	13.5	14.1	1103	0.3	29.4	24.1	13.2	13.8	100	160.6875	1100.577202	0	0	0			-20.1
13	1.2	26.3	28.3	24.3	7.3	13.4	12.8	1103	0.3	28	24	13.1	12.5	100	161.265528	1100.542425	0	0	0			-19
14	1.3	26.4	28.5	24.4	7	13.9	14.1	1103	0.3	28.2	24.1	13.6	13.8	100	161.430303	1100.5	0	0	0			-19.4
15	1.4	26.9	29.6	24.4	7.3	13.5	14.3	1100	0.3	29.3	24.1	13.2	14	100	160.954588	1100.8737	0	0	0			-19.6
16	1.5	26.2	28.2	24.2	6.3	13.5	10.7	1102	0.3	27.9	23.9	13.2	10.4	100	160.664422	1100.605125	0	0	0			-19.9
17	1.6	26.2	28.3	24.4	7.4	13.4	12.2	1102	0.3	28	24.1	13.1	11.9	100	160.625	1100.396247	0	0	0			-18.8
18	1.7	26.6	29.4	24.2	6.8	13.8	13.4	1100	0.3	29.1	23.9	13.5	13.1	100	160.407158	1100.157158	0	0	0			-19.8
19	1.8	26.1	28.2	24.2	6.8	13.8	13.3	1100	0.3	27.9	23.9	13.5	13	100	160.146591	1100.239204	0	0	0			-19.3
20	1.9	26.3	28.2	24.4	6.9	13.8	13.7	1098	0.3	27.9	24.1	13.5	13.4	100	160.662652	1100.25	0	0	0			-19.4
21	2	26.7	29.4	24.3	6.3	13.5	13.9	1100	0.3	29.1	24	13.2	13.6	100	160.874657	1100.374771	0	0	0			-20.4
22	2.1	26.2	28.2	24.2	6.5	13.4	12.8	1100	0.3	27.9	23.9	13.1	12.5	100	160.935136	1100.625	0	0	0			-19.7
23	2.2	26.3	28.2	24.4	6.8	14.5	14.3	1100	0.3	27.9	24.1	14.2	14	100	160.909843	1100.615045	0	0	0			-19.5
24	2.3	26.9	29.8	24.5	6.9	13.4	12.2	1100	0.3	29.5	24.2	13.1	11.9	100	161.358669	1100.5	0	0	0			-20
25	2.4	26.4	28.5	24.3	7	14.2	12.6	1097	0.3	28.2	24	13.9	12.3	100	161.584607	1100.458843	0	0	0			-19.4
26	2.5	26.4	28.2	24.4	5.8	13.4	13.9	1101	0.3	27.9	24.1	13.1	13.6	100	160.885222	1100.25	0	0	0			-20.6
27	2.6	26.8	29.8	24.4	6.9	13.5	13.2	1101	0.3	29.5	24.1	13.2	12.9	100	160.202104	1100.220791	0	0	0			-19.9
28	2.7	26.4	28.3	24.2	5.9	13.8	13.2	1098	0.3	28	23.9	13.5	12.9	100	160.356861	1100.125	0	0	0			-20.5
29	2.8	26.3	28.3	24.3	7.4	14.3	13.4	1097	0.3	28	24	14	13.1	100	160.685543	1100.165362	0	0	0			-18.9
30	2.9	26.9	29.6	24.3	5.8	13.8	13.2	1102	0.3	29.3	24	13.5	12.9	100	160.904886	1100.342386	0	0	0			-21.1
31	3	26.2	28.3	24.1	6.5	13.2	13.9	1100	0.3	28	23.8	12.9	13.6	100	160.960426	1100.704147	0	0	0			-19.7
32	3.1	26.4	28.2	24.4	6.5	13.5	15.6	1098	0.3	27.9	24.1	13.2	15.3	100	160.92476	1101.05613	0	0	0			-19.9
33	3.2	27	29.8	24.4	5.9	13.8	13.2	1103	0.3	29.5	24.1	13.5	12.9	100	161.154528	1100.818241	0	0	0			-21.1
