Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.50000	9.9531	0.10047	74.888	125.12	3.4310	0.31388	0.53046	290.30	5.2354	1.9063e-05	0.014965	vapor
-20.000	0.50000	9.5499	0.10471	78.067	130.42	3.4523	0.31369	0.52947	296.34	4.8763	1.9732e-05	0.015487	vapor
-10.000	0.50000	9.1787	0.10895	81.240	135.71	3.4728	0.31353	0.52861	302.24	4.5508	2.0392e-05	0.016001	vapor
0.0000	0.50000	8.8358	0.11318	84.408	141.00	3.4925	0.31339	0.52787	308.02	4.2546	2.1044e-05	0.016509	vapor
10.000	0.50000	8.5179	0.11740	87.572	146.27	3.5115	0.31327	0.52723	313.69	3.9839	2.1688e-05	0.017011	vapor
20.000	0.50000	8.2225	0.12162	90.732	151.54	3.5298	0.31317	0.52666	319.25	3.7356	2.2324e-05	0.017506	vapor
30.000	0.50000	7.9472	0.12583	93.889	156.80	3.5474	0.31309	0.52616	324.71	3.5070	2.2953e-05	0.017996	vapor
40.000	0.50000	7.6899	0.13004	97.044	162.06	3.5645	0.31301	0.52571	330.07	3.2959	2.3574e-05	0.018480	vapor
50.000	0.50000	7.4489	0.13425	100.20	167.32	3.5810	0.31295	0.52532	335.34	3.1004	2.4188e-05	0.018958	vapor
60.000	0.50000	7.2228	0.13845	103.35	172.57	3.5970	0.31289	0.52496	340.52	2.9189	2.4795e-05	0.019431	vapor
70.000	0.50000	7.0101	0.14265	106.49	177.82	3.6125	0.31284	0.52464	345.63	2.7500	2.5395e-05	0.019898	vapor
80.000	0.50000	6.8097	0.14685	109.64	183.06	3.6276	0.31280	0.52436	350.65	2.5923	2.5989e-05	0.020361	vapor
90.000	0.50000	6.6206	0.15104	112.78	188.31	3.6422	0.31276	0.52410	355.61	2.4449	2.6576e-05	0.020818	vapor
100.00	0.50000	6.4417	0.15524	115.93	193.55	3.6565	0.31272	0.52386	360.49	2.3068	2.7156e-05	0.021271	vapor
110.00	0.50000	6.2724	0.15943	119.07	198.78	3.6703	0.31269	0.52365	365.30	2.1771	2.7731e-05	0.021718	vapor
120.00	0.50000	6.1117	0.16362	122.21	204.02	3.6838	0.31266	0.52345	370.05	2.0551	2.8300e-05	0.022162	vapor
130.00	0.50000	5.9592	0.16781	125.35	209.25	3.6970	0.31263	0.52327	374.74	1.9401	2.8863e-05	0.022600	vapor
140.00	0.50000	5.8141	0.17199	128.49	214.48	3.7098	0.31261	0.52311	379.37	1.8317	2.9420e-05	0.023035	vapor
150.00	0.50000	5.6760	0.17618	131.62	219.71	3.7223	0.31259	0.52296	383.94	1.7292	2.9972e-05	0.023465	vapor
160.00	0.50000	5.5443	0.18036	134.76	224.94	3.7345	0.31257	0.52282	388.45	1.6322	3.0519e-05	0.023891	vapor
170.00	0.50000	5.4186	0.18455	137.90	230.17	3.7464	0.31255	0.52269	392.91	1.5402	3.1060e-05	0.024313	vapor
180.00	0.50000	5.2986	0.18873	141.03	235.40	3.7581	0.31253	0.52257	397.32	1.4529	3.1597e-05	0.024731	vapor
190.00	0.50000	5.1837	0.19291	144.17	240.62	3.7695	0.31252	0.52246	401.69	1.3700	3.2128e-05	0.025145	vapor
200.00	0.50000	5.0738	0.19709	147.30	245.85	3.7807	0.31250	0.52235	406.00	1.2911	3.2655e-05	0.025555	vapor
210.00	0.50000	4.9684	0.20127	150.43	251.07	3.7916	0.31249	0.52226	410.27	1.2160	3.3177e-05	0.025962	vapor
220.00	0.50000	4.8674	0.20545	153.57	256.29	3.8023	0.31248	0.52217	414.49	1.1444	3.3694e-05	0.026365	vapor
230.00	0.50000	4.7704	0.20963	156.70	261.51	3.8128	0.31247	0.52209	418.67	1.0761	3.4207e-05	0.026765	vapor
240.00	0.50000	4.6772	0.21380	159.83	266.73	3.8230	0.31246	0.52201	422.80	1.0108	3.4715e-05	0.027161	vapor
250.00	0.50000	4.5876	0.21798	162.96	271.95	3.8331	0.31245	0.52193	426.90	0.94834	3.5219e-05	0.027554	vapor
260.00	0.50000	4.5013	0.22216	166.09	277.17	3.8430	0.31244	0.52187	430.96	0.88860	3.5719e-05	0.027944	vapor
270.00	0.50000	4.4183	0.22633	169.22	282.39	3.8527	0.31243	0.52180	434.97	0.83138	3.6215e-05	0.028330	vapor
280.00	0.50000	4.3383	0.23051	172.35	287.61	3.8622	0.31242	0.52174	438.95	0.77653	3.6707e-05	0.028714	vapor
290.00	0.50000	4.2611	0.23468	175.48	292.82	3.8716	0.31241	0.52168	442.90	0.72390	3.7195e-05	0.029094	vapor
300.00	0.50000	4.1866	0.23885	178.61	298.04	3.8807	0.31241	0.52163	446.81	0.67338	3.7680e-05	0.029472	vapor
310.00	0.50000	4.1148	0.24303	181.74	303.26	3.8898	0.31240	0.52158	450.68	0.62484	3.8160e-05	0.029846	vapor
320.00	0.50000	4.0453	0.24720	184.87	308.47	3.8986	0.31240	0.52153	454.52	0.57817	3.8637e-05	0.030218	vapor
330.00	0.50000	3.9781	0.25137	188.00	313.69	3.9073	0.31239	0.52149	458.33	0.53327	3.9111e-05	0.030587	vapor
340.00	0.50000	3.9132	0.25555	191.13	318.90	3.9159	0.31238	0.52144	462.11	0.49004	3.9580e-05	0.030953	vapor
350.00	0.50000	3.8503	0.25972	194.26	324.12	3.9244	0.31238	0.52140	465.86	0.44840	4.0047e-05	0.031317	vapor
360.00	0.50000	3.7895	0.26389	197.39	329.33	3.9327	0.31237	0.52136	469.57	0.40826	4.0510e-05	0.031678	vapor
370.00	0.50000	3.7305	0.26806	200.51	334.54	3.9408	0.31237	0.52133	473.26	0.36954	4.0970e-05	0.032037	vapor
380.00	0.50000	3.6734	0.27223	203.64	339.76	3.9489	0.31236	0.52129	476.91	0.33219	4.1427e-05	0.032393	vapor
390.00	0.50000	3.6179	0.27640	206.77	344.97	3.9568	0.31236	0.52126	480.54	0.29611	4.1880e-05	0.032746	vapor
400.00	0.50000	3.5642	0.28057	209.90	350.18	3.9646	0.31236	0.52123	484.15	0.26127	4.2331e-05	0.033097	vapor
