Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	1.5000	30.303	0.033000	72.832	122.33	3.1939	0.31724	0.55174	290.22	5.0878	1.9335e-05	0.015392	vapor
-20.000	1.5000	29.012	0.034468	76.130	127.83	3.2160	0.31666	0.54851	296.49	4.7399	1.9991e-05	0.015897	vapor
-10.000	1.5000	27.833	0.035929	79.410	133.30	3.2372	0.31617	0.54576	302.60	4.4245	2.0640e-05	0.016397	vapor
0.0000	1.5000	26.750	0.037383	82.675	138.75	3.2575	0.31575	0.54340	308.56	4.1373	2.1281e-05	0.016892	vapor
10.000	1.5000	25.753	0.038831	85.926	144.17	3.2770	0.31541	0.54135	314.39	3.8748	2.1916e-05	0.017381	vapor
20.000	1.5000	24.830	0.040274	89.166	149.58	3.2958	0.31511	0.53956	320.08	3.6338	2.2543e-05	0.017866	vapor
30.000	1.5000	23.974	0.041712	92.396	154.96	3.3139	0.31485	0.53800	325.66	3.4119	2.3163e-05	0.018345	vapor
40.000	1.5000	23.177	0.043147	95.617	160.34	3.3313	0.31463	0.53662	331.13	3.2070	2.3777e-05	0.018819	vapor
50.000	1.5000	22.433	0.044578	98.830	165.70	3.3482	0.31443	0.53539	336.49	3.0171	2.4384e-05	0.019289	vapor
60.000	1.5000	21.736	0.046006	102.04	171.05	3.3645	0.31426	0.53430	341.76	2.8407	2.4984e-05	0.019753	vapor
70.000	1.5000	21.083	0.047431	105.24	176.38	3.3802	0.31411	0.53332	346.94	2.6764	2.5578e-05	0.020213	vapor
80.000	1.5000	20.469	0.048854	108.43	181.71	3.3955	0.31398	0.53244	352.03	2.5230	2.6166e-05	0.020668	vapor
90.000	1.5000	19.891	0.050274	111.62	187.03	3.4104	0.31386	0.53165	357.04	2.3795	2.6748e-05	0.021119	vapor
100.00	1.5000	19.345	0.051692	114.81	192.35	3.4248	0.31375	0.53093	361.97	2.2450	2.7323e-05	0.021565	vapor
110.00	1.5000	18.829	0.053108	117.99	197.65	3.4389	0.31365	0.53028	366.83	2.1186	2.7893e-05	0.022007	vapor
120.00	1.5000	18.341	0.054523	121.17	202.95	3.4525	0.31357	0.52968	371.62	1.9997	2.8458e-05	0.022444	vapor
130.00	1.5000	17.878	0.055936	124.34	208.25	3.4658	0.31349	0.52914	376.35	1.8877	2.9016e-05	0.022877	vapor
140.00	1.5000	17.438	0.057348	127.51	213.53	3.4788	0.31342	0.52864	381.01	1.7819	2.9570e-05	0.023306	vapor
150.00	1.5000	17.019	0.058758	130.68	218.82	3.4914	0.31336	0.52818	385.61	1.6819	3.0118e-05	0.023731	vapor
160.00	1.5000	16.620	0.060167	133.85	224.10	3.5038	0.31330	0.52776	390.15	1.5872	3.0661e-05	0.024153	vapor
170.00	1.5000	16.240	0.061575	137.01	229.37	3.5158	0.31324	0.52737	394.63	1.4974	3.1199e-05	0.024570	vapor
180.00	1.5000	15.878	0.062981	140.17	234.65	3.5276	0.31319	0.52701	399.06	1.4121	3.1732e-05	0.024984	vapor
190.00	1.5000	15.531	0.064387	143.33	239.91	3.5391	0.31315	0.52668	403.44	1.3311	3.2260e-05	0.025393	vapor
200.00	1.5000	15.199	0.065792	146.49	245.18	3.5503	0.31311	0.52637	407.77	1.2540	3.2784e-05	0.025800	vapor
