Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.10000	2.1984	0.45487	415.02	460.51	2.5714	0.60126	0.79890	244.63	18.778	1.2223e-05	0.012463	vapor
-20.000	0.10000	2.1090	0.47417	421.12	468.54	2.6038	0.61140	0.80788	249.23	16.816	1.2721e-05	0.013178	vapor
-10.000	0.10000	2.0267	0.49341	427.32	476.67	2.6352	0.62167	0.81720	253.71	15.149	1.3217e-05	0.013915	vapor
0.0000	0.10000	1.9508	0.51261	433.62	484.89	2.6659	0.63197	0.82672	258.09	13.721	1.3711e-05	0.014674	vapor
10.000	0.10000	1.8805	0.53178	440.02	493.20	2.6958	0.64223	0.83633	262.37	12.488	1.4201e-05	0.015450	vapor
20.000	0.10000	1.8152	0.55091	446.52	501.61	2.7250	0.65241	0.84596	266.57	11.417	1.4689e-05	0.016241	vapor
30.000	0.10000	1.7543	0.57002	453.12	510.12	2.7535	0.66247	0.85555	270.68	10.479	1.5174e-05	0.017046	vapor
40.000	0.10000	1.6975	0.58911	459.81	518.72	2.7814	0.67238	0.86506	274.72	9.6534	1.5655e-05	0.017861	vapor
50.000	0.10000	1.6442	0.60818	466.60	527.42	2.8088	0.68213	0.87446	278.69	8.9229	1.6134e-05	0.018684	vapor
60.000	0.10000	1.5943	0.62724	473.49	536.21	2.8356	0.69171	0.88373	282.60	8.2731	1.6609e-05	0.019514	vapor
70.000	0.10000	1.5473	0.64628	480.47	545.09	2.8618	0.70110	0.89287	286.44	7.6924	1.7081e-05	0.020350	vapor
80.000	0.10000	1.5031	0.66531	487.54	554.07	2.8876	0.71031	0.90184	290.23	7.1710	1.7549e-05	0.021189	vapor
90.000	0.10000	1.4613	0.68432	494.70	563.13	2.9129	0.71933	0.91066	293.96	6.7010	1.8014e-05	0.022031	vapor
100.00	0.10000	1.4218	0.70333	501.95	572.28	2.9378	0.72817	0.91931	297.64	6.2758	1.8475e-05	0.022875	vapor
110.00	0.10000	1.3844	0.72233	509.28	581.52	2.9622	0.73682	0.92780	301.27	5.8896	1.8933e-05	0.023719	vapor
120.00	0.10000	1.3489	0.74132	516.70	590.84	2.9862	0.74529	0.93613	304.85	5.5377	1.9387e-05	0.024564	vapor
130.00	0.10000	1.3153	0.76031	524.21	600.24	3.0098	0.75358	0.94429	308.39	5.2161	1.9837e-05	0.025409	vapor
140.00	0.10000	1.2832	0.77928	531.79	609.72	3.0331	0.76170	0.95228	311.88	4.9213	2.0284e-05	0.026252	vapor
150.00	0.10000	1.2527	0.79826	539.46	619.28	3.0559	0.76964	0.96012	315.33	4.6502	2.0728e-05	0.027094	vapor
160.00	0.10000	1.2237	0.81722	547.20	628.92	3.0784	0.77742	0.96781	318.75	4.4003	2.1168e-05	0.027934	vapor
170.00	0.10000	1.1959	0.83619	555.02	638.64	3.1006	0.78504	0.97534	322.12	4.1694	2.1604e-05	0.028773	vapor
180.00	0.10000	1.1694	0.85515	562.92	648.43	3.1225	0.79250	0.98272	325.45	3.9556	2.2037e-05	0.029609	vapor
190.00	0.10000	1.1440	0.87410	570.88	658.29	3.1440	0.79982	0.98996	328.75	3.7571	2.2466e-05	0.030442	vapor
200.00	0.10000	1.1198	0.89305	578.92	668.23	3.1652	0.80698	0.99706	332.02	3.5724	2.2891e-05	0.031273	vapor
210.00	0.10000	1.0965	0.91200	587.03	678.23	3.1861	0.81400	1.0040	335.25	3.4003	2.3314e-05	0.032102	vapor
220.00	0.10000	1.0742	0.93095	595.21	688.31	3.2068	0.82088	1.0108	338.45	3.2396	2.3732e-05	0.032927	vapor
230.00	0.10000	1.0528	0.94989	603.46	698.45	3.2271	0.82763	1.0175	341.62	3.0892	2.4148e-05	0.033749	vapor
240.00	0.10000	1.0322	0.96883	611.78	708.66	3.2472	0.83424	1.0241	344.75	2.9483	2.4559e-05	0.034569	vapor
250.00	0.10000	1.0124	0.98777	620.16	718.93	3.2671	0.84073	1.0305	347.86	2.8160	2.4968e-05	0.035385	vapor
260.00	0.10000	0.99334	1.0067	628.60	729.27	3.2866	0.84710	1.0369	350.94	2.6917	2.5373e-05	0.036199	vapor
270.00	0.10000	0.97500	1.0256	637.11	739.67	3.3060	0.85334	1.0431	353.99	2.5746	2.5775e-05	0.037009	vapor
280.00	0.10000	0.95733	1.0446	645.67	750.13	3.3250	0.85946	1.0492	357.01	2.4642	2.6174e-05	0.037816	vapor
290.00	0.10000	0.94029	1.0635	654.30	760.65	3.3439	0.86548	1.0551	360.00	2.3600	2.6569e-05	0.038620	vapor
300.00	0.10000	0.92385	1.0824	662.99	771.23	3.3625	0.87137	1.0610	362.97	2.2615	2.6961e-05	0.039421	vapor
310.00	0.10000	0.90797	1.1014	671.74	781.87	3.3809	0.87716	1.0668	365.92	2.1683	2.7350e-05	0.040218	vapor
320.00	0.10000	0.89264	1.1203	680.54	792.57	3.3991	0.88285	1.0724	368.84	2.0799	2.7736e-05	0.041012	vapor
330.00	0.10000	0.87781	1.1392	689.40	803.32	3.4171	0.88843	1.0780	371.74	1.9961	2.8119e-05	0.041803	vapor
340.00	0.10000	0.86346	1.1581	698.31	814.13	3.4349	0.89391	1.0834	374.61	1.9165	2.8499e-05	0.042591	vapor
350.00	0.10000	0.84958	1.1770	707.28	824.99	3.4524	0.89929	1.0888	377.46	1.8409	2.8876e-05	0.043375	vapor
