Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	2.0000	28.338	0.035288	307.09	377.67	2.8776	0.75071	1.1009	318.43	3.5190	1.5577e-05	0.023020	vapor
-20.000	2.0000	27.106	0.036893	314.86	388.65	2.9218	0.74996	1.0948	325.51	3.2608	1.6035e-05	0.023733	vapor
-10.000	2.0000	25.984	0.038486	322.60	399.57	2.9642	0.74939	1.0897	332.37	3.0267	1.6488e-05	0.024436	vapor
0.0000	2.0000	24.957	0.040069	330.31	410.44	3.0047	0.74897	1.0853	339.05	2.8134	1.6935e-05	0.025130	vapor
10.000	2.0000	24.013	0.041644	337.99	421.28	3.0437	0.74868	1.0816	345.55	2.6181	1.7378e-05	0.025816	vapor
20.000	2.0000	23.142	0.043211	345.66	432.08	3.0812	0.74850	1.0784	351.89	2.4386	1.7815e-05	0.026493	vapor
30.000	2.0000	22.336	0.044771	353.31	442.85	3.1173	0.74844	1.0757	358.08	2.2730	1.8247e-05	0.027163	vapor
40.000	2.0000	21.586	0.046326	360.94	453.60	3.1522	0.74849	1.0734	364.13	2.1197	1.8674e-05	0.027825	vapor
50.000	2.0000	20.888	0.047876	368.57	464.32	3.1859	0.74865	1.0715	370.06	1.9774	1.9096e-05	0.028482	vapor
60.000	2.0000	20.235	0.049420	376.19	475.03	3.2185	0.74892	1.0699	375.86	1.8448	1.9512e-05	0.029132	vapor
70.000	2.0000	19.623	0.050961	383.80	485.72	3.2501	0.74929	1.0686	381.54	1.7211	1.9923e-05	0.029776	vapor
80.000	2.0000	19.048	0.052498	391.40	496.40	3.2808	0.74977	1.0676	387.12	1.6052	2.0329e-05	0.030415	vapor
90.000	2.0000	18.508	0.054031	399.01	507.07	3.3106	0.75035	1.0668	392.59	1.4966	2.0731e-05	0.031050	vapor
100.00	2.0000	17.998	0.055562	406.61	517.74	3.3396	0.75105	1.0662	397.97	1.3946	2.1128e-05	0.031681	vapor
110.00	2.0000	17.516	0.057089	414.22	528.40	3.3678	0.75185	1.0659	403.25	1.2985	2.1520e-05	0.032308	vapor
120.00	2.0000	17.061	0.058614	421.83	539.05	3.3952	0.75276	1.0658	408.43	1.2079	2.1907e-05	0.032931	vapor
130.00	2.0000	16.629	0.060136	429.44	549.71	3.4220	0.75378	1.0658	413.54	1.1224	2.2291e-05	0.033552	vapor
140.00	2.0000	16.219	0.061657	437.06	560.37	3.4481	0.75491	1.0661	418.56	1.0415	2.2670e-05	0.034170	vapor
150.00	2.0000	15.829	0.063175	444.68	571.03	3.4736	0.75613	1.0665	423.50	0.96495	2.3044e-05	0.034785	vapor
160.00	2.0000	15.458	0.064691	452.32	581.70	3.4985	0.75747	1.0671	428.36	0.89237	2.3415e-05	0.035399	vapor
170.00	2.0000	15.104	0.066206	459.97	592.38	3.5229	0.75890	1.0678	433.15	0.82351	2.3782e-05	0.036011	vapor
180.00	2.0000	14.767	0.067719	467.62	603.06	3.5467	0.76043	1.0687	437.87	0.75810	2.4145e-05	0.036622	vapor
190.00	2.0000	14.444	0.069231	475.29	613.75	3.5701	0.76205	1.0698	442.52	0.69592	2.4505e-05	0.037231	vapor
200.00	2.0000	14.136	0.070741	482.97	624.46	3.5929	0.76376	1.0709	447.10	0.63675	2.4861e-05	0.037839	vapor
210.00	2.0000	13.841	0.072250	490.67	635.17	3.6153	0.76556	1.0722	451.62	0.58041	2.5214e-05	0.038447	vapor
220.00	2.0000	13.558	0.073757	498.39	645.90	3.6373	0.76744	1.0736	456.08	0.52671	2.5563e-05	0.039053	vapor
