Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1.0000	0.20000	999.95	0.0010000	4.1788	4.3788	0.015270	4.2143	4.2156	1407.5	-0.24044	0.0017306	0.56303	liquid
11.000	0.20000	999.65	0.0010003	46.209	46.409	0.16585	4.1871	4.1932	1451.4	-0.23169	0.0012690	0.58198	liquid
21.000	0.20000	998.04	0.0010020	88.083	88.284	0.31069	4.1526	4.1831	1485.5	-0.22421	0.00097752	0.60028	liquid
31.000	0.20000	995.39	0.0010046	129.89	130.09	0.45046	4.1127	4.1794	1511.6	-0.21755	0.00078067	0.61715	liquid
41.000	0.20000	991.87	0.0010082	171.68	171.88	0.58565	4.0685	4.1793	1530.7	-0.21144	0.00064091	0.63207	liquid
51.000	0.20000	987.62	0.0010125	213.48	213.68	0.71664	4.0211	4.1814	1543.8	-0.20569	0.00053782	0.64482	liquid
61.000	0.20000	982.72	0.0010176	255.31	255.52	0.84374	3.9712	4.1852	1551.7	-0.20012	0.00045946	0.65540	liquid
71.000	0.20000	977.23	0.0010233	297.19	297.39	0.96722	3.9197	4.1904	1555.1	-0.19464	0.00039845	0.66394	liquid
81.000	0.20000	971.21	0.0010296	339.12	339.33	1.0873	3.8674	4.1973	1554.4	-0.18911	0.00034999	0.67066	liquid
91.000	0.20000	964.68	0.0010366	381.14	381.35	1.2043	3.8149	4.2059	1550.1	-0.18347	0.00031087	0.67576	liquid
101.00	0.20000	957.67	0.0010442	423.25	423.46	1.3184	3.7628	4.2166	1542.5	-0.17761	0.00027883	0.67946	liquid
111.00	0.20000	950.21	0.0010524	465.47	465.69	1.4298	3.7115	4.2296	1531.9	-0.17146	0.00025227	0.68192	liquid
120.21	0.20000	942.94	0.0010605	504.49	504.70	1.5302	3.6652	4.2439	1519.6	-0.16547	0.00023162	0.68321	liquid
120.21	0.20000	1.1291	0.88568	2529.1	2706.2	7.1269	1.6184	2.1782	481.83	52.775	1.2963e-05	0.027493	vapor
121.00	0.20000	1.1265	0.88769	2530.4	2707.9	7.1313	1.6145	2.1725	482.41	52.177	1.2994e-05	0.027542	vapor
131.00	0.20000	1.0954	0.91287	2546.8	2729.4	7.1850	1.5795	2.1202	489.48	45.865	1.3384e-05	0.028190	vapor
141.00	0.20000	1.0664	0.93771	2562.9	2750.4	7.2364	1.5585	2.0871	496.18	40.965	1.3777e-05	0.028884	vapor
151.00	0.20000	1.0392	0.96230	2578.7	2771.2	7.2859	1.5444	2.0636	502.65	36.893	1.4172e-05	0.029619	vapor
161.00	0.20000	1.0135	0.98669	2594.4	2791.7	7.3338	1.5346	2.0463	508.93	33.421	1.4571e-05	0.030390	vapor
