Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.20000	2.7764	0.36018	179.61	251.65	6.4200	0.74323	1.0446	317.90	3.2476	1.5186e-05	0.021941	vapor
-20.000	0.20000	2.6657	0.37513	187.07	262.09	6.4621	0.74319	1.0441	324.42	3.0027	1.5683e-05	0.022660	vapor
-10.000	0.20000	2.5637	0.39007	194.52	272.53	6.5025	0.74318	1.0437	330.81	2.7803	1.6172e-05	0.023367	vapor
0.0000	0.20000	2.4692	0.40500	201.97	282.97	6.5414	0.74320	1.0434	337.07	2.5776	1.6654e-05	0.024064	vapor
10.000	0.20000	2.3814	0.41992	209.42	293.40	6.5789	0.74325	1.0432	343.22	2.3919	1.7128e-05	0.024752	vapor
20.000	0.20000	2.2997	0.43483	216.86	303.83	6.6151	0.74333	1.0430	349.25	2.2214	1.7596e-05	0.025430	vapor
30.000	0.20000	2.2235	0.44974	224.31	314.26	6.6501	0.74346	1.0429	355.17	2.0641	1.8057e-05	0.026099	vapor
40.000	0.20000	2.1522	0.46465	231.76	324.69	6.6840	0.74363	1.0429	360.98	1.9187	1.8512e-05	0.026760	vapor
50.000	0.20000	2.0853	0.47955	239.21	335.12	6.7168	0.74384	1.0429	366.70	1.7839	1.8961e-05	0.027414	vapor
60.000	0.20000	2.0225	0.49444	246.66	345.55	6.7486	0.74411	1.0430	372.33	1.6585	1.9404e-05	0.028060	vapor
70.000	0.20000	1.9633	0.50933	254.11	355.98	6.7794	0.74444	1.0432	377.86	1.5417	1.9841e-05	0.028700	vapor
80.000	0.20000	1.9076	0.52422	261.57	366.41	6.8094	0.74483	1.0435	383.31	1.4326	2.0273e-05	0.029333	vapor
90.000	0.20000	1.8549	0.53911	269.03	376.85	6.8385	0.74528	1.0438	388.67	1.3304	2.0699e-05	0.029960	vapor
100.00	0.20000	1.8051	0.55399	276.49	387.29	6.8669	0.74581	1.0442	393.95	1.2346	2.1121e-05	0.030582	vapor
110.00	0.20000	1.7579	0.56887	283.96	397.74	6.8945	0.74641	1.0447	399.15	1.1446	2.1537e-05	0.031199	vapor
120.00	0.20000	1.7131	0.58375	291.44	408.19	6.9214	0.74708	1.0453	404.28	1.0598	2.1949e-05	0.031812	vapor
130.00	0.20000	1.6705	0.59862	298.92	418.64	6.9477	0.74783	1.0460	409.33	0.97996	2.2356e-05	0.032421	vapor
140.00	0.20000	1.6300	0.61349	306.41	429.11	6.9733	0.74866	1.0467	414.31	0.90457	2.2759e-05	0.033025	vapor
150.00	0.20000	1.5914	0.62836	313.90	439.58	6.9984	0.74957	1.0476	419.23	0.83330	2.3157e-05	0.033627	vapor
160.00	0.20000	1.5546	0.64323	321.41	450.06	7.0228	0.75057	1.0485	424.07	0.76585	2.3551e-05	0.034225	vapor
170.00	0.20000	1.5195	0.65810	328.93	460.55	7.0468	0.75165	1.0495	428.85	0.70195	2.3941e-05	0.034820	vapor
180.00	0.20000	1.4860	0.67297	336.46	471.05	7.0702	0.75280	1.0506	433.57	0.64132	2.4327e-05	0.035413	vapor
190.00	0.20000	1.4538	0.68783	343.99	481.56	7.0932	0.75404	1.0518	438.22	0.58376	2.4710e-05	0.036003	vapor
200.00	0.20000	1.4231	0.70270	351.55	492.09	7.1156	0.75537	1.0531	442.81	0.52906	2.5088e-05	0.036592	vapor
210.00	0.20000	1.3936	0.71756	359.11	502.62	7.1377	0.75676	1.0544	447.35	0.47702	2.5463e-05	0.037178	vapor
220.00	0.20000	1.3653	0.73242	366.69	513.17	7.1593	0.75824	1.0559	451.83	0.42748	2.5835e-05	0.037763	vapor
230.00	0.20000	1.3382	0.74728	374.28	523.74	7.1805	0.75979	1.0574	456.25	0.38028	2.6203e-05	0.038346	vapor
240.00	0.20000	1.3121	0.76214	381.89	534.32	7.2013	0.76142	1.0590	460.62	0.33528	2.6568e-05	0.038927	vapor
250.00	0.20000	1.2870	0.77700	389.52	544.92	7.2218	0.76311	1.0606	464.94	0.29234	2.6929e-05	0.039508	vapor
260.00	0.20000	1.2629	0.79186	397.16	555.54	7.2419	0.76487	1.0624	469.20	0.25135	2.7288e-05	0.040087	vapor
270.00	0.20000	1.2396	0.80672	404.83	566.17	7.2617	0.76670	1.0642	473.42	0.21219	2.7643e-05	0.040665	vapor
280.00	0.20000	1.2172	0.82157	412.51	576.82	7.2811	0.76858	1.0660	477.59	0.17476	2.7996e-05	0.041242	vapor
290.00	0.20000	1.1956	0.83643	420.20	587.49	7.3002	0.77053	1.0679	481.72	0.13896	2.8345e-05	0.041818	vapor
300.00	0.20000	1.1747	0.85128	427.92	598.18	7.3190	0.77252	1.0699	485.79	0.10471	2.8692e-05	0.042393	vapor
