Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.20000	3.1753	0.31493	157.25	220.24	6.0425	0.65311	0.91729	296.98	3.9138	1.7336e-05	0.022059	vapor
-20.000	0.20000	3.0485	0.32803	163.81	229.41	6.0795	0.65375	0.91753	303.04	3.6405	1.7926e-05	0.022881	vapor
-10.000	0.20000	2.9316	0.34111	170.37	238.59	6.1150	0.65456	0.91798	308.97	3.3926	1.8507e-05	0.023698	vapor
0.0000	0.20000	2.8234	0.35419	176.93	247.77	6.1493	0.65553	0.91864	314.77	3.1666	1.9081e-05	0.024511	vapor
10.000	0.20000	2.7229	0.36726	183.51	256.96	6.1823	0.65667	0.91951	320.44	2.9597	1.9646e-05	0.025321	vapor
20.000	0.20000	2.6293	0.38032	190.10	266.16	6.2142	0.65798	0.92058	326.00	2.7696	2.0205e-05	0.026128	vapor
30.000	0.20000	2.5421	0.39338	196.70	275.37	6.2451	0.65945	0.92184	331.44	2.5943	2.0756e-05	0.026933	vapor
40.000	0.20000	2.4604	0.40643	203.31	284.60	6.2751	0.66109	0.92329	336.77	2.4321	2.1300e-05	0.027736	vapor
50.000	0.20000	2.3839	0.41948	209.94	293.84	6.3041	0.66290	0.92492	342.00	2.2818	2.1838e-05	0.028538	vapor
60.000	0.20000	2.3120	0.43253	216.59	303.10	6.3323	0.66485	0.92672	347.13	2.1420	2.2369e-05	0.029340	vapor
70.000	0.20000	2.2443	0.44557	223.26	312.38	6.3598	0.66696	0.92869	352.16	2.0118	2.2893e-05	0.030142	vapor
80.000	0.20000	2.1805	0.45860	229.95	321.67	6.3865	0.66920	0.93081	357.10	1.8903	2.3412e-05	0.030943	vapor
90.000	0.20000	2.1203	0.47164	236.66	330.99	6.4125	0.67157	0.93307	361.96	1.7767	2.3924e-05	0.031745	vapor
100.00	0.20000	2.0633	0.48467	243.40	340.33	6.4379	0.67407	0.93546	366.73	1.6703	2.4431e-05	0.032547	vapor
110.00	0.20000	2.0092	0.49770	250.16	349.70	6.4627	0.67667	0.93797	371.43	1.5704	2.4932e-05	0.033350	vapor
120.00	0.20000	1.9580	0.51073	256.95	359.09	6.4869	0.67938	0.94058	376.04	1.4767	2.5427e-05	0.034154	vapor
130.00	0.20000	1.9093	0.52375	263.76	368.51	6.5105	0.68217	0.94330	380.59	1.3885	2.5918e-05	0.034958	vapor
