Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	1.0000	20.054	0.049866	73.865	123.73	3.2825	0.31556	0.54093	290.23	5.1625	1.9195e-05	0.015169	vapor
-20.000	1.0000	19.221	0.052027	77.103	129.13	3.3042	0.31517	0.53886	296.39	4.8088	1.9858e-05	0.015683	vapor
-10.000	1.0000	18.457	0.054181	80.328	134.51	3.3251	0.31485	0.53709	302.40	4.4882	2.0513e-05	0.016191	vapor
0.0000	1.0000	17.753	0.056329	83.544	139.87	3.3451	0.31458	0.53556	308.27	4.1964	2.1160e-05	0.016694	vapor
10.000	1.0000	17.103	0.058471	86.751	145.22	3.3643	0.31434	0.53423	314.02	3.9297	2.1799e-05	0.017190	vapor
20.000	1.0000	16.500	0.060607	89.950	150.56	3.3828	0.31414	0.53307	319.65	3.6850	2.2431e-05	0.017680	vapor
30.000	1.0000	15.939	0.062740	93.144	155.88	3.4007	0.31397	0.53205	325.16	3.4597	2.3056e-05	0.018165	vapor
40.000	1.0000	15.416	0.064868	96.331	161.20	3.4180	0.31382	0.53114	330.58	3.2516	2.3673e-05	0.018645	vapor
50.000	1.0000	14.927	0.066993	99.513	166.51	3.4346	0.31369	0.53034	335.90	3.0589	2.4284e-05	0.019119	vapor
60.000	1.0000	14.469	0.069115	102.69	171.81	3.4508	0.31358	0.52962	341.13	2.8799	2.4888e-05	0.019588	vapor
70.000	1.0000	14.038	0.071234	105.87	177.10	3.4664	0.31348	0.52897	346.27	2.7132	2.5485e-05	0.020052	vapor
80.000	1.0000	13.633	0.073350	109.04	182.39	3.4816	0.31339	0.52839	351.33	2.5577	2.6076e-05	0.020511	vapor
90.000	1.0000	13.251	0.075465	112.20	187.67	3.4964	0.31331	0.52787	356.31	2.4122	2.6660e-05	0.020965	vapor
100.00	1.0000	12.890	0.077577	115.37	192.94	3.5107	0.31324	0.52739	361.22	2.2759	2.7239e-05	0.021415	vapor
110.00	1.0000	12.549	0.079687	118.53	198.22	3.5247	0.31317	0.52696	366.06	2.1479	2.7811e-05	0.021860	vapor
120.00	1.0000	12.226	0.081795	121.69	203.48	3.5382	0.31312	0.52657	370.83	2.0274	2.8378e-05	0.022300	vapor
130.00	1.0000	11.919	0.083902	124.84	208.75	3.5515	0.31306	0.52621	375.53	1.9139	2.8939e-05	0.022736	vapor
140.00	1.0000	11.627	0.086008	128.00	214.01	3.5643	0.31302	0.52588	380.18	1.8068	2.9494e-05	0.023168	vapor
150.00	1.0000	11.349	0.088112	131.15	219.26	3.5769	0.31297	0.52557	384.76	1.7055	3.0044e-05	0.023596	vapor
160.00	1.0000	11.085	0.090215	134.30	224.52	3.5892	0.31293	0.52529	389.29	1.6096	3.0589e-05	0.024019	vapor
170.00	1.0000	10.832	0.092316	137.45	229.77	3.6012	0.31290	0.52503	393.77	1.5188	3.1129e-05	0.024439	vapor
180.00	1.0000	10.591	0.094417	140.60	235.02	3.6129	0.31286	0.52479	398.19	1.4325	3.1663e-05	0.024855	vapor
190.00	1.0000	10.361	0.096517	143.75	240.27	3.6243	0.31283	0.52457	402.56	1.3505	3.2193e-05	0.025267	vapor
200.00	1.0000	10.140	0.098616	146.90	245.51	3.6355	0.31281	0.52437	406.88	1.2725	3.2718e-05	0.025676	vapor
210.00	1.0000	9.9292	0.10071	150.04	250.75	3.6465	0.31278	0.52417	411.15	1.1983	3.3239e-05	0.026081	vapor
220.00	1.0000	9.7266	0.10281	153.18	255.99	3.6572	0.31276	0.52400	415.38	1.1274	3.3755e-05	0.026482	vapor
230.00	1.0000	9.5323	0.10491	156.33	261.23	3.6678	0.31273	0.52383	419.57	1.0598	3.4267e-05	0.026880	vapor
240.00	1.0000	9.3456	0.10700	159.47	266.47	3.6781	0.31271	0.52367	423.71	0.99521	3.4774e-05	0.027275	vapor
250.00	1.0000	9.1661	0.10910	162.61	271.71	3.6882	0.31269	0.52353	427.81	0.93343	3.5277e-05	0.027666	vapor
260.00	1.0000	8.9934	0.11119	165.75	276.94	3.6981	0.31268	0.52339	431.87	0.87431	3.5776e-05	0.028054	vapor
270.00	1.0000	8.8272	0.11329	168.89	282.17	3.7078	0.31266	0.52326	435.89	0.81767	3.6271e-05	0.028439	vapor
280.00	1.0000	8.6671	0.11538	172.03	287.41	3.7174	0.31264	0.52314	439.87	0.76336	3.6762e-05	0.028821	vapor
290.00	1.0000	8.5126	0.11747	175.17	292.64	3.7267	0.31263	0.52303	443.82	0.71126	3.7249e-05	0.029200	vapor
300.00	1.0000	8.3637	0.11956	178.30	297.87	3.7359	0.31262	0.52292	447.73	0.66123	3.7732e-05	0.029577	vapor
310.00	1.0000	8.2199	0.12166	181.44	303.10	3.7450	0.31260	0.52282	451.61	0.61316	3.8212e-05	0.029950	vapor
320.00	1.0000	8.0809	0.12375	184.58	308.32	3.7539	0.31259	0.52272	455.45	0.56693	3.8688e-05	0.030320	vapor
330.00	1.0000	7.9467	0.12584	187.71	313.55	3.7626	0.31258	0.52263	459.26	0.52245	3.9160e-05	0.030688	vapor
340.00	1.0000	7.8168	0.12793	190.85	318.78	3.7712	0.31257	0.52255	463.04	0.47962	3.9629e-05	0.031053	vapor
350.00	1.0000	7.6911	0.13002	193.98	324.00	3.7796	0.31256	0.52247	466.78	0.43836	4.0095e-05	0.031416	vapor
360.00	1.0000	7.5694	0.13211	197.12	329.23	3.7880	0.31255	0.52239	470.50	0.39858	4.0557e-05	0.031776	vapor
370.00	1.0000	7.4516	0.13420	200.25	334.45	3.7962	0.31254	0.52232	474.18	0.36022	4.1016e-05	0.032133	vapor
380.00	1.0000	7.3373	0.13629	203.38	339.67	3.8042	0.31253	0.52225	477.84	0.32319	4.1472e-05	0.032488	vapor
390.00	1.0000	7.2266	0.13838	206.52	344.89	3.8121	0.31252	0.52218	481.47	0.28743	4.1925e-05	0.032841	vapor
400.00	1.0000	7.1191	0.14047	209.65	350.12	3.8200	0.31251	0.52212	485.07	0.25288	4.2375e-05	0.033191	vapor
