Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.20000	4.4415	0.22515	413.96	458.99	2.4361	0.60773	0.81472	243.22	18.786	1.2233e-05	0.012520	vapor
-20.000	0.20000	4.2552	0.23501	420.17	467.17	2.4690	0.61671	0.82121	247.98	16.824	1.2731e-05	0.013232	vapor
-10.000	0.20000	4.0848	0.24481	426.46	475.42	2.5010	0.62608	0.82857	252.60	15.157	1.3226e-05	0.013968	vapor
0.0000	0.20000	3.9282	0.25457	432.83	483.74	2.5320	0.63567	0.83652	257.09	13.729	1.3719e-05	0.014724	vapor
10.000	0.20000	3.7836	0.26430	439.29	492.15	2.5622	0.64537	0.84485	261.47	12.495	1.4210e-05	0.015498	vapor
20.000	0.20000	3.6498	0.27399	445.84	500.64	2.5917	0.65509	0.85342	265.76	11.422	1.4697e-05	0.016288	vapor
30.000	0.20000	3.5254	0.28365	452.49	509.22	2.6205	0.66478	0.86214	269.95	10.483	1.5182e-05	0.017090	vapor
40.000	0.20000	3.4095	0.29330	459.22	517.88	2.6486	0.67438	0.87091	274.06	9.6563	1.5663e-05	0.017904	vapor
50.000	0.20000	3.3012	0.30292	466.05	526.64	2.6761	0.68388	0.87969	278.09	8.9247	1.6141e-05	0.018726	vapor
60.000	0.20000	3.1997	0.31253	472.97	535.48	2.7031	0.69324	0.88843	282.05	8.2740	1.6616e-05	0.019554	vapor
70.000	0.20000	3.1043	0.32213	479.98	544.41	2.7295	0.70245	0.89711	285.95	7.6923	1.7088e-05	0.020389	vapor
80.000	0.20000	3.0147	0.33171	487.08	553.42	2.7554	0.71151	0.90569	289.78	7.1703	1.7556e-05	0.021227	vapor
90.000	0.20000	2.9301	0.34128	494.26	562.52	2.7808	0.72040	0.91416	293.55	6.6997	1.8020e-05	0.022068	vapor
100.00	0.20000	2.8503	0.35084	501.53	571.70	2.8057	0.72912	0.92252	297.27	6.2739	1.8481e-05	0.022910	vapor
110.00	0.20000	2.7747	0.36040	508.89	580.97	2.8302	0.73767	0.93074	300.93	5.8873	1.8939e-05	0.023754	vapor
120.00	0.20000	2.7031	0.36994	516.33	590.32	2.8543	0.74606	0.93883	304.54	5.5351	1.9393e-05	0.024598	vapor
