Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
10.000	2.5000	1000.8	0.00099915	41.957	44.455	0.15086	4.1809	4.1861	1451.2	-0.23235	0.0013033	0.58121	liquid
20.000	2.5000	999.30	0.0010007	83.760	86.262	0.29596	4.1482	4.1766	1486.3	-0.22482	0.0010006	0.59956	liquid
30.000	2.5000	996.72	0.0010033	125.50	128.01	0.43599	4.1096	4.1734	1513.2	-0.21816	0.00079713	0.61658	liquid
40.000	2.5000	993.27	0.0010068	167.22	169.74	0.57143	4.0666	4.1735	1533.1	-0.21206	0.00065317	0.63172	liquid
50.000	2.5000	989.08	0.0010110	208.96	211.49	0.70266	4.0201	4.1758	1546.9	-0.20633	0.00054727	0.64471	liquid
60.000	2.5000	984.24	0.0010160	250.72	253.26	0.82998	3.9710	4.1797	1555.4	-0.20081	0.00046693	0.65553	liquid
70.000	2.5000	978.82	0.0010216	292.53	295.08	0.95366	3.9201	4.1849	1559.3	-0.19537	0.00040449	0.66431	liquid
80.000	2.5000	972.86	0.0010279	334.39	336.96	1.0740	3.8683	4.1915	1559.2	-0.18992	0.00035498	0.67123	liquid
90.000	2.5000	966.40	0.0010348	376.33	378.92	1.1911	3.8163	4.1999	1555.4	-0.18436	0.00031505	0.67653	liquid
100.00	2.5000	959.47	0.0010422	418.36	420.97	1.3053	3.7645	4.2102	1548.3	-0.17860	0.00028238	0.68040	liquid
110.00	2.5000	952.08	0.0010503	460.51	463.13	1.4168	3.7134	4.2227	1538.2	-0.17256	0.00025533	0.68303	liquid
120.00	2.5000	944.26	0.0010590	502.78	505.43	1.5258	3.6633	4.2377	1525.3	-0.16617	0.00023266	0.68455	liquid
130.00	2.5000	935.99	0.0010684	545.22	547.89	1.6325	3.6145	4.2554	1509.7	-0.15934	0.00021347	0.68508	liquid
140.00	2.5000	927.29	0.0010784	587.85	590.55	1.7370	3.5671	4.2763	1491.7	-0.15199	0.00019709	0.68468	liquid
150.00	2.5000	918.15	0.0010891	630.71	633.43	1.8395	3.5213	4.3005	1471.3	-0.14403	0.00018297	0.68341	liquid
160.00	2.5000	908.57	0.0011006	673.82	676.57	1.9403	3.4771	4.3286	1448.6	-0.13533	0.00017071	0.68129	liquid
170.00	2.5000	898.53	0.0011129	717.24	720.02	2.0395	3.4346	4.3610	1423.7	-0.12578	0.00015998	0.67832	liquid
180.00	2.5000	888.00	0.0011261	760.99	763.81	2.1372	3.3938	4.3983	1396.5	-0.11523	0.00015051	0.67449	liquid
190.00	2.5000	876.96	0.0011403	805.15	808.00	2.2337	3.3547	4.4411	1367.1	-0.10348	0.00014209	0.66978	liquid
200.00	2.5000	865.38	0.0011556	849.76	852.65	2.3290	3.3173	4.4903	1335.5	-0.090326	0.00013455	0.66414	liquid
210.00	2.5000	853.20	0.0011721	894.90	897.83	2.4235	3.2817	4.5472	1301.6	-0.075474	0.00012775	0.65752	liquid
220.00	2.5000	840.38	0.0011899	940.65	943.63	2.5173	3.2478	4.6132	1265.3	-0.058565	0.00012156	0.64983	liquid
223.95	2.5000	835.12	0.0011974	958.91	961.91	2.5543	3.2349	4.6422	1250.2	-0.051221	0.00011926	0.64648	liquid
223.95	2.5000	12.508	0.079949	2602.1	2801.9	6.2558	2.2483	3.4050	504.67	19.935	1.6550e-05	0.045025	vapor
230.00	2.5000	12.240	0.081702	2617.5	2821.8	6.2955	2.1212	3.1755	511.42	19.102	1.6835e-05	0.044934	vapor
