Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-190.00	0.10000	4.1949	0.23839	59.800	83.639	5.4936	0.76268	1.1017	182.26	23.201	5.8329e-06	0.0080917	vapor
-180.00	0.10000	3.7067	0.26978	67.560	94.538	5.6174	0.75462	1.0803	194.07	18.443	6.5091e-06	0.0091576	vapor
-170.00	0.10000	3.3259	0.30067	75.208	105.28	5.7269	0.75030	1.0682	205.01	15.167	7.1715e-06	0.010192	vapor
-160.00	0.10000	3.0187	0.33126	82.790	115.92	5.8253	0.74778	1.0606	215.27	12.784	7.8200e-06	0.011182	vapor
-150.00	0.10000	2.7651	0.36165	90.331	126.50	5.9149	0.74622	1.0557	224.98	10.975	8.4548e-06	0.012134	vapor
-140.00	0.10000	2.5517	0.39189	97.845	137.03	5.9972	0.74520	1.0522	234.25	9.5579	9.0763e-06	0.013055	vapor
-130.00	0.10000	2.3695	0.42204	105.34	147.54	6.0733	0.74451	1.0497	243.12	8.4185	9.6849e-06	0.013950	vapor
-120.00	0.10000	2.2119	0.45210	112.82	158.03	6.1441	0.74403	1.0479	251.65	7.4831	1.0281e-05	0.014822	vapor
-110.00	0.10000	2.0742	0.48210	120.29	168.50	6.2104	0.74368	1.0465	259.89	6.7019	1.0865e-05	0.015673	vapor
-100.00	0.10000	1.9529	0.51206	127.76	178.96	6.2726	0.74343	1.0454	267.85	6.0399	1.1438e-05	0.016506	vapor
-90.000	0.10000	1.8451	0.54198	135.21	189.41	6.3313	0.74324	1.0445	275.58	5.4720	1.2000e-05	0.017321	vapor
-80.000	0.10000	1.7486	0.57187	142.67	199.85	6.3868	0.74310	1.0438	283.08	4.9796	1.2552e-05	0.018121	vapor
-70.000	0.10000	1.6619	0.60174	150.12	210.29	6.4395	0.74299	1.0433	290.38	4.5488	1.3093e-05	0.018905	vapor
-60.000	0.10000	1.5833	0.63158	157.56	220.72	6.4896	0.74291	1.0428	297.50	4.1687	1.3625e-05	0.019674	vapor
-50.000	0.10000	1.5119	0.66141	165.01	231.15	6.5374	0.74285	1.0424	304.45	3.8311	1.4148e-05	0.020430	vapor
-40.000	0.10000	1.4467	0.69122	172.45	241.57	6.5831	0.74282	1.0421	311.23	3.5292	1.4662e-05	0.021174	vapor
-30.000	0.10000	1.3869	0.72102	179.89	251.99	6.6268	0.74280	1.0419	317.87	3.2577	1.5167e-05	0.021905	vapor
-20.000	0.10000	1.3319	0.75081	187.33	262.41	6.6688	0.74281	1.0417	324.36	3.0123	1.5665e-05	0.022624	vapor
-10.000	0.10000	1.2811	0.78059	194.76	272.82	6.7092	0.74283	1.0415	330.73	2.7894	1.6154e-05	0.023333	vapor
0.0000	0.10000	1.2340	0.81035	202.20	283.24	6.7480	0.74288	1.0414	336.97	2.5861	1.6637e-05	0.024031	vapor
10.000	0.10000	1.1903	0.84012	209.64	293.65	6.7855	0.74296	1.0413	343.09	2.4000	1.7112e-05	0.024719	vapor
20.000	0.10000	1.1496	0.86987	217.08	304.06	6.8216	0.74307	1.0413	349.10	2.2290	1.7580e-05	0.025398	vapor
30.000	0.10000	1.1116	0.89962	224.51	314.48	6.8565	0.74321	1.0414	355.01	2.0714	1.8042e-05	0.026068	vapor
40.000	0.10000	1.0760	0.92937	231.95	324.89	6.8903	0.74340	1.0414	360.81	1.9256	1.8497e-05	0.026730	vapor
50.000	0.10000	1.0426	0.95911	239.40	335.31	6.9231	0.74364	1.0416	366.52	1.7904	1.8946e-05	0.027384	vapor
60.000	0.10000	1.0113	0.98884	246.84	345.72	6.9548	0.74392	1.0418	372.13	1.6646	1.9390e-05	0.028031	vapor
70.000	0.10000	0.98177	1.0186	254.28	356.14	6.9856	0.74426	1.0421	377.66	1.5475	1.9827e-05	0.028671	vapor
80.000	0.10000	0.95392	1.0483	261.73	366.56	7.0156	0.74466	1.0424	383.10	1.4380	2.0260e-05	0.029305	vapor
