Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	2.0000	32.639	0.030639	152.42	213.70	5.4244	0.66108	0.96774	295.02	3.7945	1.7910e-05	0.022764	vapor
-20.000	2.0000	31.207	0.032044	159.26	223.35	5.4633	0.66077	0.96256	301.67	3.5241	1.8463e-05	0.023541	vapor
-10.000	2.0000	29.905	0.033439	166.08	232.95	5.5005	0.66080	0.95847	308.11	3.2799	1.9012e-05	0.024318	vapor
0.0000	2.0000	28.715	0.034825	172.87	242.52	5.5362	0.66112	0.95526	314.35	3.0582	1.9556e-05	0.025096	vapor
10.000	2.0000	27.622	0.036203	179.66	252.06	5.5705	0.66173	0.95280	320.40	2.8560	2.0095e-05	0.025873	vapor
20.000	2.0000	26.614	0.037574	186.43	261.58	5.6035	0.66258	0.95099	326.30	2.6706	2.0630e-05	0.026651	vapor
30.000	2.0000	25.681	0.038940	193.20	271.08	5.6354	0.66367	0.94974	332.04	2.5000	2.1159e-05	0.027430	vapor
40.000	2.0000	24.814	0.040300	199.98	280.58	5.6662	0.66497	0.94898	337.63	2.3426	2.1683e-05	0.028209	vapor
50.000	2.0000	24.006	0.041656	206.75	290.06	5.6960	0.66648	0.94865	343.10	2.1968	2.2203e-05	0.028990	vapor
60.000	2.0000	23.252	0.043008	213.54	299.55	5.7249	0.66818	0.94872	348.44	2.0614	2.2717e-05	0.029772	vapor
70.000	2.0000	22.545	0.044355	220.33	309.04	5.7530	0.67005	0.94913	353.66	1.9355	2.3226e-05	0.030556	vapor
80.000	2.0000	21.882	0.045700	227.13	318.53	5.7803	0.67209	0.94985	358.77	1.8180	2.3730e-05	0.031341	vapor
90.000	2.0000	21.258	0.047041	233.95	328.04	5.8068	0.67428	0.95085	363.78	1.7082	2.4229e-05	0.032127	vapor
100.00	2.0000	20.670	0.048380	240.79	337.55	5.8327	0.67661	0.95210	368.68	1.6054	2.4723e-05	0.032915	vapor
110.00	2.0000	20.114	0.049716	247.65	347.08	5.8579	0.67907	0.95357	373.50	1.5090	2.5212e-05	0.033704	vapor
120.00	2.0000	19.588	0.051050	254.52	356.62	5.8824	0.68164	0.95525	378.22	1.4185	2.5697e-05	0.034495	vapor
130.00	2.0000	19.090	0.052382	261.42	366.19	5.9065	0.68431	0.95710	382.87	1.3333	2.6177e-05	0.035288	vapor
140.00	2.0000	18.618	0.053713	268.34	375.77	5.9299	0.68707	0.95911	387.43	1.2532	2.6653e-05	0.036081	vapor
150.00	2.0000	18.168	0.055041	275.29	385.37	5.9529	0.68991	0.96127	391.92	1.1776	2.7124e-05	0.036876	vapor
160.00	2.0000	17.741	0.056368	282.26	394.99	5.9754	0.69282	0.96354	396.34	1.1064	2.7591e-05	0.037672	vapor
170.00	2.0000	17.333	0.057693	289.25	404.64	5.9974	0.69579	0.96592	400.69	1.0390	2.8054e-05	0.038469	vapor
180.00	2.0000	16.944	0.059017	296.28	414.31	6.0190	0.69881	0.96840	404.98	0.97532	2.8512e-05	0.039267	vapor
190.00	2.0000	16.573	0.060339	303.33	424.01	6.0401	0.70186	0.97095	409.20	0.91503	2.8967e-05	0.040065	vapor
200.00	2.0000	16.218	0.061661	310.41	433.73	6.0609	0.70495	0.97358	413.37	0.85793	2.9417e-05	0.040863	vapor
