Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	3.0000	61.955	0.016141	69.668	118.09	3.0367	0.32228	0.58629	290.52	4.8529	1.9811e-05	0.016166	vapor
-20.000	3.0000	59.112	0.016917	73.165	123.92	3.0602	0.32108	0.57900	297.13	4.5248	2.0440e-05	0.016632	vapor
-10.000	3.0000	56.546	0.017685	76.620	129.67	3.0825	0.32008	0.57291	303.52	4.2268	2.1065e-05	0.017097	vapor
0.0000	3.0000	54.214	0.018445	80.041	135.38	3.1037	0.31925	0.56774	309.72	3.9550	2.1685e-05	0.017561	vapor
10.000	3.0000	52.083	0.019200	83.432	141.03	3.1241	0.31855	0.56333	315.76	3.7061	2.2300e-05	0.018023	vapor
20.000	3.0000	50.127	0.019949	86.798	146.65	3.1436	0.31795	0.55951	321.64	3.4774	2.2910e-05	0.018483	vapor
30.000	3.0000	48.323	0.020694	90.142	152.22	3.1623	0.31744	0.55620	327.37	3.2664	2.3514e-05	0.018938	vapor
40.000	3.0000	46.653	0.021435	93.467	157.77	3.1803	0.31700	0.55329	332.98	3.0713	2.4113e-05	0.019393	vapor
50.000	3.0000	45.103	0.022172	96.776	163.29	3.1976	0.31661	0.55073	338.47	2.8903	2.4707e-05	0.019845	vapor
60.000	3.0000	43.658	0.022906	100.07	168.79	3.2144	0.31627	0.54846	343.84	2.7220	2.5295e-05	0.020293	vapor
70.000	3.0000	42.307	0.023637	103.35	174.26	3.2306	0.31598	0.54644	349.11	2.5651	2.5878e-05	0.020738	vapor
80.000	3.0000	41.043	0.024365	106.62	179.72	3.2462	0.31571	0.54463	354.29	2.4184	2.6455e-05	0.021179	vapor
90.000	3.0000	39.855	0.025091	109.88	185.15	3.2614	0.31548	0.54300	359.37	2.2811	2.7027e-05	0.021616	vapor
100.00	3.0000	38.737	0.025815	113.13	190.58	3.2761	0.31527	0.54153	364.37	2.1522	2.7594e-05	0.022049	vapor
110.00	3.0000	37.683	0.026537	116.37	195.99	3.2905	0.31508	0.54020	369.29	2.0310	2.8156e-05	0.022479	vapor
120.00	3.0000	36.687	0.027258	119.61	201.38	3.3044	0.31491	0.53900	374.13	1.9169	2.8712e-05	0.022906	vapor
130.00	3.0000	35.744	0.027976	122.84	206.77	3.3179	0.31476	0.53789	378.90	1.8093	2.9263e-05	0.023329	vapor
140.00	3.0000	34.851	0.028694	126.06	212.14	3.3310	0.31462	0.53689	383.60	1.7076	2.9810e-05	0.023748	vapor
150.00	3.0000	34.002	0.029410	129.27	217.50	3.3439	0.31449	0.53596	388.24	1.6114	3.0351e-05	0.024164	vapor
160.00	3.0000	33.195	0.030125	132.48	222.86	3.3564	0.31438	0.53511	392.81	1.5202	3.0888e-05	0.024576	vapor
170.00	3.0000	32.427	0.030838	135.69	228.21	3.3686	0.31427	0.53433	397.32	1.4337	3.1420e-05	0.024985	vapor
180.00	3.0000	31.695	0.031551	138.89	233.55	3.3805	0.31418	0.53361	401.78	1.3515	3.1948e-05	0.025391	vapor
190.00	3.0000	30.995	0.032263	142.09	238.88	3.3921	0.31409	0.53294	406.18	1.2733	3.2471e-05	0.025793	vapor
200.00	3.0000	30.327	0.032974	145.28	244.21	3.4035	0.31400	0.53232	410.53	1.1989	3.2989e-05	0.026192	vapor
210.00	3.0000	29.688	0.033684	148.47	249.53	3.4146	0.31393	0.53175	414.82	1.1279	3.3503e-05	0.026588	vapor
220.00	3.0000	29.076	0.034393	151.66	254.84	3.4255	0.31386	0.53121	419.07	1.0602	3.4013e-05	0.026981	vapor
230.00	3.0000	28.489	0.035101	154.85	260.15	3.4362	0.31379	0.53071	423.27	0.99556	3.4519e-05	0.027371	vapor
240.00	3.0000	27.926	0.035809	158.03	265.45	3.4466	0.31373	0.53024	427.43	0.93373	3.5021e-05	0.027758	vapor
250.00	3.0000	27.385	0.036516	161.21	270.75	3.4569	0.31367	0.52981	431.54	0.87456	3.5519e-05	0.028142	vapor
260.00	3.0000	26.865	0.037223	164.38	276.05	3.4669	0.31362	0.52940	435.61	0.81789	3.6013e-05	0.028523	vapor
270.00	3.0000	26.365	0.037929	167.56	281.34	3.4767	0.31357	0.52902	439.64	0.76356	3.6503e-05	0.028901	vapor
280.00	3.0000	25.884	0.038634	170.73	286.63	3.4864	0.31352	0.52866	443.63	0.71145	3.6989e-05	0.029277	vapor
290.00	3.0000	25.420	0.039339	173.90	291.92	3.4958	0.31348	0.52832	447.58	0.66141	3.7472e-05	0.029649	vapor
300.00	3.0000	24.973	0.040044	177.07	297.20	3.5051	0.31344	0.52800	451.49	0.61334	3.7951e-05	0.030019	vapor
310.00	3.0000	24.541	0.040748	180.23	302.48	3.5143	0.31340	0.52770	455.37	0.56712	3.8426e-05	0.030387	vapor
320.00	3.0000	24.124	0.041452	183.40	307.75	3.5232	0.31336	0.52741	459.21	0.52266	3.8898e-05	0.030751	vapor
330.00	3.0000	23.722	0.042155	186.56	313.02	3.5321	0.31333	0.52715	463.02	0.47985	3.9367e-05	0.031114	vapor
340.00	3.0000	23.333	0.042858	189.72	318.29	3.5407	0.31330	0.52689	466.80	0.43860	3.9833e-05	0.031473	vapor
350.00	3.0000	22.957	0.043560	192.88	323.56	3.5492	0.31327	0.52665	470.54	0.39885	4.0295e-05	0.031831	vapor
360.00	3.0000	22.592	0.044263	196.04	328.83	3.5576	0.31324	0.52642	474.25	0.36051	4.0754e-05	0.032186	vapor
370.00	3.0000	22.240	0.044965	199.20	334.09	3.5659	0.31321	0.52621	477.93	0.32350	4.1210e-05	0.032538	vapor
380.00	3.0000	21.898	0.045666	202.35	339.35	3.5740	0.31318	0.52600	481.59	0.28777	4.1662e-05	0.032888	vapor
390.00	3.0000	21.567	0.046368	205.51	344.61	3.5820	0.31316	0.52581	485.21	0.25326	4.2112e-05	0.033236	vapor
400.00	3.0000	21.246	0.047069	208.66	349.87	3.5899	0.31313	0.52562	488.80	0.21989	4.2559e-05	0.033582	vapor
