Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	1.5000	1076.0	0.00092938	131.94	133.34	0.74955	0.94232	2.0718	783.80	-0.0038492	0.00016436	0.14694	liquid
-28.521	1.5000	1069.5	0.00093506	135.01	136.41	0.76215	0.94087	2.0844	772.20	0.0087480	0.00016027	0.14504	liquid
-28.521	1.5000	39.005	0.025638	398.47	436.93	1.9906	0.72332	1.1595	222.30	19.023	1.2556e-05	0.013869	vapor
-20.000	1.5000	36.712	0.027239	405.64	446.50	2.0291	0.70763	1.0910	229.10	17.190	1.2959e-05	0.014327	vapor
-10.000	1.5000	34.484	0.028999	413.63	457.13	2.0703	0.69677	1.0393	236.31	15.396	1.3435e-05	0.014940	vapor
0.0000	1.5000	32.606	0.030670	421.34	467.35	2.1084	0.69218	1.0069	242.87	13.891	1.3912e-05	0.015606	vapor
10.000	1.5000	30.984	0.032275	428.89	477.31	2.1442	0.69163	0.98617	248.95	12.607	1.4389e-05	0.016312	vapor
20.000	1.5000	29.558	0.033832	436.35	487.10	2.1782	0.69367	0.97292	254.65	11.498	1.4865e-05	0.017046	vapor
30.000	1.5000	28.289	0.035349	443.76	496.78	2.2107	0.69742	0.96471	260.04	10.532	1.5339e-05	0.017803	vapor
40.000	1.5000	27.147	0.036836	451.15	506.40	2.2419	0.70229	0.95998	265.19	9.6849	1.5812e-05	0.018577	vapor
50.000	1.5000	26.111	0.038297	458.54	515.99	2.2720	0.70794	0.95778	270.12	8.9370	1.6282e-05	0.019366	vapor
60.000	1.5000	25.165	0.039737	465.96	525.56	2.3012	0.71416	0.95749	274.88	8.2731	1.6750e-05	0.020165	vapor
70.000	1.5000	24.296	0.041160	473.40	535.14	2.3295	0.72077	0.95862	279.47	7.6808	1.7216e-05	0.020973	vapor
80.000	1.5000	23.493	0.042566	480.89	544.74	2.3571	0.72764	0.96082	283.93	7.1499	1.7678e-05	0.021787	vapor
90.000	1.5000	22.748	0.043960	488.42	554.36	2.3840	0.73469	0.96386	288.26	6.6723	1.8137e-05	0.022607	vapor
100.00	1.5000	22.055	0.045342	496.01	564.02	2.4102	0.74183	0.96754	292.48	6.2408	1.8594e-05	0.023430	vapor
110.00	1.5000	21.407	0.046714	503.64	573.71	2.4358	0.74904	0.97172	296.60	5.8497	1.9047e-05	0.024256	vapor
120.00	1.5000	20.800	0.048078	511.34	583.45	2.4609	0.75626	0.97628	300.63	5.4939	1.9497e-05	0.025083	vapor
130.00	1.5000	20.229	0.049433	519.09	593.24	2.4855	0.76346	0.98114	304.58	5.1693	1.9944e-05	0.025911	vapor
140.00	1.5000	19.692	0.050782	526.91	603.08	2.5096	0.77064	0.98623	308.44	4.8722	2.0387e-05	0.026740	vapor
150.00	1.5000	19.185	0.052124	534.78	612.97	2.5333	0.77776	0.99149	312.23	4.5994	2.0827e-05	0.027567	vapor
160.00	1.5000	18.705	0.053461	542.72	622.91	2.5565	0.78481	0.99687	315.96	4.3484	2.1264e-05	0.028394	vapor
170.00	1.5000	18.250	0.054793	550.71	632.90	2.5793	0.79179	1.0023	319.62	4.1168	2.1697e-05	0.029220	vapor
180.00	1.5000	17.819	0.056120	558.77	642.96	2.6017	0.79868	1.0079	323.22	3.9026	2.2127e-05	0.030043	vapor
190.00	1.5000	17.408	0.057444	566.90	653.06	2.6238	0.80549	1.0135	326.77	3.7040	2.2554e-05	0.030866	vapor
200.00	1.5000	17.017	0.058763	575.08	663.22	2.6455	0.81220	1.0190	330.27	3.5195	2.2977e-05	0.031687	vapor
210.00	1.5000	16.645	0.060079	583.32	673.44	2.6669	0.81881	1.0246	333.71	3.3477	2.3397e-05	0.032506	vapor
220.00	1.5000	16.289	0.061392	591.63	683.72	2.6879	0.82533	1.0302	337.11	3.1875	2.3813e-05	0.033322	vapor
230.00	1.5000	15.948	0.062702	599.99	694.05	2.7087	0.83175	1.0358	340.46	3.0378	2.4226e-05	0.034136	vapor
240.00	1.5000	15.623	0.064010	608.42	704.43	2.7291	0.83808	1.0413	343.77	2.8976	2.4636e-05	0.034947	vapor
250.00	1.5000	15.310	0.065315	616.90	714.87	2.7492	0.84430	1.0468	347.04	2.7662	2.5043e-05	0.035755	vapor
260.00	1.5000	15.011	0.066618	625.44	725.37	2.7691	0.85042	1.0523	350.27	2.6427	2.5446e-05	0.036561	vapor
270.00	1.5000	14.724	0.067918	634.04	735.92	2.7887	0.85645	1.0576	353.46	2.5266	2.5846e-05	0.037364	vapor
280.00	1.5000	14.447	0.069217	642.70	746.52	2.8081	0.86237	1.0630	356.62	2.4172	2.6243e-05	0.038164	vapor
290.00	1.5000	14.182	0.070514	651.41	757.18	2.8272	0.86820	1.0683	359.74	2.3140	2.6637e-05	0.038961	vapor
300.00	1.5000	13.926	0.071809	660.17	767.89	2.8460	0.87393	1.0735	362.83	2.2165	2.7028e-05	0.039755	vapor
310.00	1.5000	13.679	0.073103	668.99	778.65	2.8646	0.87957	1.0787	365.88	2.1243	2.7416e-05	0.040547	vapor
320.00	1.5000	13.442	0.074395	677.87	789.46	2.8830	0.88512	1.0838	368.91	2.0370	2.7800e-05	0.041335	vapor
330.00	1.5000	13.213	0.075686	686.80	800.32	2.9012	0.89057	1.0888	371.90	1.9542	2.8182e-05	0.042120	vapor
340.00	1.5000	12.991	0.076975	695.77	811.24	2.9191	0.89593	1.0938	374.87	1.8756	2.8560e-05	0.042902	vapor
350.00	1.5000	12.777	0.078263	704.80	822.20	2.9368	0.90120	1.0987	377.81	1.8010	2.8936e-05	0.043681	vapor
360.00	1.5000	12.571	0.079550	713.88	833.21	2.9544	0.90638	1.1035	380.72	1.7300	2.9309e-05	0.044457	vapor
370.00	1.5000	12.371	0.080836	723.02	844.27	2.9717	0.91147	1.1083	383.61	1.6624	2.9678e-05	0.045230	vapor
380.00	1.5000	12.177	0.082122	732.19	855.38	2.9888	0.91648	1.1130	386.47	1.5979	3.0045e-05	0.046000	vapor
390.00	1.5000	11.990	0.083406	741.42	866.53	3.0058	0.92140	1.1177	389.31	1.5365	3.0410e-05	0.046767	vapor
