Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.20000	2.7776	0.36002	312.69	384.70	3.5839	0.74330	1.0452	317.82	3.7597	1.5118e-05	0.022587	vapor
-20.000	0.20000	2.6668	0.37498	320.15	395.15	3.6260	0.74331	1.0448	324.36	3.4917	1.5600e-05	0.023322	vapor
-10.000	0.20000	2.5645	0.38994	327.61	405.59	3.6664	0.74337	1.0444	330.75	3.2475	1.6074e-05	0.024046	vapor
0.0000	0.20000	2.4699	0.40488	335.06	416.04	3.7054	0.74347	1.0442	337.02	3.0241	1.6540e-05	0.024758	vapor
10.000	0.20000	2.3820	0.41981	342.52	426.48	3.7429	0.74362	1.0440	343.16	2.8188	1.6999e-05	0.025460	vapor
20.000	0.20000	2.3002	0.43474	349.97	436.92	3.7792	0.74383	1.0439	349.19	2.6296	1.7450e-05	0.026152	vapor
30.000	0.20000	2.2239	0.44966	357.43	447.36	3.8142	0.74410	1.0440	355.11	2.4545	1.7894e-05	0.026836	vapor
40.000	0.20000	2.1525	0.46457	364.88	457.80	3.8481	0.74443	1.0441	360.92	2.2922	1.8332e-05	0.027511	vapor
50.000	0.20000	2.0856	0.47948	372.34	468.24	3.8809	0.74484	1.0443	366.63	2.1411	1.8764e-05	0.028179	vapor
60.000	0.20000	2.0227	0.49439	379.81	478.68	3.9127	0.74533	1.0446	372.24	2.0003	1.9189e-05	0.028839	vapor
70.000	0.20000	1.9635	0.50929	387.27	489.13	3.9436	0.74589	1.0450	377.76	1.8687	1.9609e-05	0.029494	vapor
80.000	0.20000	1.9077	0.52419	394.75	499.58	3.9736	0.74655	1.0455	383.19	1.7454	2.0022e-05	0.030142	vapor
90.000	0.20000	1.8550	0.53908	402.23	510.04	4.0028	0.74729	1.0461	388.53	1.6297	2.0431e-05	0.030785	vapor
100.00	0.20000	1.8052	0.55397	409.71	520.51	4.0313	0.74813	1.0468	393.79	1.5209	2.0834e-05	0.031424	vapor
110.00	0.20000	1.7579	0.56886	417.21	530.98	4.0590	0.74907	1.0477	398.97	1.4185	2.1232e-05	0.032058	vapor
120.00	0.20000	1.7131	0.58374	424.71	541.46	4.0860	0.75010	1.0486	404.07	1.3220	2.1625e-05	0.032689	vapor
130.00	0.20000	1.6705	0.59862	432.23	551.95	4.1123	0.75122	1.0496	409.09	1.2308	2.2013e-05	0.033316	vapor
140.00	0.20000	1.6300	0.61350	439.75	562.45	4.1381	0.75245	1.0508	414.04	1.1445	2.2397e-05	0.033941	vapor
150.00	0.20000	1.5914	0.62838	447.29	572.97	4.1632	0.75377	1.0520	418.92	1.0629	2.2776e-05	0.034562	vapor
160.00	0.20000	1.5546	0.64325	454.84	583.49	4.1878	0.75519	1.0533	423.73	0.98553	2.3151e-05	0.035182	vapor
170.00	0.20000	1.5195	0.65813	462.41	594.03	4.2118	0.75670	1.0548	428.47	0.91213	2.3522e-05	0.035799	vapor
180.00	0.20000	1.4859	0.67300	469.99	604.59	4.2354	0.75831	1.0563	433.15	0.84244	2.3889e-05	0.036415	vapor
190.00	0.20000	1.4538	0.68787	477.59	615.16	4.2585	0.76000	1.0580	437.77	0.77620	2.4252e-05	0.037029	vapor
200.00	0.20000	1.4230	0.70274	485.20	625.75	4.2811	0.76178	1.0597	442.32	0.71320	2.4612e-05	0.037642	vapor
210.00	0.20000	1.3935	0.71761	492.83	636.35	4.3033	0.76364	1.0615	446.82	0.65322	2.4968e-05	0.038253	vapor
220.00	0.20000	1.3652	0.73247	500.48	646.98	4.3250	0.76557	1.0634	451.26	0.59609	2.5320e-05	0.038864	vapor
