Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
10.000	2.0000	1000.6	0.00099939	41.970	43.969	0.15091	4.1829	4.1880	1450.4	-0.23238	0.0013038	0.58097	liquid
20.000	2.0000	999.08	0.0010009	83.791	85.793	0.29607	4.1499	4.1782	1485.5	-0.22484	0.0010008	0.59933	liquid
30.000	2.0000	996.49	0.0010035	125.55	127.55	0.43615	4.1112	4.1747	1512.4	-0.21816	0.00079717	0.61636	liquid
40.000	2.0000	993.05	0.0010070	167.28	169.30	0.57163	4.0680	4.1748	1532.2	-0.21205	0.00065313	0.63149	liquid
50.000	2.0000	988.86	0.0010113	209.03	211.06	0.70289	4.0213	4.1770	1546.0	-0.20631	0.00054718	0.64448	liquid
60.000	2.0000	984.02	0.0010162	250.81	252.84	0.83024	3.9721	4.1808	1554.5	-0.20078	0.00046682	0.65529	liquid
70.000	2.0000	978.60	0.0010219	292.63	294.68	0.95396	3.9212	4.1859	1558.4	-0.19533	0.00040437	0.66406	liquid
80.000	2.0000	972.64	0.0010281	334.51	336.57	1.0743	3.8693	4.1926	1558.2	-0.18987	0.00035485	0.67098	liquid
90.000	2.0000	966.18	0.0010350	376.46	378.53	1.1915	3.8171	4.2010	1554.4	-0.18429	0.00031492	0.67627	liquid
100.00	2.0000	959.24	0.0010425	418.51	420.59	1.3057	3.7652	4.2113	1547.2	-0.17851	0.00028225	0.68013	liquid
110.00	2.0000	951.84	0.0010506	460.67	462.77	1.4173	3.7141	4.2239	1537.1	-0.17246	0.00025519	0.68275	liquid
120.00	2.0000	944.01	0.0010593	502.96	505.08	1.5263	3.6639	4.2389	1524.1	-0.16605	0.00023253	0.68426	liquid
130.00	2.0000	935.73	0.0010687	545.42	547.55	1.6330	3.6151	4.2568	1508.5	-0.15920	0.00021334	0.68477	liquid
140.00	2.0000	927.02	0.0010787	588.07	590.22	1.7375	3.5676	4.2777	1490.4	-0.15182	0.00019696	0.68436	liquid
150.00	2.0000	917.87	0.0010895	630.94	633.12	1.8401	3.5218	4.3022	1470.0	-0.14383	0.00018285	0.68307	liquid
160.00	2.0000	908.27	0.0011010	674.08	676.28	1.9409	3.4776	4.3304	1447.2	-0.13509	0.00017059	0.68093	liquid
170.00	2.0000	898.21	0.0011133	717.52	719.74	2.0401	3.4350	4.3630	1422.2	-0.12550	0.00015985	0.67795	liquid
180.00	2.0000	887.67	0.0011266	761.30	763.56	2.1379	3.3942	4.4005	1394.9	-0.11489	0.00015038	0.67410	liquid
190.00	2.0000	876.61	0.0011408	805.49	807.77	2.2344	3.3551	4.4436	1365.4	-0.10308	0.00014197	0.66937	liquid
200.00	2.0000	865.00	0.0011561	850.14	852.45	2.3298	3.3176	4.4932	1333.7	-0.089849	0.00013443	0.66370	liquid
210.00	2.0000	852.79	0.0011726	895.32	897.66	2.4244	3.2820	4.5506	1299.6	-0.074899	0.00012763	0.65705	liquid
212.38	2.0000	849.80	0.0011767	906.14	908.50	2.4468	3.2737	4.5655	1291.2	-0.071054	0.00012610	0.65532	liquid
212.38	2.0000	10.042	0.099585	2599.1	2798.3	6.3390	2.1585	3.1910	504.70	22.025	1.6144e-05	0.042572	vapor
220.00	2.0000	9.7870	0.10218	2617.3	2821.6	6.3867	2.0210	2.9537	512.56	20.740	1.6496e-05	0.042581	vapor
230.00	2.0000	9.4871	0.10541	2639.4	2850.2	6.4440	1.9200	2.7698	521.45	19.262	1.6953e-05	0.042748	vapor
240.00	2.0000	9.2165	0.10850	2660.2	2877.2	6.4973	1.8561	2.6482	529.48	17.956	1.7406e-05	0.043058	vapor
250.00	2.0000	8.9689	0.11150	2680.2	2903.2	6.5475	1.8102	2.5584	536.98	16.782	1.7856e-05	0.043484	vapor
260.00	2.0000	8.7404	0.11441	2699.6	2928.5	6.5952	1.7752	2.4884	544.09	15.718	1.8304e-05	0.044007	vapor
270.00	2.0000	8.5281	0.11726	2718.5	2953.1	6.6409	1.7479	2.4326	550.90	14.750	1.8750e-05	0.044612	vapor
280.00	2.0000	8.3296	0.12005	2737.0	2977.1	6.6849	1.7263	2.3875	557.44	13.868	1.9193e-05	0.045288	vapor
290.00	2.0000	8.1433	0.12280	2755.2	3000.8	6.7273	1.7093	2.3506	563.75	13.061	1.9635e-05	0.046025	vapor
300.00	2.0000	7.9677	0.12551	2773.2	3024.2	6.7684	1.6960	2.3203	569.87	12.323	2.0075e-05	0.046815	vapor
310.00	2.0000	7.8016	0.12818	2790.9	3047.3	6.8083	1.6856	2.2954	575.81	11.645	2.0514e-05	0.047652	vapor
320.00	2.0000	7.6440	0.13082	2808.5	3070.1	6.8472	1.6776	2.2749	581.60	11.022	2.0951e-05	0.048530	vapor
330.00	2.0000	7.4942	0.13344	2825.9	3092.8	6.8851	1.6717	2.2579	587.25	10.448	2.1386e-05	0.049446	vapor
340.00	2.0000	7.3514	0.13603	2843.2	3115.3	6.9221	1.6673	2.2439	592.77	9.9181	2.1821e-05	0.050394	vapor
350.00	2.0000	7.2150	0.13860	2860.5	3137.7	6.9583	1.6644	2.2324	598.18	9.4275	2.2254e-05	0.051373	vapor
360.00	2.0000	7.0845	0.14115	2877.6	3159.9	6.9937	1.6627	2.2231	603.48	8.9726	2.2685e-05	0.052378	vapor
370.00	2.0000	6.9594	0.14369	2894.7	3182.1	7.0285	1.6619	2.2155	608.68	8.5498	2.3116e-05	0.053408	vapor
380.00	2.0000	6.8394	0.14621	2911.8	3204.2	7.0627	1.6621	2.2095	613.80	8.1561	2.3545e-05	0.054460	vapor
390.00	2.0000	6.7241	0.14872	2928.9	3226.3	7.0962	1.6629	2.2048	618.83	7.7887	2.3973e-05	0.055532	vapor
400.00	2.0000	6.6131	0.15121	2945.9	3248.3	7.1292	1.6644	2.2013	623.78	7.4454	2.4400e-05	0.056624	vapor
410.00	2.0000	6.5062	0.15370	2962.9	3270.3	7.1616	1.6664	2.1988	628.65	7.1239	2.4826e-05	0.057732	vapor
420.00	2.0000	6.4031	0.15617	2980.0	3292.3	7.1935	1.6690	2.1972	633.46	6.8224	2.5250e-05	0.058857	vapor
430.00	2.0000	6.3037	0.15864	2997.0	3314.3	7.2250	1.6719	2.1963	638.19	6.5391	2.5673e-05	0.059997	vapor
440.00	2.0000	6.2075	0.16109	3014.1	3336.3	7.2560	1.6753	2.1962	642.87	6.2727	2.6096e-05	0.061152	vapor
450.00	2.0000	6.1146	0.16354	3031.1	3358.2	7.2866	1.6790	2.1966	647.49	6.0217	2.6516e-05	0.062319	vapor
460.00	2.0000	6.0247	0.16598	3048.2	3380.2	7.3168	1.6829	2.1977	652.05	5.7849	2.6936e-05	0.063500	vapor
470.00	2.0000	5.9376	0.16842	3065.3	3402.2	7.3466	1.6872	2.1992	656.55	5.5612	2.7355e-05	0.064692	vapor
480.00	2.0000	5.8533	0.17085	3082.5	3424.2	7.3760	1.6917	2.2011	661.01	5.3497	2.7772e-05	0.065897	vapor
490.00	2.0000	5.7714	0.17327	3099.7	3446.2	7.4050	1.6964	2.2034	665.41	5.1495	2.8188e-05	0.067111	vapor
500.00	2.0000	5.6921	0.17568	3116.9	3468.2	7.4337	1.7013	2.2062	669.77	4.9596	2.8603e-05	0.068337	vapor
510.00	2.0000	5.6150	0.17809	3134.1	3490.3	7.4621	1.7063	2.2092	674.08	4.7796	2.9016e-05	0.069572	vapor
520.00	2.0000	5.5401	0.18050	3151.4	3512.4	7.4901	1.7116	2.2125	678.34	4.6085	2.9429e-05	0.070817	vapor
530.00	2.0000	5.4674	0.18290	3168.8	3534.6	7.5179	1.7170	2.2161	682.56	4.4459	2.9840e-05	0.072072	vapor
540.00	2.0000	5.3966	0.18530	3186.1	3556.7	7.5453	1.7225	2.2200	686.75	4.2912	3.0250e-05	0.073334	vapor
550.00	2.0000	5.3278	0.18770	3203.6	3579.0	7.5725	1.7282	2.2241	690.89	4.1438	3.0658e-05	0.074606	vapor
560.00	2.0000	5.2608	0.19009	3221.1	3601.2	7.5994	1.7339	2.2284	694.99	4.0034	3.1066e-05	0.075885	vapor
570.00	2.0000	5.1955	0.19247	3238.6	3623.5	7.6260	1.7398	2.2328	699.06	3.8694	3.1472e-05	0.077172	vapor
580.00	2.0000	5.1320	0.19486	3256.2	3645.9	7.6523	1.7457	2.2375	703.09	3.7415	3.1877e-05	0.078466	vapor
590.00	2.0000	5.0700	0.19724	3273.8	3668.3	7.6784	1.7518	2.2423	707.09	3.6193	3.2280e-05	0.079767	vapor
600.00	2.0000	5.0097	0.19961	3291.5	3690.7	7.7043	1.7579	2.2473	711.05	3.5025	3.2683e-05	0.081075	vapor
610.00	2.0000	4.9507	0.20199	3309.3	3713.2	7.7299	1.7641	2.2524	714.98	3.3908	3.3084e-05	0.082389	vapor
620.00	2.0000	4.8933	0.20436	3327.1	3735.8	7.7553	1.7704	2.2576	718.88	3.2838	3.3483e-05	0.083710	vapor
630.00	2.0000	4.8372	0.20673	3344.9	3758.4	7.7805	1.7767	2.2630	722.75	3.1813	3.3882e-05	0.085036	vapor
640.00	2.0000	4.7824	0.20910	3362.8	3781.0	7.8054	1.7831	2.2684	726.58	3.0831	3.4279e-05	0.086368	vapor
650.00	2.0000	4.7289	0.21146	3380.8	3803.8	7.8302	1.7895	2.2740	730.39	2.9889	3.4675e-05	0.087705	vapor
660.00	2.0000	4.6767	0.21383	3398.9	3826.5	7.8547	1.7960	2.2796	734.17	2.8985	3.5069e-05	0.089047	vapor
670.00	2.0000	4.6256	0.21619	3417.0	3849.3	7.8790	1.8025	2.2853	737.92	2.8117	3.5463e-05	0.090394	vapor
680.00	2.0000	4.5756	0.21855	3435.1	3872.2	7.9032	1.8090	2.2911	741.65	2.7283	3.5855e-05	0.091745	vapor
690.00	2.0000	4.5268	0.22091	3453.4	3895.2	7.9271	1.8156	2.2970	745.35	2.6481	3.6245e-05	0.093102	vapor
700.00	2.0000	4.4790	0.22326	3471.6	3918.2	7.9509	1.8222	2.3029	749.02	2.5711	3.6635e-05	0.094462	vapor
710.00	2.0000	4.4323	0.22562	3490.0	3941.2	7.9744	1.8289	2.3089	752.67	2.4969	3.7023e-05	0.095827	vapor
720.00	2.0000	4.3866	0.22797	3508.4	3964.3	7.9978	1.8355	2.3149	756.30	2.4255	3.7410e-05	0.097196	vapor
730.00	2.0000	4.3418	0.23032	3526.9	3987.5	8.0210	1.8422	2.3210	759.90	2.3568	3.7796e-05	0.098569	vapor
740.00	2.0000	4.2979	0.23267	3545.4	4010.8	8.0441	1.8489	2.3271	763.48	2.2906	3.8180e-05	0.099946	vapor
750.00	2.0000	4.2550	0.23502	3564.0	4034.1	8.0670	1.8556	2.3333	767.03	2.2267	3.8563e-05	0.10133	vapor
760.00	2.0000	4.2129	0.23737	3582.7	4057.4	8.0897	1.8623	2.3395	770.56	2.1652	3.8945e-05	0.10271	vapor
770.00	2.0000	4.1717	0.23971	3601.4	4080.9	8.1123	1.8690	2.3457	774.08	2.1058	3.9325e-05	0.10410	vapor
780.00	2.0000	4.1313	0.24206	3620.2	4104.3	8.1347	1.8757	2.3520	777.57	2.0485	3.9704e-05	0.10549	vapor
790.00	2.0000	4.0916	0.24440	3639.1	4127.9	8.1569	1.8824	2.3582	781.04	1.9932	4.0082e-05	0.10688	vapor
800.00	2.0000	4.0528	0.24674	3658.0	4151.5	8.1790	1.8892	2.3645	784.49	1.9398	4.0459e-05	0.10828	vapor
810.00	2.0000	4.0147	0.24908	3677.0	4175.2	8.2010	1.8959	2.3708	787.92	1.8881	4.0834e-05	0.10968	vapor
820.00	2.0000	3.9773	0.25142	3696.1	4198.9	8.2228	1.9026	2.3772	791.33	1.8382	4.1208e-05	0.11109	vapor
830.00	2.0000	3.9407	0.25376	3715.2	4222.7	8.2445	1.9093	2.3835	794.72	1.7900	4.1581e-05	0.11249	vapor
840.00	2.0000	3.9047	0.25610	3734.4	4246.6	8.2660	1.9160	2.3898	798.10	1.7433	4.1953e-05	0.11390	vapor
850.00	2.0000	3.8694	0.25844	3753.6	4270.5	8.2874	1.9227	2.3962	801.46	1.6982	4.2323e-05	0.11532	vapor
860.00	2.0000	3.8347	0.26078	3773.0	4294.5	8.3087	1.9294	2.4025	804.79	1.6545	4.2692e-05	0.11673	vapor
870.00	2.0000	3.8006	0.26311	3792.4	4318.6	8.3298	1.9360	2.4088	808.12	1.6122	4.3060e-05	0.11815	vapor
880.00	2.0000	3.7672	0.26545	3811.8	4342.7	8.3509	1.9427	2.4152	811.42	1.5712	4.3427e-05	0.11957	vapor
890.00	2.0000	3.7344	0.26778	3831.3	4366.9	8.3717	1.9493	2.4215	814.71	1.5315	4.3792e-05	0.12100	vapor
900.00	2.0000	3.7021	0.27012	3850.9	4391.1	8.3925	1.9559	2.4278	817.98	1.4930	4.4156e-05	0.12242	vapor
910.00	2.0000	3.6704	0.27245	3870.5	4415.4	8.4131	1.9625	2.4341	821.24	1.4557	4.4519e-05	0.12385	vapor
920.00	2.0000	3.6392	0.27478	3890.2	4439.8	8.4336	1.9691	2.4404	824.48	1.4196	4.4881e-05	0.12528	vapor
930.00	2.0000	3.6086	0.27711	3910.0	4464.2	8.4540	1.9756	2.4467	827.70	1.3845	4.5241e-05	0.12672	vapor
940.00	2.0000	3.5785	0.27944	3929.9	4488.7	8.4743	1.9821	2.4530	830.91	1.3505	4.5601e-05	0.12815	vapor
950.00	2.0000	3.5489	0.28178	3949.8	4513.3	8.4945	1.9886	2.4592	834.11	1.3175	4.5959e-05	0.12959	vapor
960.00	2.0000	3.5198	0.28411	3969.7	4537.9	8.5145	1.9951	2.4654	837.29	1.2854	4.6316e-05	0.13103	vapor
970.00	2.0000	3.4912	0.28643	3989.7	4562.6	8.5345	2.0015	2.4716	840.45	1.2543	4.6671e-05	0.13248	vapor
980.00	2.0000	3.4630	0.28876	4009.8	4587.4	8.5543	2.0079	2.4778	843.61	1.2240	4.7026e-05	0.13392	vapor
990.00	2.0000	3.4353	0.29109	4030.0	4612.2	8.5740	2.0143	2.4840	846.75	1.1947	4.7379e-05	0.13537	vapor
1000.0	2.0000	3.4081	0.29342	4050.2	4637.0	8.5936	2.0206	2.4902	849.87	1.1661	4.7732e-05	0.13682	vapor
