Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.30000	4.1683	0.23990	179.34	251.31	6.2985	0.74367	1.0473	317.93	3.2375	1.5206e-05	0.021978	vapor
-20.000	0.30000	4.0015	0.24991	186.81	261.78	6.3407	0.74358	1.0465	324.49	2.9931	1.5702e-05	0.022696	vapor
-10.000	0.30000	3.8477	0.25990	194.27	272.24	6.3812	0.74353	1.0459	330.90	2.7713	1.6190e-05	0.023403	vapor
0.0000	0.30000	3.7054	0.26988	201.73	282.70	6.4202	0.74351	1.0455	337.18	2.5690	1.6671e-05	0.024099	vapor
10.000	0.30000	3.5733	0.27985	209.19	293.15	6.4578	0.74353	1.0450	343.35	2.3838	1.7145e-05	0.024786	vapor
20.000	0.30000	3.4504	0.28982	216.65	303.60	6.4941	0.74359	1.0447	349.39	2.2137	1.7612e-05	0.025463	vapor
30.000	0.30000	3.3357	0.29978	224.11	314.05	6.5291	0.74370	1.0445	355.33	2.0569	1.8073e-05	0.026131	vapor
40.000	0.30000	3.2285	0.30974	231.57	324.49	6.5630	0.74385	1.0444	361.16	1.9119	1.8527e-05	0.026791	vapor
50.000	0.30000	3.1280	0.31969	239.02	334.93	6.5958	0.74405	1.0443	366.89	1.7775	1.8975e-05	0.027444	vapor
60.000	0.30000	3.0336	0.32964	246.48	345.38	6.6277	0.74431	1.0443	372.52	1.6524	1.9418e-05	0.028089	vapor
70.000	0.30000	2.9447	0.33959	253.94	355.82	6.6586	0.74462	1.0444	378.07	1.5359	1.9855e-05	0.028728	vapor
80.000	0.30000	2.8610	0.34953	261.41	366.26	6.6886	0.74500	1.0446	383.52	1.4271	2.0286e-05	0.029361	vapor
90.000	0.30000	2.7819	0.35947	268.87	376.71	6.7177	0.74544	1.0449	388.89	1.3252	2.0712e-05	0.029987	vapor
100.00	0.30000	2.7071	0.36940	276.34	387.16	6.7461	0.74596	1.0452	394.18	1.2297	2.1133e-05	0.030609	vapor
110.00	0.30000	2.6362	0.37934	283.82	397.62	6.7738	0.74655	1.0456	399.38	1.1399	2.1549e-05	0.031225	vapor
120.00	0.30000	2.5689	0.38927	291.30	408.08	6.8007	0.74721	1.0462	404.52	1.0554	2.1961e-05	0.031837	vapor
130.00	0.30000	2.5050	0.39919	298.78	418.54	6.8270	0.74796	1.0468	409.57	0.97576	2.2368e-05	0.032445	vapor
140.00	0.30000	2.4443	0.40912	306.28	429.01	6.8527	0.74878	1.0475	414.56	0.90058	2.2770e-05	0.033049	vapor
150.00	0.30000	2.3864	0.41905	313.78	439.49	6.8777	0.74969	1.0483	419.47	0.82950	2.3168e-05	0.033650	vapor
160.00	0.30000	2.3312	0.42897	321.29	449.98	6.9022	0.75068	1.0492	424.32	0.76224	2.3562e-05	0.034248	vapor
170.00	0.30000	2.2785	0.43889	328.81	460.47	6.9262	0.75175	1.0502	429.10	0.69850	2.3952e-05	0.034843	vapor
180.00	0.30000	2.2281	0.44881	336.34	470.98	6.9496	0.75291	1.0512	433.82	0.63804	2.4338e-05	0.035435	vapor
190.00	0.30000	2.1799	0.45873	343.88	481.50	6.9726	0.75414	1.0524	438.48	0.58064	2.4720e-05	0.036025	vapor
200.00	0.30000	2.1338	0.46864	351.44	492.03	6.9951	0.75546	1.0536	443.07	0.52608	2.5098e-05	0.036613	vapor
210.00	0.30000	2.0896	0.47856	359.01	502.57	7.0171	0.75685	1.0550	447.61	0.47417	2.5473e-05	0.037199	vapor
220.00	0.30000	2.0472	0.48847	366.59	513.13	7.0388	0.75833	1.0564	452.09	0.42476	2.5844e-05	0.037783	vapor
230.00	0.30000	2.0065	0.49839	374.18	523.70	7.0600	0.75988	1.0579	456.51	0.37768	2.6212e-05	0.038366	vapor
240.00	0.30000	1.9673	0.50830	381.80	534.29	7.0808	0.76150	1.0594	460.88	0.33279	2.6577e-05	0.038947	vapor
250.00	0.30000	1.9297	0.51821	389.43	544.89	7.1013	0.76319	1.0611	465.20	0.28996	2.6938e-05	0.039527	vapor
260.00	0.30000	1.8935	0.52812	397.07	555.51	7.1214	0.76495	1.0628	469.47	0.24907	2.7296e-05	0.040106	vapor
270.00	0.30000	1.8586	0.53803	404.74	566.15	7.1411	0.76677	1.0646	473.69	0.21001	2.7652e-05	0.040683	vapor
280.00	0.30000	1.8250	0.54794	412.42	576.80	7.1606	0.76865	1.0664	477.86	0.17267	2.8004e-05	0.041260	vapor
290.00	0.30000	1.7926	0.55785	420.12	587.47	7.1797	0.77060	1.0683	481.98	0.13696	2.8354e-05	0.041836	vapor
300.00	0.30000	1.7613	0.56776	427.84	598.17	7.1985	0.77259	1.0703	486.06	0.10279	2.8700e-05	0.042411	vapor
310.00	0.30000	1.7311	0.57767	435.58	608.88	7.2171	0.77464	1.0723	490.09	0.070079	2.9044e-05	0.042985	vapor
320.00	0.30000	1.7019	0.58758	443.34	619.61	7.2353	0.77673	1.0743	494.09	0.038745	2.9385e-05	0.043558	vapor
330.00	0.30000	1.6737	0.59748	451.12	630.37	7.2533	0.77887	1.0764	498.04	0.0087187	2.9724e-05	0.044131	vapor
340.00	0.30000	1.6464	0.60739	458.93	641.14	7.2710	0.78105	1.0786	501.95	-0.020067	3.0060e-05	0.044702	vapor
350.00	0.30000	1.6200	0.61729	466.75	651.94	7.2885	0.78326	1.0808	505.82	-0.047676	3.0394e-05	0.045273	vapor
360.00	0.30000	1.5944	0.62720	474.60	662.76	7.3057	0.78551	1.0830	509.65	-0.074167	3.0725e-05	0.045843	vapor
370.00	0.30000	1.5696	0.63710	482.47	673.60	7.3227	0.78779	1.0853	513.45	-0.099596	3.1054e-05	0.046412	vapor
380.00	0.30000	1.5456	0.64701	490.36	684.46	7.3394	0.79010	1.0875	517.21	-0.12402	3.1381e-05	0.046981	vapor
