Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	1.0000	758.01	0.0013193	-426.35	-425.03	-1.2929	1.6002	2.0333	1440.8	-0.48408	0.0017823	0.14451	liquid
-20.000	1.0000	750.11	0.0013331	-405.90	-404.57	-1.2104	1.6295	2.0600	1396.7	-0.47520	0.0013976	0.14103	liquid
-10.000	1.0000	742.25	0.0013472	-385.17	-383.83	-1.1301	1.6608	2.0891	1353.8	-0.46554	0.0011374	0.13769	liquid
0.0000	1.0000	734.42	0.0013616	-364.14	-362.78	-1.0516	1.6938	2.1204	1312.0	-0.45519	0.00095134	0.13450	liquid
10.000	1.0000	726.59	0.0013763	-342.79	-341.41	-0.97474	1.7281	2.1537	1271.2	-0.44422	0.00081247	0.13144	liquid
20.000	1.0000	718.77	0.0013913	-321.09	-319.70	-0.89939	1.7637	2.1886	1231.3	-0.43270	0.00070531	0.12849	liquid
30.000	1.0000	710.93	0.0014066	-299.04	-297.63	-0.82538	1.8002	2.2249	1192.2	-0.42066	0.00062033	0.12567	liquid
40.000	1.0000	703.07	0.0014223	-276.62	-275.20	-0.75256	1.8376	2.2625	1153.9	-0.40813	0.00055140	0.12295	liquid
50.000	1.0000	695.18	0.0014385	-253.82	-252.38	-0.68084	1.8756	2.3012	1116.4	-0.39509	0.00049440	0.12034	liquid
60.000	1.0000	687.24	0.0014551	-230.63	-229.17	-0.61011	1.9142	2.3408	1079.5	-0.38155	0.00044648	0.11781	liquid
70.000	1.0000	679.24	0.0014722	-207.03	-205.56	-0.54029	1.9532	2.3812	1043.1	-0.36745	0.00040561	0.11538	liquid
80.000	1.0000	671.17	0.0014899	-183.03	-181.54	-0.47130	1.9924	2.4223	1007.3	-0.35275	0.00037031	0.11303	liquid
90.000	1.0000	663.02	0.0015082	-158.62	-157.11	-0.40309	2.0319	2.4640	971.91	-0.33737	0.00033948	0.11076	liquid
100.00	1.0000	654.78	0.0015272	-133.79	-132.26	-0.33558	2.0714	2.5062	936.92	-0.32120	0.00031230	0.10856	liquid
110.00	1.0000	646.42	0.0015470	-108.53	-106.99	-0.26874	2.1109	2.5489	902.27	-0.30412	0.00028811	0.10642	liquid
120.00	1.0000	637.94	0.0015675	-82.851	-81.283	-0.20252	2.1504	2.5921	867.88	-0.28596	0.00026642	0.10435	liquid
130.00	1.0000	629.31	0.0015890	-56.733	-55.144	-0.13687	2.1898	2.6357	833.70	-0.26652	0.00024682	0.10234	liquid
140.00	1.0000	620.51	0.0016116	-30.179	-28.568	-0.071750	2.2290	2.6798	799.65	-0.24554	0.00022900	0.10037	liquid
150.00	1.0000	611.53	0.0016353	-3.1830	-1.5477	-0.0071314	2.2680	2.7243	765.66	-0.22270	0.00021270	0.098453	liquid
160.00	1.0000	602.32	0.0016602	24.260	25.921	0.057025	2.3067	2.7694	731.66	-0.19757	0.00019771	0.096574	liquid
170.00	1.0000	592.87	0.0016867	52.157	53.844	0.12076	2.3452	2.8153	697.57	-0.16962	0.00018384	0.094729	liquid
180.00	1.0000	583.13	0.0017149	80.514	82.229	0.18410	2.3834	2.8620	663.28	-0.13816	0.00017094	0.092911	liquid
190.00	1.0000	573.05	0.0017451	109.34	111.09	0.24708	2.4212	2.9098	628.69	-0.10223	0.00015889	0.091112	liquid
200.00	1.0000	562.58	0.0017775	138.65	140.43	0.30977	2.4587	2.9592	593.68	-0.060560	0.00014757	0.089324	liquid
210.00	1.0000	551.64	0.0018128	168.46	170.28	0.37219	2.4960	3.0106	558.10	-0.011336	0.00013689	0.087534	liquid
220.00	1.0000	540.14	0.0018514	198.80	200.65	0.43441	2.5330	3.0647	521.74	0.048081	0.00012674	0.085732	liquid
230.00	1.0000	527.94	0.0018942	229.69	231.59	0.49651	2.5698	3.1229	484.36	0.12170	0.00011705	0.083901	liquid
240.00	1.0000	514.87	0.0019422	261.19	263.13	0.55858	2.6064	3.1869	445.62	0.21594	0.00010771	0.082018	liquid
250.00	1.0000	500.65	0.0019974	293.36	295.35	0.62078	2.6431	3.2602	405.01	0.34190	9.8616e-05	0.080055	liquid
260.00	1.0000	484.87	0.0020624	326.32	328.38	0.68331	2.6801	3.3491	361.75	0.52064	8.9645e-05	0.077966	liquid
264.37	1.0000	477.30	0.0020951	341.03	343.12	0.71085	2.6965	3.3960	341.69	0.62546	8.5713e-05	0.076995	liquid
264.37	1.0000	40.959	0.024415	505.83	530.25	1.0590	2.6776	3.0416	129.70	21.153	9.9495e-06	0.036158	vapor
270.00	1.0000	39.510	0.025310	521.97	547.28	1.0905	2.6902	3.0128	134.52	19.263	1.0028e-05	0.036680	vapor
280.00	1.0000	37.363	0.026764	550.49	577.25	1.1452	2.7144	2.9853	141.93	16.679	1.0179e-05	0.037679	vapor
290.00	1.0000	35.597	0.028092	578.95	607.05	1.1986	2.7400	2.9756	148.27	14.728	1.0337e-05	0.038736	vapor
300.00	1.0000	34.098	0.029327	607.47	636.80	1.2509	2.7665	2.9764	153.87	13.186	1.0502e-05	0.039832	vapor
