Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.50000	7.9746	0.12540	156.46	219.16	5.8012	0.65443	0.92526	296.61	3.8959	1.7428e-05	0.022153	vapor
-20.000	0.50000	7.6512	0.13070	163.06	228.41	5.8384	0.65492	0.92471	302.77	3.6227	1.8012e-05	0.022970	vapor
-10.000	0.50000	7.3535	0.13599	169.66	237.65	5.8743	0.65560	0.92448	308.79	3.3751	1.8589e-05	0.023782	vapor
0.0000	0.50000	7.0786	0.14127	176.26	246.90	5.9087	0.65646	0.92456	314.66	3.1496	1.9158e-05	0.024591	vapor
10.000	0.50000	6.8238	0.14655	182.87	256.15	5.9420	0.65752	0.92492	320.40	2.9433	1.9720e-05	0.025397	vapor
20.000	0.50000	6.5870	0.15182	189.49	265.40	5.9741	0.65875	0.92554	326.01	2.7538	2.0274e-05	0.026201	vapor
30.000	0.50000	6.3663	0.15708	196.12	274.66	6.0052	0.66016	0.92641	331.51	2.5792	2.0822e-05	0.027002	vapor
40.000	0.50000	6.1601	0.16234	202.76	283.93	6.0352	0.66175	0.92751	336.89	2.4177	2.1363e-05	0.027803	vapor
50.000	0.50000	5.9670	0.16759	209.41	293.21	6.0644	0.66350	0.92883	342.15	2.2680	2.1898e-05	0.028602	vapor
60.000	0.50000	5.7857	0.17284	216.08	302.50	6.0927	0.66541	0.93036	347.32	2.1290	2.2426e-05	0.029402	vapor
70.000	0.50000	5.6153	0.17808	222.77	311.82	6.1203	0.66748	0.93207	352.39	1.9994	2.2948e-05	0.030201	vapor
80.000	0.50000	5.4547	0.18333	229.48	321.15	6.1471	0.66969	0.93397	357.36	1.8785	2.3464e-05	0.031001	vapor
90.000	0.50000	5.3032	0.18857	236.21	330.50	6.1732	0.67203	0.93602	362.24	1.7655	2.3975e-05	0.031800	vapor
100.00	0.50000	5.1599	0.19380	242.97	339.87	6.1986	0.67450	0.93823	367.04	1.6596	2.4479e-05	0.032601	vapor
110.00	0.50000	5.0242	0.19904	249.74	349.26	6.2235	0.67708	0.94057	371.75	1.5603	2.4978e-05	0.033402	vapor
120.00	0.50000	4.8955	0.20427	256.54	358.68	6.2478	0.67976	0.94303	376.39	1.4671	2.5472e-05	0.034204	vapor
130.00	0.50000	4.7733	0.20950	263.37	368.12	6.2715	0.68253	0.94560	380.95	1.3794	2.5961e-05	0.035006	vapor
140.00	0.50000	4.6571	0.21473	270.23	377.59	6.2947	0.68539	0.94828	385.44	1.2968	2.6444e-05	0.035809	vapor
150.00	0.50000	4.5464	0.21995	277.11	387.09	6.3174	0.68832	0.95103	389.86	1.2190	2.6923e-05	0.036613	vapor
160.00	0.50000	4.4409	0.22518	284.02	396.61	6.3396	0.69131	0.95387	394.22	1.1456	2.7397e-05	0.037418	vapor
170.00	0.50000	4.3403	0.23040	290.96	406.16	6.3614	0.69435	0.95677	398.52	1.0762	2.7866e-05	0.038223	vapor
180.00	0.50000	4.2441	0.23562	297.94	415.75	6.3828	0.69743	0.95972	402.76	1.0106	2.8331e-05	0.039028	vapor
190.00	0.50000	4.1521	0.24084	304.94	425.36	6.4038	0.70056	0.96271	406.94	0.94855	2.8791e-05	0.039833	vapor
200.00	0.50000	4.0640	0.24606	311.97	435.00	6.4244	0.70370	0.96574	411.06	0.88977	2.9247e-05	0.040638	vapor
210.00	0.50000	3.9796	0.25128	319.03	444.67	6.4446	0.70687	0.96880	415.14	0.83404	2.9699e-05	0.041443	vapor
220.00	0.50000	3.8987	0.25650	326.13	454.38	6.4645	0.71005	0.97188	419.16	0.78117	3.0147e-05	0.042248	vapor
230.00	0.50000	3.8210	0.26171	333.26	464.11	6.4840	0.71323	0.97497	423.14	0.73097	3.0591e-05	0.043052	vapor
240.00	0.50000	3.7463	0.26693	340.41	473.88	6.5033	0.71642	0.97807	427.07	0.68327	3.1031e-05	0.043856	vapor
250.00	0.50000	3.6745	0.27214	347.60	483.67	6.5222	0.71960	0.98117	430.96	0.63790	3.1467e-05	0.044658	vapor
260.00	0.50000	3.6055	0.27736	354.82	493.50	6.5408	0.72276	0.98426	434.81	0.59474	3.1900e-05	0.045460	vapor
270.00	0.50000	3.5389	0.28257	362.07	503.36	6.5591	0.72592	0.98734	438.61	0.55363	3.2329e-05	0.046260	vapor
280.00	0.50000	3.4749	0.28778	369.36	513.25	6.5771	0.72905	0.99040	442.38	0.51445	3.2754e-05	0.047059	vapor
290.00	0.50000	3.4130	0.29299	376.67	523.17	6.5949	0.73216	0.99345	446.11	0.47709	3.3176e-05	0.047856	vapor
300.00	0.50000	3.3534	0.29820	384.01	533.12	6.6124	0.73524	0.99647	449.80	0.44144	3.3595e-05	0.048652	vapor
310.00	0.50000	3.2958	0.30341	391.39	543.10	6.6297	0.73830	0.99947	453.46	0.40740	3.4010e-05	0.049445	vapor
320.00	0.50000	3.2402	0.30862	398.79	553.11	6.6467	0.74132	1.0024	457.09	0.37487	3.4423e-05	0.050237	vapor
330.00	0.50000	3.1864	0.31383	406.23	563.14	6.6635	0.74431	1.0054	460.68	0.34376	3.4832e-05	0.051026	vapor
340.00	0.50000	3.1344	0.31904	413.69	573.21	6.6800	0.74726	1.0083	464.24	0.31401	3.5238e-05	0.051813	vapor
350.00	0.50000	3.0840	0.32425	421.18	583.31	6.6964	0.75017	1.0111	467.77	0.28552	3.5641e-05	0.052597	vapor
360.00	0.50000	3.0353	0.32946	428.71	593.44	6.7125	0.75305	1.0140	471.28	0.25823	3.6041e-05	0.053379	vapor
370.00	0.50000	2.9881	0.33467	436.26	603.59	6.7284	0.75588	1.0168	474.75	0.23208	3.6439e-05	0.054158	vapor
380.00	0.50000	2.9423	0.33987	443.83	613.77	6.7441	0.75867	1.0195	478.20	0.20700	3.6833e-05	0.054934	vapor
390.00	0.50000	2.8979	0.34508	451.44	623.98	6.7596	0.76142	1.0222	481.62	0.18293	3.7225e-05	0.055708	vapor
400.00	0.50000	2.8548	0.35029	459.07	634.22	6.7749	0.76412	1.0249	485.01	0.15983	3.7614e-05	0.056478	vapor
410.00	0.50000	2.8130	0.35549	466.73	644.48	6.7901	0.76679	1.0275	488.38	0.13763	3.8001e-05	0.057245	vapor
420.00	0.50000	2.7724	0.36070	474.42	654.77	6.8050	0.76940	1.0301	491.72	0.11629	3.8385e-05	0.058010	vapor
430.00	0.50000	2.7330	0.36590	482.13	665.08	6.8198	0.77198	1.0327	495.04	0.095777	3.8767e-05	0.058770	vapor
440.00	0.50000	2.6946	0.37111	489.87	675.42	6.8344	0.77451	1.0352	498.34	0.076037	3.9146e-05	0.059528	vapor
450.00	0.50000	2.6574	0.37631	497.63	685.78	6.8488	0.77699	1.0376	501.61	0.057035	3.9523e-05	0.060282	vapor
460.00	0.50000	2.6211	0.38152	505.41	696.17	6.8631	0.77943	1.0400	504.87	0.038733	3.9897e-05	0.061033	vapor
470.00	0.50000	2.5858	0.38672	513.22	706.58	6.8772	0.78183	1.0424	508.10	0.021097	4.0269e-05	0.061780	vapor
480.00	0.50000	2.5515	0.39193	521.06	717.02	6.8912	0.78418	1.0447	511.31	0.0040952	4.0639e-05	0.062524	vapor
490.00	0.50000	2.5181	0.39713	528.91	727.48	6.9050	0.78649	1.0470	514.50	-0.012303	4.1007e-05	0.063264	vapor
500.00	0.50000	2.4855	0.40233	536.79	737.96	6.9186	0.78876	1.0493	517.66	-0.028128	4.1372e-05	0.064001	vapor
510.00	0.50000	2.4538	0.40754	544.70	748.46	6.9321	0.79098	1.0515	520.81	-0.043404	4.1736e-05	0.064734	vapor
520.00	0.50000	2.4228	0.41274	552.62	758.99	6.9455	0.79316	1.0536	523.94	-0.058159	4.2097e-05	0.065463	vapor
530.00	0.50000	2.3927	0.41794	560.56	769.54	6.9587	0.79530	1.0558	527.05	-0.072416	4.2456e-05	0.066188	vapor
540.00	0.50000	2.3633	0.42314	568.53	780.10	6.9717	0.79740	1.0578	530.15	-0.086198	4.2813e-05	0.066910	vapor
550.00	0.50000	2.3346	0.42835	576.52	790.69	6.9847	0.79946	1.0599	533.22	-0.099526	4.3169e-05	0.067628	vapor
560.00	0.50000	2.3065	0.43355	584.53	801.30	6.9975	0.80149	1.0619	536.28	-0.11242	4.3522e-05	0.068343	vapor
570.00	0.50000	2.2792	0.43875	592.55	811.93	7.0102	0.80347	1.0638	539.32	-0.12490	4.3873e-05	0.069053	vapor
580.00	0.50000	2.2525	0.44395	600.60	822.58	7.0227	0.80541	1.0658	542.34	-0.13698	4.4223e-05	0.069760	vapor
590.00	0.50000	2.2264	0.44916	608.67	833.25	7.0352	0.80732	1.0677	545.35	-0.14869	4.4571e-05	0.070463	vapor
600.00	0.50000	2.2009	0.45436	616.75	843.93	7.0475	0.80918	1.0695	548.34	-0.16003	4.4917e-05	0.071162	vapor
610.00	0.50000	2.1760	0.45956	624.86	854.64	7.0597	0.81102	1.0713	551.31	-0.17103	4.5261e-05	0.071858	vapor
620.00	0.50000	2.1516	0.46476	632.98	865.36	7.0717	0.81281	1.0731	554.27	-0.18169	4.5604e-05	0.072550	vapor
630.00	0.50000	2.1278	0.46996	641.12	876.10	7.0837	0.81458	1.0749	557.21	-0.19203	4.5944e-05	0.073237	vapor
640.00	0.50000	2.1045	0.47516	649.27	886.86	7.0955	0.81631	1.0766	560.14	-0.20206	4.6284e-05	0.073922	vapor
650.00	0.50000	2.0818	0.48036	657.45	897.63	7.1073	0.81800	1.0783	563.05	-0.21181	4.6621e-05	0.074602	vapor
660.00	0.50000	2.0595	0.48557	665.64	908.42	7.1189	0.81966	1.0799	565.95	-0.22127	4.6957e-05	0.075279	vapor
670.00	0.50000	2.0376	0.49077	673.85	919.23	7.1304	0.82129	1.0815	568.83	-0.23046	4.7291e-05	0.075951	vapor
680.00	0.50000	2.0163	0.49597	682.07	930.05	7.1418	0.82289	1.0831	571.70	-0.23938	4.7624e-05	0.076621	vapor
690.00	0.50000	1.9953	0.50117	690.31	940.89	7.1531	0.82446	1.0847	574.55	-0.24806	4.7955e-05	0.077286	vapor
700.00	0.50000	1.9748	0.50637	698.56	951.75	7.1644	0.82600	1.0862	577.39	-0.25650	4.8285e-05	0.077948	vapor
