NC*,WC*,PRC,EtaC
30000,0.26,3.61,0.7035
30000,0.45244898,3.479556958,0.769974643
30000,0.444081633,3.487372273,0.768859728
30000,0.435714286,3.494956401,0.767516604
30000,0.427346939,3.502303671,0.766006784
30000,0.418979592,3.509413389,0.764367949
30000,0.410612245,3.516292923,0.762599192
30000,0.402244898,3.522950375,0.760696088
30000,0.393877551,3.529393849,0.758654212
30000,0.385510204,3.535631446,0.756469138
30000,0.377142857,3.541671269,0.75413644
30000,0.36877551,3.547521421,0.751651694
30000,0.360408163,3.553190005,0.749010474
30000,0.352040816,3.558685122,0.746208354
30000,0.343673469,3.564014876,0.743240909
30000,0.335306122,3.569187369,0.740103714
30000,0.326938776,3.574210705,0.736792343
30000,0.318571429,3.579092984,0.733302371
30000,0.310204082,3.58384231,0.729629372
30000,0.301836735,3.588466786,0.725768922
30000,0.293469388,3.592974514,0.721716594
30000,0.285102041,3.597373597,0.717467963
30000,0.460816327,3.471516202,0.770799482
30000,0.276734694,3.601672137,0.713018604
30000,0.469183673,3.46325575,0.77127238
30000,0.485918367,3.446098741,0.770914885
30000,0.661632653,3.205386455,0.630657925
30000,0.653265306,3.220317347,0.64158574
30000,0.644897959,3.234807553,0.652256656
30000,0.636530612,3.248871954,0.662643882
30000,0.628163265,3.262525428,0.672720629
30000,0.619795918,3.275782854,0.682460108
30000,0.611428571,3.288659113,0.691835527
30000,0.603061224,3.301169082,0.700820098
30000,0.594693878,3.313327642,0.70938703
30000,0.586326531,3.325149672,0.717509533
30000,0.577959184,3.33665005,0.725160818
30000,0.569591837,3.347843657,0.732314095
30000,0.56122449,3.35874537,0.738942574
30000,0.552857143,3.36937007,0.745019464
30000,0.544489796,3.379732636,0.750517977
30000,0.536122449,3.389847946,0.755411322
30000,0.527755102,3.399730881,0.759672709
30000,0.519387755,3.409396319,0.763275349
30000,0.511020408,3.418859139,0.766192451
30000,0.502653061,3.428131894,0.768407228
30000,0.494285714,3.437213675,0.76996076
30000,0.47755102,3.454781348,0.77133147
30000,0.268367347,3.605878237,0.708364092
30000,0.67,3.19,0.6195
30979.59184,0.696938776,3.221836735,0.623357143
30979.59184,0.562807164,3.436827796,0.759287849
30979.59184,0.509154519,3.500464204,0.778364724
30979.59184,0.446559767,3.563970822,0.775993895
30979.59184,0.29454394,3.672988277,0.721159204
30979.59184,0.661170346,3.290489865,0.669632858
30979.59184,0.598575594,3.389325116,0.734026447
30979.59184,0.357138692,3.634996151,0.750337735
30979.59184,0.500212411,3.510316618,0.779311365
30979.59184,0.455501874,3.555697051,0.777358648
30979.59184,0.383965015,3.615641495,0.760378013
30979.59184,0.571749271,3.42541852,0.753852405
30979.59184,0.285601833,3.677510702,0.7165255
30979.59184,0.670112453,3.274273162,0.658635503
30979.59184,0.491270304,3.519925987,0.779735559
30979.59184,0.464443982,3.547161671,0.778460223
30979.59184,0.589633486,3.401696282,0.741203017
30979.59184,0.276659725,3.681789334,0.711814722
30979.59184,0.392907122,3.60882317,0.763300162
30979.59184,0.652228238,3.306124018,0.680218019
30979.59184,0.303486047,3.668227905,0.725702746
30979.59184,0.437617659,3.57199027,0.774409821
30979.59184,0.544922949,3.458888157,0.7682868
30979.59184,0.33031237,3.652577566,0.738661531
30979.59184,0.625401916,3.349822201,0.709313469
30979.59184,0.616459808,3.363417177,0.718062986
30979.59184,0.535980841,3.46959087,0.771813044
30979.59184,0.419733444,3.58731988,0.770641617
30979.59184,0.339254477,3.646923864,0.742713557
30979.59184,0.321370262,3.658016704,0.734466996
30979.59184,0.687996668,3.239975699,0.635478959
30979.59184,0.634344023,3.335761084,0.700077012
30979.59184,0.553865056,3.447974646,0.764105543
30979.59184,0.527038734,3.48008881,0.774665971
30979.59184,0.428675552,3.579767047,0.772629368
30979.59184,0.312428155,3.663235432,0.730143039
30979.59184,0.643286131,3.321204724,0.690372299
30979.59184,0.607517701,3.376575115,0.726306874
30979.59184,0.348196585,3.641061443,0.746609987
30979.59184,0.518096626,3.490383388,0.776836099
30979.59184,0.401849229,3.601831201,0.765988194
30979.59184,0.679054561,3.257444808,0.647244641
30979.59184,0.410791337,3.594668142,0.768432561
30979.59184,0.580691379,3.413717716,0.747817899
30979.59184,0.482328197,3.529277665,0.779696849
30979.59184,0.25877551,3.689591837,0.702214286
30979.59184,0.3660808,3.628733831,0.753883713
30979.59184,0.375022907,3.622280331,0.757234835
30979.59184,0.267717618,3.685818327,0.707039954
30979.59184,0.473386089,3.538357464,0.779254452
31959.18367,0.485955852,3.605198726,0.787709422
31959.18367,0.40030404,3.682014894,0.770131187
31959.18367,0.343202832,3.724660358,0.745323401
31959.18367,0.390787172,3.689611721,0.766619586
31959.18367,0.600158267,3.468690062,0.756693225
31959.18367,0.533540192,3.552634882,0.785264969
31959.18367,0.428854644,3.658346837,0.778684042
31959.18367,0.552573928,3.529785422,0.78035074
31959.18367,0.286101624,3.757647806,0.715583038
31959.18367,0.714360683,3.274564943,0.640299993
31959.18367,0.695326947,3.313738771,0.665014351
31959.18367,0.676293211,3.349722608,0.687715409
31959.18367,0.666776343,3.366626593,0.698284491
31959.18367,0.590641399,3.48146697,0.762685346
31959.18367,0.466922116,3.624021828,0.785857568
31959.18367,0.324169096,3.736940424,0.735631621
31959.18367,0.514506456,3.574534495,0.787707844
31959.18367,0.438371512,3.650120705,0.780890787
31959.18367,0.457405248,3.632985243,0.784471186
31959.18367,0.571607663,3.506101347,0.772799763
31959.18367,0.295618492,3.753002039,0.720601814
31959.18367,0.49547272,3.59529958,0.788121318
31959.18367,0.524023324,3.563714733,0.786768688
31959.18367,0.581124531,3.493922957,0.768057721
31959.18367,0.685810079,3.332107776,0.676621834
31959.18367,0.619192003,3.442000181,0.742892075
31959.18367,0.314652228,3.742628554,0.730656705
31959.18367,0.362236568,3.711307179,0.754467116
31959.18367,0.419337776,3.666385908,0.776169034
31959.18367,0.657259475,3.382863055,0.708318496
31959.18367,0.638225739,3.413506712,0.726738942
31959.18367,0.409820908,3.674268554,0.773322177
31959.18367,0.30513536,3.747989024,0.72563657
31959.18367,0.54305706,3.541318481,0.783139491
31959.18367,0.44788838,3.641676869,0.782812857
31959.18367,0.504989588,3.585070625,0.788139649
31959.18367,0.3527197,3.71810801,0.749979066
31959.18367,0.609675135,3.455548908,0.75009194
31959.18367,0.276584756,3.76190653,0.710610839
31959.18367,0.333685964,3.730944427,0.74053072
31959.18367,0.267067888,3.765758417,0.705715817
31959.18367,0.476438984,3.614766384,0.786945803
31959.18367,0.723877551,3.253673469,0.627214286
31959.18367,0.381270304,3.69703924,0.762817975
31959.18367,0.25755102,3.769183673,0.700928571
31959.18367,0.704843815,3.294572269,0.652903542
31959.18367,0.628708871,3.428000558,0.735104214
31959.18367,0.562090796,3.518045433,0.776900892
31959.18367,0.647742607,3.39847532,0.717806841
31959.18367,0.371753436,3.704277658,0.758756952
32938.77551,0.680174927,3.429965026,0.71655998
32938.77551,0.357242815,3.795154578,0.753348144
32938.77551,0.548983757,3.614886375,0.793693839
32938.77551,0.367334444,3.787618208,0.758596497
32938.77551,0.316876302,3.822021676,0.731170371
32938.77551,0.4581591,3.711363468,0.791215894
32938.77551,0.599441899,3.551018117,0.776827592
32938.77551,0.629716785,3.509401533,0.758980862
32938.77551,0.579258642,3.577202708,0.785514983
32938.77551,0.448067472,3.720474362,0.789152205
32938.77551,0.417792586,3.746705906,0.780656159
32938.77551,0.710449813,3.373725687,0.68361081
32938.77551,0.276509788,3.842023726,0.709406957
32938.77551,0.508617243,3.661321494,0.796545786
32938.77551,0.538892128,3.626965262,0.795172653
32938.77551,0.740724698,3.309154187,0.645121027
32938.77551,0.296693045,3.833015802,0.720044424
32938.77551,0.427884215,3.738103674,0.783905506
32938.77551,0.589350271,3.564228047,0.781493984
32938.77551,0.73063307,3.331699729,0.658562443
32938.77551,0.468250729,3.701999664,0.792948477
32938.77551,0.619625156,3.523662408,0.76556855
32938.77551,0.639808413,3.494675247,0.751757703
32938.77551,0.5288005,3.638752372,0.796104324
32938.77551,0.286601416,3.83778491,0.714640575
32938.77551,0.32696793,3.815864143,0.736796247
32938.77551,0.690266556,3.412048462,0.706196682
32938.77551,0.720541441,3.35320438,0.671393198
32938.77551,0.700358184,3.393321199,0.695212798
32938.77551,0.256326531,3.84877551,0.699642857
32938.77551,0.750816327,3.285510204,0.631071429
32938.77551,0.569167014,3.589979974,0.788888435
32938.77551,0.518708871,3.650215264,0.796543739
32938.77551,0.670083299,3.447128439,0.726300213
32938.77551,0.559075385,3.602548152,0.791613012
32938.77551,0.377426072,3.779821484,0.763630191
32938.77551,0.65999167,3.463596247,0.735414898
32938.77551,0.498525614,3.672039988,0.796164392
