NT*,PRT,WT*,EtaT
11239.66942,1.99,0.214214876,0.814
11239.66942,2.03,0.232066116,0.825
11239.66942,2.04,0.243966942,0.814
15867.7686,2.29,0.291570248,0.759
15867.7686,2.36,0.315371901,0.748
15867.7686,2.42,0.327272727,0.77
15867.7686,2.47,0.33322314,0.792
15867.7686,2.52,0.345123967,0.792
15867.7686,2.56,0.35107438,0.781
15867.7686,2.58,0.35107438,0.836
18512.39669,2.51,0.33322314,0.748
18512.39669,2.61,0.345123967,0.792
18512.39669,2.68,0.357024793,0.803
18512.39669,2.76,0.362975207,0.803
18512.39669,2.83,0.36892562,0.814
18512.39669,2.88,0.380826446,0.803
18512.39669,2.9,0.380826446,0.836
21157.02479,2.79,0.357024793,0.792
21157.02479,2.92,0.374876033,0.781
21157.02479,3.02,0.380826446,0.792
21157.02479,3.11,0.392727273,0.814
21157.02479,3.2,0.392727273,0.836
21157.02479,3.27,0.398677686,0.825
21157.02479,3.29,0.398677686,0.836
23140.49587,3.16,0.380826446,0.803
23140.49587,3.31,0.392727273,0.814
23140.49587,3.45,0.398677686,0.825
23140.49587,3.56,0.404628099,0.825
23140.49587,3.66,0.410578512,0.825
23140.49587,3.77,0.416528926,0.814
23140.49587,3.77,0.410578512,0.836
25785.12397,3.63,0.398677686,0.803
25785.12397,3.79,0.404628099,0.814
25785.12397,3.95,0.410578512,0.825
25785.12397,4.12,0.416528926,0.836
25785.12397,4.23,0.422479339,0.825
25785.12397,4.34,0.422479339,0.847
25785.12397,4.34,0.422479339,0.858
28429.75207,4.23,0.410578512,0.836
28429.75207,4.44,0.416528926,0.825
28429.75207,4.64,0.416528926,0.825
28429.75207,4.78,0.416528926,0.825
28429.75207,4.94,0.416528926,0.836
28429.75207,5.12,0.422479339,0.814
28429.75207,5,0.422479339,0.858
31074.38017,5.12,0.410578512,0.803
31074.38017,5.33,0.410578512,0.803
31074.38017,5.56,0.416528926,0.792
31074.38017,5.8,0.410578512,0.781
31074.38017,6.01,0.410578512,0.77
31074.38017,6.22,0.416528926,0.759
31074.38017,5.88,0.410578512,0.792
33057.85124,6.65,0.404628099,0.737
33057.85124,6.88,0.404628099,0.726
33057.85124,7.13,0.404628099,0.726
33057.85124,7.31,0.404628099,0.715
33057.85124,7.52,0.404628099,0.704
33057.85124,7.68,0.404628099,0.704
33057.85124,7.08,0.404628099,0.737
57520.66116,6.65,0.404628099,0.737
57520.66116,6.88,0.404628099,0.726
57520.66116,7.13,0.404628099,0.726
57520.66116,7.31,0.404628099,0.715
57520.66116,7.52,0.404628099,0.704
57520.66116,7.68,0.404628099,0.704
57520.66116,7.08,0.404628099,0.737
