,,0
Compressor,Power[kW],194.955
Compressor,Corrected Flow rate Wc*,0.824
Compressor,Speed RPM,49812.154
Compressor,Outlet Pres[kPaA],500.082
Compressor,Outlet Temp[degC],271.379
Compressor,Pres Ratio PRC,5.001
Compressor,Comp Efficiency,0.698
Compressor,Air Flow[kg/s],0.8
Compressor,Turbine Pressure Ratio P2c/P1t,1.363
Turbine,Enthalpy[kW],331.846
Turbine,Turbine Power[kW],205.216
Turbine,Speed RPM,49812.154
Turbine,Inlet Pres.[kPa],366.888
Turbine,Inlet Temp[C],1208.994
Turbine,Outlet Pres[kPa]Tot,140.0
Turbine,Outlet Temp[degC],957.824
Turbine,Pres Ratio PRT,2.621
Turbine,Turb Efficiency,0.74
Turbine,Total Flow[kg/s],0.73
Turbine,Turbine Flow[kg/s],0.631
Turbine,Bypass Ratio,0.139
Shaft,Fuel Flow [kg/s],0.018
Shaft,Turbine Required Flow[kg/s],0.628
Shaft,Corrected Flow rate[kg/s],0.333
Shaft,Theoretical T1t[degC],1208.994
Shaft,Mechanical Loss [kW],10.261
Shaft,AFR,40.0
