NC,WC,PRC,EtaC
29659.32771,0.184,3.644013841,0.60627
29659.32771,0.264,3.61467128,0.665595
29659.32771,0.345882353,3.559584775,0.71421
29659.32771,0.425882353,3.497024221,0.73269
29659.32771,0.505882353,3.416747405,0.7287
29659.32771,0.585882353,3.319307958,0.680295
29659.32771,0.666352941,3.188373702,0.593565
37791.51259,0.252705882,4.259930796,0.655095
37791.51259,0.358117647,4.210934256,0.7245
37791.51259,0.461647059,4.119307958,0.775845
37791.51259,0.569882353,4.013564014,0.80136
37791.51259,0.674352941,3.875986159,0.78624
37791.51259,0.786823529,3.689411765,0.725025
37791.51259,0.887058824,3.454394464,0.61509
45912.18488,0.342117647,5.093425606,0.68208
45912.18488,0.472941176,5.017024221,0.745185
45912.18488,0.600470588,4.870588235,0.80262
45912.18488,0.734117647,4.728581315,0.82509
45912.18488,0.861647059,4.506297578,0.81816
45912.18488,0.993411765,4.205121107,0.759045
45912.18488,1.120470588,3.779100346,0.61341
53986.30253,0.448,6.182145329,0.69657
53986.30253,0.594823529,6.078615917,0.758625
53986.30253,0.751058824,5.903114187,0.80787
53986.30253,0.895058824,5.699930796,0.836325
53986.30253,1.045647059,5.351695502,0.826035
53986.30253,1.192941176,4.916539792,0.775425
53986.30253,1.343058824,4.212318339,0.61866
62146.21847,0.568941176,7.56650519,0.692475
62146.21847,0.732235294,7.446920415,0.750225
62146.21847,0.895529412,7.275294118,0.80283
62146.21847,1.056470588,7.025882353,0.82824
62146.21847,1.223058824,6.566643599,0.830655
62146.21847,1.388235294,5.87100346,0.78141
62146.21847,1.541176471,4.776470588,0.619815
70290.36765,0.748705882,9.329273356,0.702135
70290.36765,0.904941176,9.165121107,0.74613
70290.36765,1.064470588,9.016470588,0.78918
70290.36765,1.226352941,8.676539792,0.81228
70290.36765,1.375529412,8.173010381,0.819945
70290.36765,1.536,7.200276817,0.7875
70290.36765,1.606588235,6.68733564,0.74907
70290.36765,1.679058824,5.483460208,0.61971
78341.98529,0.946823529,11.47930796,0.700665
78341.98529,1.088,11.32346021,0.73143
78341.98529,1.220235294,11.01896194,0.763455
78341.98529,1.361411765,10.67100346,0.78351
78341.98529,1.497411765,10.16055363,0.794535
78341.98529,1.639058824,8.939792388,0.7791
78341.98529,1.695058824,8.416055363,0.75789
78341.98529,1.766117647,6.366228374,0.62181
