NC,WC,PRC,EtaC
50420.8571,0.0391,1.3164,0.5774
50420.8571,0.0561,1.3058,0.6339
50420.8571,0.0735,1.2859,0.6802
50420.8571,0.0905,1.2633,0.6978
50420.8571,0.1075,1.2343,0.694
50420.8571,0.1245,1.1991,0.6479
50420.8571,0.1416,1.1518,0.5653
64245.5714,0.0537,1.5389,0.6239
64245.5714,0.0761,1.5212,0.69
64245.5714,0.0981,1.4881,0.7389
64245.5714,0.1211,1.4499,0.7632
64245.5714,0.1433,1.4002,0.7488
64245.5714,0.1672,1.3328,0.6905
64245.5714,0.1885,1.2479,0.5858
78050.7143,0.0727,1.84,0.6496
78050.7143,0.1005,1.8124,0.7097
78050.7143,0.1276,1.7595,0.7644
78050.7143,0.156,1.7082,0.7858
78050.7143,0.1831,1.6279,0.7792
78050.7143,0.2111,1.5191,0.7229
78050.7143,0.2381,1.3652,0.5842
91776.7143,0.0952,2.2333,0.6634
91776.7143,0.1264,2.1959,0.7225
91776.7143,0.1596,2.1325,0.7694
91776.7143,0.1902,2.0591,0.7965
91776.7143,0.2222,1.9333,0.7867
91776.7143,0.2535,1.7761,0.7385
91776.7143,0.2854,1.5217,0.5892
105648.5714,0.1209,2.7334,0.6595
105648.5714,0.1556,2.6902,0.7145
105648.5714,0.1903,2.6282,0.7646
105648.5714,0.2245,2.5381,0.7888
105648.5714,0.2599,2.3722,0.7911
105648.5714,0.295,2.1209,0.7442
105648.5714,0.3275,1.7255,0.5903
119493.625,0.1591,3.3702,0.6687
119493.625,0.1923,3.3109,0.7106
119493.625,0.2262,3.2572,0.7516
119493.625,0.2606,3.1344,0.7736
119493.625,0.2923,2.9525,0.7809
119493.625,0.3264,2.6011,0.75
119493.625,0.3414,2.4158,0.7134
119493.625,0.3568,1.9809,0.5902
133181.375,0.2012,4.1469,0.6673
133181.375,0.2312,4.0906,0.6966
133181.375,0.2593,3.9806,0.7271
133181.375,0.2893,3.8549,0.7462
133181.375,0.3182,3.6705,0.7567
133181.375,0.3483,3.2295,0.742
133181.375,0.3602,3.0403,0.7218
133181.375,0.3753,2.2998,0.5922
