NT,PRT,WT,EtaT
16756.66667,1.991111111,0.47264,0.70665
16756.66667,2.026666667,0.511306667,0.7161
16756.66667,2.044444444,0.542773333,0.7035
24206.66667,2.293333333,0.6544,0.65415
24206.66667,2.364444444,0.704853333,0.64575
24206.66667,2.417777778,0.728533333,0.66675
24206.66667,2.471111111,0.747146667,0.6825
24206.66667,2.524444444,0.766506667,0.68145
24206.66667,2.56,0.786453333,0.67305
24206.66667,2.577777778,0.786346667,0.71925
27922,2.506666667,0.736746667,0.64995
27922,2.613333333,0.77136,0.68985
27922,2.684444444,0.798293333,0.6951
27922,2.755555556,0.813386667,0.69825
27922,2.826666667,0.829866667,0.7014
27922,2.88,0.847573333,0.6909
27922,2.897777778,0.848,0.71925
31650.66667,2.791111111,0.801706667,0.6825
31650.66667,2.915555556,0.832106667,0.6804
31650.66667,3.022222222,0.854346667,0.68565
31650.66667,3.111111111,0.872906667,0.7077
31650.66667,3.2,0.881066667,0.7245
31650.66667,3.271111111,0.89152,0.71505
31650.66667,3.288888889,0.896586667,0.72765
35317.33333,3.164444444,0.851733333,0.6972
35317.33333,3.306666667,0.872213333,0.70875
35317.33333,3.448888889,0.89328,0.714
35317.33333,3.555555556,0.90336,0.7161
35317.33333,3.662222222,0.912746667,0.71715
35317.33333,3.768888889,0.92432,0.7077
35317.33333,3.768888889,0.922773333,0.72345
39052,3.626666667,0.888266667,0.69825
39052,3.786666667,0.908266667,0.7056
39052,3.946666667,0.916426667,0.71085
39052,4.124444444,0.93008,0.72345
39052,4.231111111,0.936746667,0.7182
39052,4.337777778,0.941173333,0.73185
39052,4.337777778,0.94144,0.74235
42744.66667,4.231111111,0.913866667,0.72135
42744.66667,4.444444444,0.9248,0.71295
42744.66667,4.64,0.92928,0.71715
42744.66667,4.782222222,0.93632,0.7161
42744.66667,4.942222222,0.93616,0.7203
42744.66667,5.12,0.941493333,0.70875
42744.66667,4.995555556,0.93904,0.7413
46506.66667,5.12,0.919253333,0.69825
46506.66667,5.333333333,0.921066667,0.693
46506.66667,5.564444444,0.923626667,0.68355
46506.66667,5.795555556,0.923306667,0.6762
46506.66667,6.008888889,0.92224,0.66885
46506.66667,6.222222222,0.924053333,0.66045
46506.66667,5.884444444,0.922506667,0.6888
50247.33333,6.648888889,0.899466667,0.63945
50247.33333,6.88,0.898133333,0.63105
50247.33333,7.128888889,0.898826667,0.62475
50247.33333,7.306666667,0.89936,0.61635
50247.33333,7.52,0.901706667,0.60795
50247.33333,7.68,0.902453333,0.60585
50247.33333,7.075555556,0.89856,0.63525
86666.66667,6.648888889,0.899466667,0.63945
86666.66667,6.88,0.898133333,0.63105
86666.66667,7.128888889,0.898826667,0.62475
86666.66667,7.306666667,0.89936,0.61635
86666.66667,7.52,0.901706667,0.60795
86666.66667,7.68,0.902453333,0.60585
86666.66667,7.075555556,0.89856,0.63525
