Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
0.0000	3.0000	77.335	0.012931	403.43	442.22	1.9072	0.80310	1.4715	221.53	14.155	1.4448e-05	0.017913	vapor
10.000	3.0000	71.011	0.014082	413.73	455.98	1.9567	0.76926	1.2999	231.48	12.748	1.4845e-05	0.018109	vapor
20.000	3.0000	66.156	0.015116	423.12	468.46	2.0001	0.75229	1.2052	239.93	11.568	1.5266e-05	0.018546	vapor
30.000	3.0000	62.211	0.016074	431.98	480.20	2.0395	0.74389	1.1464	247.40	10.557	1.5698e-05	0.019106	vapor
40.000	3.0000	58.892	0.016980	440.52	491.46	2.0760	0.74025	1.1073	254.20	9.6806	1.6138e-05	0.019739	vapor
50.000	3.0000	56.032	0.017847	448.85	502.39	2.1104	0.73961	1.0803	260.49	8.9136	1.6581e-05	0.020420	vapor
60.000	3.0000	53.524	0.018683	457.04	513.09	2.1430	0.74104	1.0615	266.38	8.2364	1.7026e-05	0.021134	vapor
70.000	3.0000	51.295	0.019495	465.15	523.64	2.1742	0.74389	1.0482	271.93	7.6345	1.7472e-05	0.021873	vapor
80.000	3.0000	49.292	0.020287	473.21	534.07	2.2041	0.74772	1.0389	277.22	7.0968	1.7918e-05	0.022630	vapor
90.000	3.0000	47.477	0.021063	481.23	544.42	2.2330	0.75226	1.0326	282.28	6.6143	1.8363e-05	0.023401	vapor
100.00	3.0000	45.821	0.021824	489.25	554.73	2.2610	0.75732	1.0286	287.14	6.1795	1.8807e-05	0.024181	vapor
110.00	3.0000	44.299	0.022574	497.28	565.00	2.2882	0.76277	1.0263	291.83	5.7861	1.9249e-05	0.024970	vapor
120.00	3.0000	42.895	0.023313	505.32	575.26	2.3146	0.76850	1.0254	296.36	5.4288	1.9688e-05	0.025764	vapor
130.00	3.0000	41.592	0.024043	513.38	585.51	2.3404	0.77443	1.0256	300.76	5.1033	2.0126e-05	0.026563	vapor
140.00	3.0000	40.378	0.024766	521.48	595.77	2.3655	0.78051	1.0267	305.04	4.8059	2.0561e-05	0.027364	vapor
150.00	3.0000	39.245	0.025481	529.61	606.05	2.3901	0.78667	1.0285	309.20	4.5332	2.0993e-05	0.028167	vapor
160.00	3.0000	38.182	0.026191	537.77	616.35	2.4142	0.79289	1.0309	313.27	4.2826	2.1423e-05	0.028972	vapor
170.00	3.0000	37.182	0.026895	545.98	626.67	2.4377	0.79914	1.0337	317.24	4.0517	2.1850e-05	0.029776	vapor
180.00	3.0000	36.240	0.027594	554.24	637.02	2.4608	0.80540	1.0368	321.12	3.8383	2.2274e-05	0.030578	vapor
190.00	3.0000	35.350	0.028288	562.54	647.41	2.4835	0.81163	1.0403	324.93	3.6407	2.2695e-05	0.031385	vapor
200.00	3.0000	34.508	0.028979	570.89	657.83	2.5057	0.81784	1.0440	328.67	3.4574	2.3113e-05	0.032191	vapor
210.00	3.0000	33.709	0.029666	579.29	668.29	2.5276	0.82401	1.0479	332.34	3.2868	2.3528e-05	0.032996	vapor
220.00	3.0000	32.949	0.030350	587.74	678.79	2.5491	0.83013	1.0520	335.94	3.1279	2.3940e-05	0.033799	vapor
230.00	3.0000	32.227	0.031030	596.24	689.33	2.5703	0.83619	1.0562	339.48	2.9795	2.4349e-05	0.034601	vapor
240.00	3.0000	31.538	0.031708	604.79	699.91	2.5911	0.84219	1.0605	342.97	2.8407	2.4755e-05	0.035400	vapor
250.00	3.0000	30.880	0.032384	613.39	710.54	2.6116	0.84812	1.0648	346.41	2.7106	2.5158e-05	0.036197	vapor
260.00	3.0000	30.251	0.033057	622.04	721.21	2.6318	0.85398	1.0693	349.79	2.5885	2.5558e-05	0.036993	vapor
270.00	3.0000	29.649	0.033727	630.74	731.92	2.6517	0.85977	1.0737	353.13	2.4738	2.5955e-05	0.037785	vapor
280.00	3.0000	29.073	0.034396	639.49	742.68	2.6714	0.86548	1.0782	356.42	2.3657	2.6349e-05	0.038576	vapor
290.00	3.0000	28.520	0.035063	648.30	753.49	2.6907	0.87111	1.0827	359.67	2.2639	2.6740e-05	0.039364	vapor
300.00	3.0000	27.989	0.035729	657.15	764.33	2.7098	0.87667	1.0872	362.87	2.1677	2.7128e-05	0.040150	vapor
310.00	3.0000	27.478	0.036392	666.05	775.23	2.7287	0.88214	1.0917	366.04	2.0768	2.7513e-05	0.040933	vapor
320.00	3.0000	26.987	0.037055	675.00	786.17	2.7473	0.88753	1.0961	369.17	1.9908	2.7895e-05	0.041713	vapor
330.00	3.0000	26.514	0.037715	684.01	797.15	2.7656	0.89285	1.1006	372.27	1.9093	2.8274e-05	0.042491	vapor
340.00	3.0000	26.059	0.038375	693.05	808.18	2.7838	0.89808	1.1050	375.33	1.8319	2.8650e-05	0.043265	vapor
350.00	3.0000	25.619	0.039033	702.15	819.25	2.8017	0.90323	1.1094	378.36	1.7585	2.9024e-05	0.044038	vapor
