Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	0.10000	1.5852	0.63082	157.51	220.60	6.2237	0.65267	0.91467	297.10	3.9196	1.7305e-05	0.022030	vapor
-20.000	0.10000	1.5223	0.65691	164.05	229.74	6.2605	0.65336	0.91516	303.14	3.6463	1.7897e-05	0.022854	vapor
-10.000	0.10000	1.4642	0.68299	170.60	238.90	6.2960	0.65421	0.91583	309.04	3.3983	1.8480e-05	0.023672	vapor
0.0000	0.10000	1.4103	0.70905	177.16	248.06	6.3302	0.65522	0.91668	314.81	3.1722	1.9055e-05	0.024486	vapor
10.000	0.10000	1.3603	0.73512	183.72	257.23	6.3632	0.65638	0.91772	320.46	2.9651	1.9622e-05	0.025297	vapor
20.000	0.10000	1.3138	0.76117	190.30	266.42	6.3950	0.65772	0.91893	326.00	2.7747	2.0182e-05	0.026105	vapor
30.000	0.10000	1.2703	0.78722	196.89	275.61	6.4259	0.65922	0.92032	331.42	2.5992	2.0734e-05	0.026911	vapor
40.000	0.10000	1.2296	0.81327	203.50	284.82	6.4558	0.66088	0.92189	336.74	2.4369	2.1279e-05	0.027715	vapor
50.000	0.10000	1.1915	0.83931	210.12	294.05	6.4848	0.66269	0.92362	341.95	2.2863	2.1818e-05	0.028518	vapor
60.000	0.10000	1.1556	0.86534	216.76	303.30	6.5130	0.66466	0.92552	347.07	2.1463	2.2350e-05	0.029320	vapor
70.000	0.10000	1.1219	0.89137	223.42	312.56	6.5404	0.66678	0.92756	352.09	2.0159	2.2875e-05	0.030123	vapor
80.000	0.10000	1.0900	0.91740	230.11	321.85	6.5670	0.66904	0.92976	357.02	1.8942	2.3394e-05	0.030925	vapor
90.000	0.10000	1.0600	0.94343	236.81	331.16	6.5930	0.67142	0.93208	361.87	1.7804	2.3907e-05	0.031727	vapor
100.00	0.10000	1.0315	0.96945	243.55	340.49	6.6184	0.67392	0.93453	366.63	1.6738	2.4415e-05	0.032530	vapor
110.00	0.10000	1.0045	0.99547	250.30	349.85	6.6431	0.67654	0.93710	371.32	1.5738	2.4916e-05	0.033334	vapor
120.00	0.10000	0.97896	1.0215	257.08	359.23	6.6673	0.67925	0.93977	375.93	1.4798	2.5412e-05	0.034138	vapor
130.00	0.10000	0.95465	1.0475	263.89	368.64	6.6909	0.68205	0.94253	380.47	1.3915	2.5903e-05	0.034942	vapor
140.00	0.10000	0.93151	1.0735	270.73	378.08	6.7141	0.68493	0.94538	384.94	1.3083	2.6389e-05	0.035747	vapor
150.00	0.10000	0.90947	1.0995	277.60	387.55	6.7367	0.68788	0.94829	389.34	1.2299	2.6869e-05	0.036553	vapor
160.00	0.10000	0.88846	1.1255	284.50	397.05	6.7589	0.69090	0.95127	393.68	1.1559	2.7345e-05	0.037359	vapor
