Datnum,TS,CAF,FEF,SPEED,N_TC_H,P AMB,P1C_H,P1T_H,P2C_H,P2T cor,Pbc in,Pbc out,Pbt in,Pbt out,Pc tip,Pt tip,P_OIL_H,T1C_H,T1T_H,T2C_H,T2T cor,T_OIL_H
1,s,kghr,kg/hr,rpm,rpm,kPaA,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,bar,degC,degC,degC,degC,degC
Sr,Time,AirFlow,FuelFlow,Erpm,TCrpm,Pamb,P1C,P1T,P2C,P2T,PbCin,PbCout,PbTin,PbTout,PtC,PtT,Poil,T1C,T1T,T2C,T2T,Toil
1,0.806,99.2,6.74829932,1000,49681,101.3,0.34,22.77,9.97,0.83,5.76397,5.90579,4.887725,4.887725,5.947194875,16.33689378,1.55,19.08,89.66,50.14,99.16,96.52
2,0.906,99.2,6.74829932,1000,49689,101.3,0.32,23.13,9.97,0.98,5.76397,5.90579,4.88266,4.88266,5.946376403,16.63196891,1.55,19.09,89.64,50.02,99.26,96.46
3,1.006,99.4,6.761904762,1000,49682,101.3,0.33,23.03,9.97,0.89,5.76397,5.90579,4.877595,4.877595,5.94460985,16.53472376,1.55,19.09,89.64,50.2,99.27,96.46
4,1.106,99.6,6.775510204,1000,49692,101.3,0.34,22.89,9.97,0.87,5.76397,5.90579,4.877595,4.877595,5.941754138,16.43209707,1.55,19.22,89.54,50.05,99.16,96.27
5,1.206,99.1,6.741496599,1000,49692,101.3,0.33,23.19,9.97,0.98,5.76397,5.90579,4.867465,4.867465,5.947931712,16.67323425,1.55,19.17,89.51,50.12,99.23,96.27
6,1.306,99.3,6.755102041,1000,49687,101.3,0.34,23.02,9.97,0.89,5.72345,5.90579,4.87253,4.87253,5.944825394,16.5278458,1.55,19.05,89.47,50.07,99.12,96.28
7,1.406,99.3,6.755102041,1000,49682,101.3,0.34,22.85,9.97,0.87,5.73358,5.90579,4.877595,4.877595,5.945845884,16.40457701,1.55,19.09,89.49,50.03,99.23,96.28
8,1.506,99.2,6.74829932,1000,49675,101.3,0.33,23.17,9.97,0.98,5.74371,5.90579,4.877595,4.877595,5.947700924,16.65947976,1.55,19.04,89.42,49.97,99.09,96.37
