ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal,ξ,β,vs1,vs2,vh2,vs_bal
8.95,0,7.779199709,30.3257661,30.41866193,0,9.95,0,6.844200816,28.86306625,28.86749654,0,10.95,0,6.096777948,27.5429782,27.45867097,0,11.95,0,5.484591617,26.34603495,26.17270339,0,12.95,0,4.973536959,25.25616374,24.993506,0,13.95,0,4.540301148,24.25997746,23.9076765,0
8.95,0.1,20.47776628,30.1631078,30.26486543,19.57897742,9.95,0.1,18.02142826,28.71610774,28.72940067,18.60439341,10.95,0.1,16.05738316,27.40955189,27.33410674,17.7214273,11.95,0.1,14.44831591,26.22435656,26.05988511,16.9175963,12.95,0.1,13.10474762,25.14475108,24.89095007,16.18258238,13.95,0.1,11.96550991,24.15758901,23.81413996,15.50778212
8.95,0.2,27.7661904,30.00208554,30.11270757,27.54964853,9.95,0.2,24.44221515,28.57054814,28.59270643,26.18539994,10.95,0.2,21.78377056,27.27733027,27.21075006,24.94878052,11.95,0.2,19.60528613,26.10372231,25.94811397,23.82247914,12.95,0.2,17.78583419,25.03424867,24.78930754,22.7921737,13.95,0.2,16.24274265,24.0559983,23.72140445,21.84591227
8.95,0.3,33.39986988,29.84267379,29.96216282,33.57260535,9.95,0.3,29.40935736,28.42636668,28.45739308,31.91866279,10.95,0.3,26.21705878,27.1462963,27.08858393,30.41870642,11.95,0.3,23.60048435,25.98411807,25.83737588,29.05194354,12.95,0.3,21.4146433,24.92464473,24.68856664,27.80115613,13.95,0.3,19.56040704,23.95519543,23.62946009,26.65196381
8.95,0.4,38.12180917,29.68484755,29.81320621,38.57357915,9.95,0.4,33.57605205,28.28354303,28.32344031,36.68300861,10.95,0.4,29.93870646,27.01643327,26.96759164,34.96761165,11.95,0.4,26.9566521,25.86553,25.72765701,33.4038399,12.95,0.4,24.4649324,24.81592769,24.58871584,31.9721761,13.95,0.4,22.35076202,23.85517066,23.53829715,30.65630625
8.95,0.5,42.24077914,29.52858234,29.66581326,42.91335991,9.95,0.5,37.21365289,28.14205722,28.19082816,40.82082567,10.95,0.5,33.19018831,26.88772477,26.84775679,38.92125348,11.95,0.5,29.89081654,25.74794448,25.61894374,37.18881867,12.95,0.5,27.13333992,24.70808618,24.48974375,35.60209837,13.95,0.5,24.79317819,23.75591442,23.44790608,34.14317131
8.95,0.6,45.92101108,29.37385417,29.51996002,46.77810758,9.95,0.6,40.4664387,28.00188971,28.0595371,44.50871701,10.95,0.6,36.09985573,26.76015469,26.7290633,42.44760352,11.95,0.6,32.51830116,25.63134815,25.51122274,40.56701574,12.95,0.6,29.52432773,24.601109,24.39163922,38.84391236,13.95,0.6,26.98292113,23.65741729,23.35827747,37.25900281
8.95,0.7,49.26246374,29.22063955,29.37562298,50.27908481,9.95,0.7,43.42219324,27.8630213,27.92954795,47.85219623,10.95,0.7,38.74577678,26.63370724,26.61149539,45.64698643,11.95,0.7,34.90922963,25.51572789,25.40448089,43.63404807,12.95,0.7,31.70139818,24.49498518,24.29439126,41.78894377,13.95,0.7,28.97788873,23.55966999,23.26940207,40.09119789
8.95,0.8,52.33147315,29.06891546,29.23277916,53.48923141,9.95,0.8,46.13915216,27.7254332,27.80084193,50.92040983,10.95,0.8,41.17972518,26.50836689,26.49503754,48.58512721,11.95,0.8,37.11009347,25.40107078,25.2987053,46.45253832,12.95,0.8,33.70664168,24.38970389,24.19798909,44.49698884,13.95,0.8,30.81644725,23.46266342,23.18127077,42.69696665
8.95,0.9,55.17481315,28.91865933,29.09140601,56.45952559,9.95,0.9,48.65836323,27.58910694,27.6734006,53.76166781,10.95,0.9,43.43818222,26.38411842,26.37967456,51.30793071,11.95,0.9,39.15364244,25.28736415,25.19388331,49.06621177,12.95,0.9,35.56969982,24.28525451,24.10242208,47.00978826,13.95,0.9,32.52560902,23.36638859,23.09387461,45.1162347
8.95,1,57.82698155,28.76984908,28.95148144,59.22731566,9.95,1,51.01009043,27.45402443,27.54720587,56.41135129,10.95,1,45.54803656,26.26094688,26.26539149,53.84900585,11.95,1,41.06400782,25.17459555,25.09000248,51.5070723,12.95,1,37.31240783,24.18162659,24.00767981,49.35788515,13.95,1,34.12526752,23.27083668,23.00720479,47.37820986
8.95,1.1,60.31432213,28.62246302,28.8129838,61.82097297,9.95,1.1,53.21743644,27.32016792,27.42224,58.89632795,10.95,1.1,47.52980776,26.13883758,26.15217368,56.23386653,11.95,1.1,42.85959962,25.06275274,24.98705059,53.79940833,12.95,1.1,38.95141962,24.07880986,23.91375202,51.5644532,13.95,1.1,35.63059199,23.175999,22.92125263,49.50504726
8.95,1.2,62.65751676,28.47647994,28.67589188,64.26267736,9.95,1.2,55.29853248,27.18751998,27.29848559,61.23759499,10.95,1.2,49.39959479,26.0177761,26.04000671,58.48244571,11.95,1.2,44.55485761,24.95182369,24.88501563,55.96219,12.95,1.2,40.49979415,23.9767942,23.8206286,53.64758712,13.95,1.2,37.05347432,23.081867,22.8360096,51.51404215
8.95,1.3,64.87317331,28.33187901,28.54018486,66.5701777,9.95,1.3,57.26793338,27.05606352,27.17592555,63.45194932,10.95,1.3,51.17031715,25.8977483,25.92887645,60.61068413,11.95,1.3,46.16136653,24.84179659,24.78388579,58.01058379,12.95,1.3,41.96800563,23.87556968,23.72829965,55.62174979,13.95,1.3,38.40345034,22.98843227,22.75146729,53.419015
8.95,1.4,66.97488096,28.18863984,28.40584237,68.7579546,9.95,1.4,59.13754463,26.92578177,27.05454314,65.55309043,10.95,1.4,52.85253953,25.77874026,25.81876902,62.6315791,11.95,1.4,47.68859698,24.73265981,24.68364947,59.95695231,12.95,1.4,43.36461465,23.77512652,23.63675539,57.49872723,13.95,1.4,39.68831185,22.89568652,22.66761745,55.23122574
8.95,1.5,68.9739367,28.0467424,28.27284441,70.83801631,9.95,1.5,60.91726041,26.79665827,26.93432192,67.55237528,10.95,1.5,54.4550393,25.66073832,25.70967076,64.55590235,11.95,1.5,49.14441522,24.62440193,24.58429527,61.81153853,12.95,1.5,44.6967298,23.6754551,23.54598622,59.28828226,13.95,1.5,40.91452758,22.80362161,22.58445194,56.95999919
8.95,1.6,70.87986031,27.9061671,28.14117138,72.82046045,9.95,1.6,62.61541589,26.66867687,26.81524573,69.45935094,10.95,1.6,55.9852087,25.54372908,25.60156827,66.39270641,11.95,1.6,50.53544443,24.51701174,24.48581197,63.58294833,12.95,1.6,45.9703349,23.57654597,23.4559827,60.99861536,13.95,1.6,42.08754146,22.71222951,22.50196274,58.61316615
8.95,1.7,72.70076867,27.76689468,28.01080406,74.71388069,9.95,1.7,64.23911583,26.54182171,26.69729874,71.28214013,10.95,1.7,57.44934706,25.42769936,25.49444841,68.14969119,11.95,1.7,51.86732717,24.41047818,24.38818855,65.27849984,12.95,1.7,47.19052658,23.47838981,23.36673554,62.63669826,13.95,1.7,43.21198928,22.62150232,22.42014197,60.19738257
8.95,1.8,74.44365387,27.62890629,27.88172359,76.52566783,9.95,1.8,65.79447881,26.41607723,26.5804654,73.02772672,10.95,1.8,58.85287791,25.3126362,25.38829822,69.83347523,11.95,1.8,53.14492031,24.30479042,24.29141418,66.90448195,12.95,1.8,48.36169081,23.38097746,23.2782356,64.20852076,13.95,1.8,44.29185952,22.53143226,22.33898188,61.71836571
8.95,1.9,76.11459377,27.49218341,27.75391149,78.26223707,9.95,1.9,67.28682194,26.29142815,26.46473045,74.70217105,10.95,1.9,60.20051317,25.19852689,25.28310501,71.44980049,11.95,1.9,54.37244247,24.19993777,24.19547821,68.46634927,12.95,1.9,49.48763632,23.28429993,23.19047387,65.71927691,13.95,1.9,45.33061506,22.44201168,22.25847483,63.18107227
8.95,2,77.71891402,27.35670791,27.62734962,79.92920249,9.95,2,68.72080313,26.16785946,26.3500789,76.31077534,10.95,2,61.49637964,25.08535894,25.1788563,73.00368938,11.95,2,55.55358755,24.09590976,24.10037015,69.96887182,12.95,2,50.57169742,23.18834833,23.10344152,67.17350791,13.95,2,46.33128679,22.35323304,22.17861328,64.58983501
8.95,2.1,79.2613147,27.22246196,27.50202018,81.53151307,9.95,2.1,70.10053218,26.04535645,26.23649604,77.85821253,10.95,2.1,62.74411765,24.97312005,25.07553982,74.49956724,11.95,2.1,56.69161335,23.99269607,24.00607971,71.41625162,12.95,2.1,51.61681414,23.09311396,23.01712983,68.57521338,13.95,2.1,47.29654668,22.26508891,22.09938983,65.94846922
8.95,2.2,80.74597053,27.0894281,27.37790573,83.07356009,9.95,2.2,71.42965872,25.92390463,26.12396741,79.34862804,10.95,2.2,63.94695924,24.86179815,24.97314351,75.94135901,11.95,2.2,57.78941166,23.89028654,23.91259676,72.81221479,12.95,2.2,52.62559569,22.99858822,22.93153024,69.92793922,13.95,2.2,48.22876561,22.17757199,22.02079719,67.26035677
