Nozzle	RPM	PRT	Q	EtaT
0.00 	 28140 	 1.20 	 0.07979 	 0.627
0.00 	 28140 	 1.22 	 0.08374 	 0.640
0.00 	 28140 	 1.24 	 0.08693 	 0.647
0.00 	 28140 	 1.25 	 0.08925 	 0.644
0.00 	 28140 	 1.26 	 0.09072 	 0.642
0.00 	 28140 	 1.27 	 0.09192 	 0.646
0.00 	 28140 	 1.28 	 0.09202 	 0.641
0.00 	 35806 	 1.33 	 0.09573 	 0.629
0.00 	 35806 	 1.36 	 0.09973 	 0.648
0.00 	 35806 	 1.39 	 0.10289 	 0.654
0.00 	 35806 	 1.42 	 0.10509 	 0.653
0.00 	 35806 	 1.43 	 0.10650 	 0.654
0.00 	 35806 	 1.45 	 0.10766 	 0.655
0.00 	 35806 	 1.45 	 0.10813 	 0.653
0.00 	 43518 	 1.49 	 0.10852 	 0.651
0.00 	 43518 	 1.54 	 0.11230 	 0.664
0.00 	 43518 	 1.59 	 0.11535 	 0.667
0.00 	 43518 	 1.63 	 0.11761 	 0.671
0.00 	 43518 	 1.66 	 0.11889 	 0.671
0.00 	 43518 	 1.68 	 0.11979 	 0.674
0.00 	 43518 	 1.68 	 0.11996 	 0.675
0.00 	 51260 	 1.71 	 0.11889 	 0.666
0.00 	 51260 	 1.79 	 0.12218 	 0.684
0.00 	 51260 	 1.85 	 0.12463 	 0.687
0.00 	 51260 	 1.91 	 0.12654 	 0.689
0.00 	 51260 	 1.95 	 0.12782 	 0.691
0.00 	 51260 	 1.97 	 0.12828 	 0.695
0.00 	 51260 	 1.97 	 0.12831 	 0.699
0.00 	 59025 	 2.03 	 0.12741 	 0.686
0.00 	 59025 	 2.13 	 0.12949 	 0.697
0.00 	 59025 	 2.21 	 0.13113 	 0.701
0.00 	 59025 	 2.28 	 0.13225 	 0.703
0.00 	 59025 	 2.33 	 0.13295 	 0.704
0.00 	 59025 	 2.35 	 0.13314 	 0.708
0.00 	 59025 	 2.31 	 0.13275 	 0.715
0.00 	 66709 	 2.46 	 0.13192 	 0.699
0.00 	 66709 	 2.57 	 0.13299 	 0.702
0.00 	 66709 	 2.68 	 0.13358 	 0.705
0.00 	 66709 	 2.77 	 0.13398 	 0.705
0.00 	 66709 	 2.82 	 0.13418 	 0.706
0.00 	 66709 	 2.83 	 0.13423 	 0.711
0.00 	 66709 	 2.80 	 0.13415 	 0.715
0.00 	 66709 	 2.74 	 0.13399 	 0.721
0.00 	 74365 	 3.15 	 0.13186 	 0.691
0.00 	 74365 	 3.24 	 0.13197 	 0.694
0.00 	 74365 	 3.34 	 0.13206 	 0.694
0.00 	 74365 	 3.43 	 0.13200 	 0.694
0.00 	 74365 	 3.49 	 0.13199 	 0.692
0.00 	 74365 	 3.45 	 0.13213 	 0.699
0.00 	 74365 	 3.39 	 0.13212 	 0.705
0.00 	 74365 	 3.25 	 0.13194 	 0.715
