Nozzle	RPM	PRT	Q	EtaT
0.4	9000	1.025225101	8.01E-03	0.061025
0.4	9000	1.035153631	1.21E-01	0.061025
0.4	9000	1.045132048	1.94E-01	0.404879315
0.4	9000	1.055156275	2.49E-01	0.622587785
0.4	9000	1.06523041	2.92E-01	0.742672085
0.4	9000	1.075350334	3.29E-01	0.811784503
0.4	9000	1.085520186	3.60E-01	0.852058828
0.4	9000	1.095735807	0.388216	0.87505367
0.4	9000	1.106001376	0.413488	0.88725614
0.4	9000	1.116312694	0.436608	0.892506245
0.4	9000	1.12667398	0.457968	0.89318318
0.4	9000	1.140211789	0.483592	0.889660693
0.4	9000	1.157935253	0.513968	0.880651063
0.4	9000	1.181179886	0.54956	0.865178578
0.4	9000	1.211740826	0.59076	0.84280775
0.4	9000	1.252055816	0.637904	0.813777823
0.4	9000	1.305450209	0.691176	0.778985128
0.4	9000	1.376531988	0.75056	0.73983425
0.4	9000	1.471752333	0.815736	0.698008708
0.4	9000	1.600300901	0.885936	0.655238323
0.4	9000	1.775457646	0.959824	0.613085338
0.4	9000	2.016760696	1.035288	0.572803295
0.4	9000	2.35342906	1.109408	0.53525435
0.4	9000	2.829931418	1.178552	0.500839813
0.4	9000	3.515010027	1.238712	0.469438408
0.4	9000	4.516526045	1.28624	0.440385328
0.4	9000	6.00593049	1.318784	0.412564843
0.4	9000	8.25892186	1.33612	0.384620878
0.4	9000	11.72315284	1.340664	0.355131208
0.4	9000	16	1.338344	0.32852678
0.4	10842.1	1.036698658	8.01E-03	0.061025
0.4	10842.1	1.051611281	1.46E-01	0.061025
0.4	10842.1	1.066628332	2.34E-01	0.41341928
0.4	10842.1	1.081751845	2.99E-01	0.62980916
0.4	10842.1	1.096983917	3.51E-01	0.748256248
0.4	10842.1	1.112320372	0.39432	0.81599936
0.4	10842.1	1.127763289	0.431576	0.85524395
0.4	10842.1	1.143314809	0.464504	0.877512245
0.4	10842.1	1.158970668	0.494112	0.889226308
0.4	10842.1	1.174735158	0.521104	0.894176533
0.4	10842.1	1.190603958	0.545952	0.894698015
0.4	10842.1	1.211393001	0.57564	0.891135838
0.4	10842.1	1.238688865	0.610656	0.882269533
0.4	10842.1	1.274627452	0.6514	0.867197255
0.4	10842.1	1.322115928	0.698168	0.845552975
0.4	10842.1	1.385150102	0.751064	0.817633265
0.4	10842.1	1.469290652	0.809944	0.784371943
0.4	10842.1	1.582377821	0.874312	0.747193438
0.4	10842.1	1.735661328	0.943128	0.70776473
0.4	10842.1	1.945520043	1.014744	0.667745083
0.4	10842.1	2.236239105	1.086696	0.628562233
0.4	10842.1	2.644425617	1.155744	0.591242608
0.4	10842.1	3.226194338	1.218104	0.556249258
0.4	10842.1	4.068894123	1.269928	0.523398065
0.4	10842.1	5.310420669	1.308192	0.491858848
0.4	10842.1	7.171185901	1.33156	0.46034168
0.4	10842.1	10.0072261	1.341096	0.427340548
0.4	10842.1	14.3988905	1.340568	0.391203905
0.4	10842.1	16	1.339448	0.380409328
0.4	12684.2	1.050463056	0.008	0.061025
0.4	12684.2	1.07534826	1.92E-01	0.092444045
0.4	12684.2	1.100522687	3.03E-01	0.51343808
0.4	12684.2	1.12599051	0.382704	0.70647701
0.4	12684.2	1.151747508	0.445024	0.803763815
0.4	12684.2	1.17779795	0.496592	0.854615525
0.4	12684.2	1.204137518	0.540808	0.8807558
0.4	12684.2	1.230770579	0.57968	0.892889915
0.4	12684.2	1.257692718	0.614456	0.89673764
0.4	12684.2	1.284908397	0.645984	0.895548043
0.4	12684.2	1.312413107	0.674872	0.891249395
0.4	12684.2	1.348606077	0.709176	0.882913393
0.4	12684.2	1.396393619	0.749304	0.86967347
0.4	12684.2	1.459761738	0.795472	0.851011453
0.4	12684.2	1.544241156	0.847648	0.826924033
0.4	12684.2	1.65761505	0.90544	0.79797128
0.4	12684.2	1.811008073	0.967944	0.765207185
0.4	12684.2	2.020562746	1.033632	0.729997745
0.4	12684.2	2.310132488	1.10024	0.693769595
0.4	12684.2	2.715551339	1.164728	0.657744305
0.4	12684.2	3.291568376	1.22348	0.622681498
0.4	12684.2	4.123153608	1.272784	0.588687013
0.4	12684.2	5.344090969	1.309584	0.555155578
0.4	12684.2	7.167688981	1.332384	0.52091303
0.4	12684.2	9.937865344	1.341944	0.484458868
0.4	12684.2	14.21422707	1.34164	0.44404673
0.4	12684.2	16	1.3404	0.43019492
