Nozzle	RPM	PRT	Q	EtaT
0.000 	 28156 	 1.8389 	 0.03482 	 0.3504
0.000 	 28156 	 1.9245 	 0.03563 	 0.3599
0.000 	 28156 	 2.0174 	 0.03636 	 0.3549
0.000 	 28156 	 2.0936 	 0.03692 	 0.3541
0.000 	 28156 	 2.1505 	 0.03737 	 0.3483
0.000 	 28156 	 2.2058 	 0.03770 	 0.3459
0.000 	 28156 	 2.2432 	 0.03760 	 0.3445
0.000 	 35859 	 2.3566 	 0.03886 	 0.3561
0.000 	 35859 	 2.5120 	 0.03963 	 0.3682
0.000 	 35859 	 2.6676 	 0.04042 	 0.3655
0.000 	 35859 	 2.7868 	 0.04091 	 0.3598
0.000 	 35859 	 2.8904 	 0.04127 	 0.3562
0.000 	 35859 	 2.9704 	 0.04157 	 0.3551
0.000 	 35859 	 3.0306 	 0.04160 	 0.3502
0.000 	 43527 	 3.0218 	 0.04217 	 0.3689
0.000 	 43527 	 3.2645 	 0.04303 	 0.3747
0.000 	 43527 	 3.4697 	 0.04362 	 0.3786
0.000 	 43527 	 3.6376 	 0.04403 	 0.3811
0.000 	 43527 	 3.7793 	 0.04434 	 0.3832
0.000 	 43527 	 3.8798 	 0.04456 	 0.3838
0.000 	 43527 	 3.9510 	 0.04439 	 0.3839
0.200 	 28138 	 1.3262 	 0.06087 	 0.5647
0.200 	 28138 	 1.3581 	 0.06319 	 0.5817
0.200 	 28138 	 1.3898 	 0.06536 	 0.5893
0.200 	 28138 	 1.4157 	 0.06672 	 0.5815
0.200 	 28138 	 1.4351 	 0.06805 	 0.5827
0.200 	 28138 	 1.4515 	 0.06915 	 0.5811
0.200 	 28138 	 1.4654 	 0.06917 	 0.5656
0.200 	 35820 	 1.5361 	 0.07081 	 0.5614
0.200 	 35820 	 1.5875 	 0.07310 	 0.5805
0.200 	 35820 	 1.6360 	 0.07500 	 0.5841
0.200 	 35820 	 1.6781 	 0.07647 	 0.5897
0.200 	 35820 	 1.7135 	 0.07764 	 0.5909
0.200 	 35820 	 1.7430 	 0.07835 	 0.5892
0.200 	 35820 	 1.7557 	 0.07889 	 0.5852
0.200 	 43563 	 1.8081 	 0.07795 	 0.5751
0.200 	 43563 	 1.8955 	 0.08017 	 0.6029
0.200 	 43563 	 1.9766 	 0.08185 	 0.6056
0.200 	 43563 	 2.0413 	 0.08303 	 0.6106
0.200 	 43563 	 2.0907 	 0.08391 	 0.6130
0.200 	 43563 	 2.1293 	 0.08456 	 0.6137
0.200 	 43563 	 2.1466 	 0.08484 	 0.6098
0.200 	 51254 	 2.1768 	 0.08343 	 0.6046
0.200 	 51254 	 2.2973 	 0.08517 	 0.6199
0.200 	 51254 	 2.4046 	 0.08640 	 0.6276
0.200 	 51254 	 2.5032 	 0.08744 	 0.6357
0.200 	 51254 	 2.5748 	 0.08822 	 0.6370
0.200 	 51254 	 2.6213 	 0.08870 	 0.6394
0.200 	 51254 	 2.6335 	 0.08855 	 0.6363
0.200 	 58957 	 2.6720 	 0.08749 	 0.6318
0.200 	 58957 	 2.8240 	 0.08873 	 0.6503
0.200 	 58957 	 2.9433 	 0.08955 	 0.6546
0.200 	 58957 	 3.0574 	 0.09021 	 0.6591
0.200 	 58957 	 3.1606 	 0.09060 	 0.6625
0.200 	 58957 	 3.1985 	 0.09099 	 0.6663
0.200 	 58957 	 3.1588 	 0.09092 	 0.6675
0.200 	 66690 	 3.3462 	 0.09028 	 0.6610
0.200 	 66690 	 3.5052 	 0.09092 	 0.6710
0.200 	 66690 	 3.6387 	 0.09137 	 0.6761
0.200 	 66690 	 3.7607 	 0.09176 	 0.6787
0.200 	 66690 	 3.8525 	 0.09213 	 0.6819
0.200 	 66690 	 3.8907 	 0.09203 	 0.6855
0.200 	 66690 	 3.8558 	 0.09213 	 0.6894
0.200 	 66690 	 3.7482 	 0.09200 	 0.6885
0.400 	 28132 	 1.2118 	 0.08519 	 0.6525
0.400 	 28132 	 1.2300 	 0.08892 	 0.6769
0.400 	 28132 	 1.2486 	 0.09219 	 0.6766
0.400 	 28132 	 1.2636 	 0.09461 	 0.6717
0.400 	 28132 	 1.2761 	 0.09661 	 0.6664
0.400 	 28132 	 1.2855 	 0.09805 	 0.6657
0.400 	 28132 	 1.2923 	 0.09898 	 0.6623
0.400 	 35824 	 1.3444 	 0.10056 	 0.6441
0.400 	 35824 	 1.3759 	 0.10496 	 0.6722
0.400 	 35824 	 1.4075 	 0.10833 	 0.6768
0.400 	 35824 	 1.4306 	 0.11086 	 0.6777
0.400 	 35824 	 1.4537 	 0.11296 	 0.6759
0.400 	 35824 	 1.4700 	 0.11441 	 0.6750
0.400 	 35824 	 1.4807 	 0.11521 	 0.6650
0.400 	 43538 	 1.5265 	 0.11277 	 0.6625
0.400 	 43538 	 1.5788 	 0.11683 	 0.6786
0.400 	 43538 	 1.6252 	 0.12006 	 0.6882
0.400 	 43538 	 1.6687 	 0.12275 	 0.6906
0.400 	 43538 	 1.6985 	 0.12430 	 0.6906
0.400 	 43538 	 1.7211 	 0.12548 	 0.6945
0.400 	 43538 	 1.7323 	 0.12614 	 0.6880
0.400 	 51262 	 1.7735 	 0.12321 	 0.6703
0.400 	 51262 	 1.8517 	 0.12641 	 0.6885
0.400 	 51262 	 1.9191 	 0.12906 	 0.6969
0.400 	 51262 	 1.9709 	 0.13081 	 0.7012
0.400 	 51262 	 2.0233 	 0.13231 	 0.7042
0.400 	 51262 	 2.0493 	 0.13307 	 0.7090
0.400 	 51262 	 2.0527 	 0.13337 	 0.7078
0.400 	 58994 	 2.1150 	 0.13016 	 0.6912
0.400 	 58994 	 2.2129 	 0.13253 	 0.7039
0.400 	 58994 	 2.3003 	 0.13436 	 0.7090
0.400 	 58994 	 2.3716 	 0.13556 	 0.7165
0.400 	 58994 	 2.4254 	 0.13688 	 0.7152
0.400 	 58994 	 2.4628 	 0.13713 	 0.7228
0.400 	 58994 	 2.4332 	 0.13716 	 0.7175
0.400 	 66675 	 2.5844 	 0.13448 	 0.7006
0.400 	 66675 	 2.6928 	 0.13584 	 0.7105
0.400 	 66675 	 2.7937 	 0.13665 	 0.7118
0.400 	 66675 	 2.8848 	 0.13732 	 0.7146
0.400 	 66675 	 2.9540 	 0.13773 	 0.7184
0.400 	 66675 	 2.9771 	 0.13788 	 0.7200
0.400 	 66675 	 2.9580 	 0.13791 	 0.7202
0.400 	 66675 	 2.8806 	 0.13771 	 0.7214
0.400 	 74401 	 3.3593 	 0.13548 	 0.6929
0.400 	 74401 	 3.4626 	 0.13562 	 0.6913
0.400 	 74401 	 3.5875 	 0.13566 	 0.6896
0.400 	 74401 	 3.6474 	 0.13586 	 0.6852
0.400 	 74401 	 3.6939 	 0.13597 	 0.6826
0.400 	 74401 	 3.6660 	 0.13594 	 0.6910
0.400 	 74401 	 3.6091 	 0.13597 	 0.6952
0.400 	 74401 	 3.4633 	 0.13606 	 0.7002
0.600 	 28134 	 1.1738 	 0.10257 	 0.6644
0.600 	 28134 	 1.1900 	 0.10709 	 0.6913
0.600 	 28134 	 1.2044 	 0.11111 	 0.6887
0.600 	 28134 	 1.2152 	 0.11401 	 0.6931
0.600 	 28134 	 1.2251 	 0.11649 	 0.6961
0.600 	 28134 	 1.2329 	 0.11838 	 0.6907
0.600 	 28134 	 1.2372 	 0.11941 	 0.6858
0.600 	 35830 	 1.2818 	 0.12244 	 0.6405
0.600 	 35830 	 1.3107 	 0.12788 	 0.6762
0.600 	 35830 	 1.3358 	 0.13256 	 0.6737
0.600 	 35830 	 1.3550 	 0.13582 	 0.6794
0.600 	 35830 	 1.3726 	 0.13853 	 0.6816
0.600 	 35830 	 1.3860 	 0.14047 	 0.6820
0.600 	 35830 	 1.3953 	 0.14170 	 0.6766
0.600 	 43535 	 1.4310 	 0.14175 	 0.6490
0.600 	 43535 	 1.4746 	 0.14701 	 0.6694
0.600 	 43535 	 1.5147 	 0.15122 	 0.6785
0.600 	 43535 	 1.5482 	 0.15453 	 0.6822
0.600 	 43535 	 1.5712 	 0.15673 	 0.6845
0.600 	 43535 	 1.5909 	 0.15842 	 0.6860
0.600 	 43535 	 1.6014 	 0.15931 	 0.6831
0.600 	 51237 	 1.6394 	 0.15468 	 0.6534
0.600 	 51237 	 1.7056 	 0.15881 	 0.6781
0.600 	 51237 	 1.7589 	 0.16250 	 0.6831
0.600 	 51237 	 1.8111 	 0.16529 	 0.6826
0.600 	 51237 	 1.8471 	 0.16698 	 0.6875
0.600 	 51237 	 1.8753 	 0.16826 	 0.6901
0.600 	 51237 	 1.8820 	 0.16838 	 0.6880
0.600 	 58997 	 1.9383 	 0.16432 	 0.6662
0.600 	 58997 	 2.0280 	 0.16713 	 0.6793
0.600 	 58997 	 2.1079 	 0.16921 	 0.6793
0.600 	 58997 	 2.1662 	 0.17070 	 0.6793
0.600 	 58997 	 2.2302 	 0.17177 	 0.6799
0.600 	 58997 	 2.2538 	 0.17226 	 0.6829
0.600 	 58997 	 2.2355 	 0.17199 	 0.6840
0.600 	 66674 	 2.4119 	 0.16701 	 0.6494
0.600 	 66674 	 2.5253 	 0.16799 	 0.6518
0.600 	 66674 	 2.6330 	 0.16844 	 0.6449
0.600 	 66674 	 2.7419 	 0.16869 	 0.6390
0.600 	 66674 	 2.8139 	 0.16886 	 0.6353
0.600 	 66674 	 2.8525 	 0.16910 	 0.6354
0.600 	 66674 	 2.8306 	 0.16908 	 0.6367
0.600 	 66674 	 2.7274 	 0.16907 	 0.6466
0.600 	 74392 	 3.3407 	 0.16148 	 0.5814
0.600 	 74392 	 3.5050 	 0.16143 	 0.5753
0.600 	 74392 	 3.6032 	 0.16158 	 0.5708
0.600 	 74392 	 3.6734 	 0.16176 	 0.5674
0.600 	 74392 	 3.7288 	 0.16165 	 0.5652
0.600 	 74392 	 3.6973 	 0.16184 	 0.5704
0.600 	 74392 	 3.6464 	 0.16179 	 0.5738
0.600 	 74392 	 3.4916 	 0.16175 	 0.5833
0.800 	 28153 	 1.1614 	 0.11870 	 0.6277
0.800 	 28153 	 1.1718 	 0.12319 	 0.6596
0.800 	 28153 	 1.1860 	 0.12802 	 0.6676
0.800 	 28153 	 1.1973 	 0.13155 	 0.6587
0.800 	 28153 	 1.2061 	 0.13490 	 0.6558
0.800 	 28153 	 1.2139 	 0.13700 	 0.6520
0.800 	 28153 	 1.2168 	 0.13799 	 0.6556
0.800 	 35834 	 1.2633 	 0.14302 	 0.6007
0.800 	 35834 	 1.2858 	 0.14899 	 0.6349
0.800 	 35834 	 1.3073 	 0.15402 	 0.6415
0.800 	 35834 	 1.3274 	 0.15820 	 0.6410
0.800 	 35834 	 1.3421 	 0.16115 	 0.6444
0.800 	 35834 	 1.3541 	 0.16323 	 0.6527
0.800 	 35834 	 1.3616 	 0.16478 	 0.6381
0.800 	 43554 	 1.4105 	 0.16278 	 0.6063
0.800 	 43554 	 1.4462 	 0.16887 	 0.6235
0.800 	 43554 	 1.4834 	 0.17320 	 0.6384
0.800 	 43554 	 1.5141 	 0.17704 	 0.6399
0.800 	 43554 	 1.5390 	 0.17955 	 0.6412
0.800 	 43554 	 1.5574 	 0.18170 	 0.6425
0.800 	 43554 	 1.5657 	 0.18266 	 0.6383
0.800 	 51255 	 1.6177 	 0.17857 	 0.5918
0.800 	 51255 	 1.6784 	 0.18364 	 0.6094
0.800 	 51255 	 1.7301 	 0.18730 	 0.6143
0.800 	 51255 	 1.7854 	 0.19020 	 0.6175
0.800 	 51255 	 1.8289 	 0.19195 	 0.6175
0.800 	 51255 	 1.8493 	 0.19294 	 0.6216
0.800 	 51255 	 1.8568 	 0.19330 	 0.6167
0.800 	 59012 	 1.9530 	 0.18594 	 0.5785
0.800 	 59012 	 2.0404 	 0.18822 	 0.5872
0.800 	 59012 	 2.1324 	 0.18998 	 0.5874
0.800 	 59012 	 2.2092 	 0.19067 	 0.5837
0.800 	 59012 	 2.2917 	 0.19086 	 0.5784
0.800 	 59012 	 2.3221 	 0.19112 	 0.5786
0.800 	 59012 	 2.2995 	 0.19120 	 0.5794
0.800 	 66629 	 2.5174 	 0.18125 	 0.5395
0.800 	 66629 	 2.6608 	 0.18160 	 0.5386
0.800 	 66629 	 2.8078 	 0.18176 	 0.5269
0.800 	 66629 	 2.9477 	 0.18203 	 0.5163
0.800 	 66629 	 3.0384 	 0.18172 	 0.5120
0.800 	 66629 	 3.0911 	 0.18199 	 0.5089
