P1c,rpm,AFR,T1t,P1t,P2c
100.3,800,15.8,620,83.7,83.7
100.3,800,17.4,573.9,83.7,83.7
100.3,800,19,537.6,83.7,83.7
100.3,800,20.7,506.1,83.7,83.7
100.3,800,22.3,478.4,83.7,83.7
100.3,800,15.8,619.9,102.4,102.4
100.3,800,17.4,576.8,102.4,102.4
100.3,800,19,541.9,102.4,102.4
100.3,800,20.7,511.4,102.4,102.4
100.3,800,22.3,484.4,102.4,102.4
100.3,800,15.8,616.2,121.1,121.1
100.3,800,17.4,576.9,121.1,121.1
100.3,800,19,544.8,121.1,121.1
100.3,800,20.7,515.4,121.1,121.1
100.3,800,22.3,489.1,121.1,121.1
100.3,800,15.8,614.3,139.7,139.7
100.3,800,17.4,575.8,139.7,139.7
100.3,800,19,544.9,139.7,139.7
100.3,800,20.7,517.7,139.7,139.7
100.3,800,22.3,492.7,139.7,139.7
100.3,800,15.8,614.3,158.4,158.4
100.3,800,17.4,576.3,158.4,158.4
100.3,800,19,545.3,158.4,158.4
100.3,800,20.7,518.1,158.4,158.4
100.3,800,22.3,494.2,158.4,158.4
100.3,1400,17.6,707.8928,206.1,206.1
100.3,1400,19.3,661.0448,206.1,206.1
100.3,1400,21,619.3696,206.1,206.1
100.3,1400,22.7,581.9888,206.1,206.1
100.3,1400,24.4,548.7072,206.1,206.1
100.3,1400,17.6,710.04,233.5,233.5
100.3,1400,19.3,663.68,233.5,233.5
100.3,1400,21,622.9808,233.5,233.5
100.3,1400,22.7,586.7712,233.5,233.5
100.3,1400,24.4,553.88,233.5,233.5
100.3,1400,17.6,711.8944,260.9,260.9
100.3,1400,19.3,666.2176,260.9,260.9
100.3,1400,21,626.0064,260.9,260.9
100.3,1400,22.7,589.992,260.9,260.9
100.3,1400,24.4,557.9792,260.9,260.9
100.3,1400,17.6,714.0416,288.3,288.3
100.3,1400,19.3,668.56,288.3,288.3
100.3,1400,21,628.6416,288.3,288.3
100.3,1400,22.7,593.2128,288.3,288.3
100.3,1400,24.4,561.2,288.3,288.3
100.3,1400,17.6,716.1888,315.7,315.7
100.3,1400,19.3,671.1952,315.7,315.7
100.3,1400,21,631.472,315.7,315.7
100.3,1400,22.7,596.0432,315.7,315.7
100.3,1600,24.4,554.0114,315.7,315.7
100.3,1600,17.3,732.9658,225.9,225.9
100.3,1600,18.9,686.5986,225.9,225.9
100.3,1600,20.5,645.8836,225.9,225.9
100.3,1600,22.1,609.767,225.9,225.9
100.3,1600,23.7,577.0992,225.9,225.9
100.3,1600,17.3,735.6482,252.2,252.2
100.3,1600,18.9,689.9516,252.2,252.2
100.3,1600,20.5,649.4282,252.2,252.2
100.3,1600,22.1,613.3116,252.2,252.2
100.3,1600,23.7,581.1228,252.2,252.2
100.3,1600,17.3,738.3306,278.5,278.5
100.3,1600,18.9,692.634,278.5,278.5
100.3,1600,20.5,652.5896,278.5,278.5
100.3,1600,22.1,616.8562,278.5,278.5
100.3,1600,23.7,584.6674,278.5,278.5
100.3,1600,17.3,740.8214,304.8,304.8
100.3,1600,18.9,695.508,304.8,304.8
100.3,1600,20.5,655.5594,304.8,304.8
100.3,1600,22.1,619.9218,304.8,304.8
100.3,1600,23.7,588.0204,304.8,304.8
100.3,1600,17.3,743.1206,331.1,331.1
100.3,1600,18.9,698.1904,331.1,331.1
100.3,1600,20.5,658.625,331.1,331.1
100.3,1600,22.1,623.0832,331.1,331.1
100.3,1600,23.7,591.1818,331.1,331.1
100.3,1900,16.9,779.1543,244.8,244.8
100.3,1900,19,714.5814,244.8,244.8
100.3,1900,21.1,660.0891,244.8,244.8
100.3,1900,23.2,613.6803,244.8,244.8
100.3,1900,25.3,573.6432,244.8,244.8
