,P1c,rpm,AFR,P1t,P2c,fuel,T1t interp,fuel rate
0,79.09227708,1000,19.0,170,170,,2202.4922000625784,
1,78.67685742,1100,19.6,192,192,,-136249.1414621239,
2,78.03438164,1200,20.5,219,219,,652.2549643548416,
3,77.35615036,1300,20.5,240,240,,-121.23123479348136,
4,76.87776683,1400,19.3,247,247,,-17058.3558524694,
5,76.49915223,1500,19.5,249,249,,-13198.697243465454,
6,76.12326663,1600,19.5,250,250,,-13120.427149617753,
7,75.66740843,1700,19.5,252,252,,-12590.666473555128,
8,74.95635525,1800,20.1,260,260,,-401.44039647060987,
9,74.32880805,1900,21.0,264,264,,-518.04610101386,
